measurement_type,band,year,anom,n_cruises,n_values
chlorophyll_a,0-10,1978,-0.2806,6,294
chlorophyll_a,0-10,1983,-0.258,7,76
chlorophyll_a,0-10,1984,-0.211,10,783
chlorophyll_a,0-10,1985,-0.3809,3,229
chlorophyll_a,0-10,1986,-0.1646,4,223
chlorophyll_a,0-10,1987,-0.7681,3,174
chlorophyll_a,0-10,1988,-0.0349,5,388
chlorophyll_a,0-10,1989,-0.0555,5,530
chlorophyll_a,0-10,1990,-0.1857,4,414
chlorophyll_a,0-10,1991,-0.2171,4,388
chlorophyll_a,0-10,1992,-0.4428,4,531
chlorophyll_a,0-10,1993,-0.1961,4,581
chlorophyll_a,0-10,1994,-0.3642,4,527
chlorophyll_a,0-10,1995,0.0478,4,564
chlorophyll_a,0-10,1996,0.0632,4,768
chlorophyll_a,0-10,1997,-0.3083,4,464
chlorophyll_a,0-10,1998,-0.3202,7,581
chlorophyll_a,0-10,1999,0.2833,4,560
chlorophyll_a,0-10,2000,-0.2619,4,561
chlorophyll_a,0-10,2001,0.2855,4,574
chlorophyll_a,0-10,2002,-0.2741,4,576
chlorophyll_a,0-10,2003,0.4484,4,602
chlorophyll_a,0-10,2004,0.0799,4,602
chlorophyll_a,0-10,2005,0.5044,4,647
chlorophyll_a,0-10,2006,-0.0953,4,586
chlorophyll_a,0-10,2007,-0.2185,4,591
chlorophyll_a,0-10,2008,-0.164,4,613
chlorophyll_a,0-10,2009,-0.1191,4,579
chlorophyll_a,0-10,2010,-0.0134,4,526
chlorophyll_a,0-10,2011,0.3467,4,629
chlorophyll_a,0-10,2012,-0.2751,4,599
chlorophyll_a,0-10,2013,0.0936,4,671
chlorophyll_a,0-10,2014,-0.6152,4,554
chlorophyll_a,0-10,2015,-0.8062,4,615
chlorophyll_a,0-10,2016,-0.5177,4,657
chlorophyll_a,0-10,2017,-0.2375,4,620
chlorophyll_a,0-10,2018,-0.1438,3,395
chlorophyll_a,0-10,2019,-0.1049,4,533
chlorophyll_a,0-10,2020,0.06,3,411
chlorophyll_a,0-10,2021,-0.1285,1,157
chlorophyll_a,10-50,1978,-0.2647,6,779
chlorophyll_a,10-50,1983,-0.4305,7,215
chlorophyll_a,10-50,1984,-0.195,10,2596
chlorophyll_a,10-50,1985,-0.0548,4,905
chlorophyll_a,10-50,1986,-0.1989,4,790
chlorophyll_a,10-50,1987,-0.4508,3,621
chlorophyll_a,10-50,1988,0.098,4,1421
chlorophyll_a,10-50,1989,-0.0462,5,1938
chlorophyll_a,10-50,1990,-0.2107,4,1496
chlorophyll_a,10-50,1991,-0.1459,4,1343
chlorophyll_a,10-50,1992,-0.2703,4,1631
chlorophyll_a,10-50,1993,-0.1336,4,1669
chlorophyll_a,10-50,1994,-0.2489,4,1369
chlorophyll_a,10-50,1995,-0.0635,4,1436
chlorophyll_a,10-50,1996,0.0002,4,1631
chlorophyll_a,10-50,1997,-0.1565,4,1170
chlorophyll_a,10-50,1998,-0.2094,7,1486
chlorophyll_a,10-50,1999,0.2831,4,1488
chlorophyll_a,10-50,2000,-0.1594,4,1471
chlorophyll_a,10-50,2001,0.1873,4,1514
chlorophyll_a,10-50,2002,-0.0793,4,1462
chlorophyll_a,10-50,2003,-0.0033,4,1506
chlorophyll_a,10-50,2004,0.0832,4,1419
chlorophyll_a,10-50,2005,0.184,4,1545
chlorophyll_a,10-50,2006,-0.097,4,1431
chlorophyll_a,10-50,2007,-0.0166,4,1397
chlorophyll_a,10-50,2008,-0.0508,4,1474
chlorophyll_a,10-50,2009,0.0566,4,1309
chlorophyll_a,10-50,2010,0.0381,4,1159
chlorophyll_a,10-50,2011,0.1732,4,1444
chlorophyll_a,10-50,2012,-0.0384,4,1339
chlorophyll_a,10-50,2013,0.1133,4,1410
chlorophyll_a,10-50,2014,-0.245,4,1173
chlorophyll_a,10-50,2015,-0.3024,4,1320
chlorophyll_a,10-50,2016,-0.2577,4,1476
chlorophyll_a,10-50,2017,-0.1808,4,1393
chlorophyll_a,10-50,2018,0.0038,3,864
chlorophyll_a,10-50,2019,-0.0692,4,1136
chlorophyll_a,10-50,2020,0.1837,3,860
chlorophyll_a,10-50,2021,0.0035,1,235
chlorophyll_a,100-200,1978,0.021,6,738
chlorophyll_a,100-200,1983,0.0182,7,198
chlorophyll_a,100-200,1984,-0.0056,10,1849
chlorophyll_a,100-200,1985,0.008,3,544
chlorophyll_a,100-200,1986,-0.0076,4,514
chlorophyll_a,100-200,1987,0.0083,2,407
chlorophyll_a,100-200,1988,-0.0046,4,1052
chlorophyll_a,100-200,1989,0.0061,5,1430
chlorophyll_a,100-200,1990,-0.0051,4,1069
chlorophyll_a,100-200,1991,-0.0106,4,992
chlorophyll_a,100-200,1992,0.0077,4,1249
chlorophyll_a,100-200,1993,0.0117,4,1356
chlorophyll_a,100-200,1994,0.0126,4,1370
chlorophyll_a,100-200,1995,0.0166,4,1641
chlorophyll_a,100-200,1996,0.0102,4,1425
chlorophyll_a,100-200,1997,0.0055,4,1233
