measurement_type,band,n_obs
chlorophyll_a,0-10,27971
chlorophyll_a,10-50,72711
chlorophyll_a,100-200,70830
chlorophyll_a,1000-2000,26
chlorophyll_a,200-500,9102
chlorophyll_a,50-100,64367
chlorophyll_a,500-1000,49
nitrate,0-10,26054
nitrate,10-50,70087
nitrate,100-200,75781
nitrate,1000-2000,1468
nitrate,200-500,94734
nitrate,2000+,687
nitrate,50-100,65329
nitrate,500-1000,23921
oxygen_umol_kg,0-10,45546
oxygen_umol_kg,10-50,128595
oxygen_umol_kg,100-200,139875
oxygen_umol_kg,1000-2000,13538
oxygen_umol_kg,200-500,175674
oxygen_umol_kg,2000+,3569
oxygen_umol_kg,50-100,118298
oxygen_umol_kg,500-1000,64316
salinity,0-10,57018
salinity,10-50,162923
salinity,100-200,167588
salinity,1000-2000,17620
salinity,200-500,211869
salinity,2000+,3970
salinity,50-100,141103
salinity,500-1000,84099
temperature,0-10,57864
temperature,10-50,167687
temperature,100-200,174295
temperature,1000-2000,20871
temperature,200-500,221018
temperature,2000+,4521
temperature,50-100,145659
temperature,500-1000,91910
