,net_lat,net_lon,gebco_lat,gebco_lon,ctd_depth,gebco_depth
0,28.648333,-115.283333,28.64791666666666,-115.28125,229.0,238
1,25.886666,-113.136666,25.88541666666667,-113.13541666666667,192.0,215
2,28.051666,-114.896666,28.05208333333333,-114.89791666666667,82.0,90
3,35.591666,-121.333333,35.58958333333334,-121.33125000000001,293.0,292
4,25.908333,-113.125,25.90625,-113.12708333333333,194.0,203
5,28.683333,-115.233333,28.68124999999999,-115.23125,190.0,246
6,28.05,-114.9,28.05208333333333,-114.90208333333334,86.0,91
7,33.616666,-119.866666,33.61458333333333,-119.86458333333334,219.0,265
8,28.635,-115.265,28.63541666666667,-115.26458333333333,176.0,202
9,28.05,-114.9,28.05208333333333,-114.90208333333334,84.0,91
10,33.333333,-119.658333,33.33125,-119.65625,77.0,77
11,28.636666,-115.261666,28.63541666666667,-115.26041666666667,219.0,198
12,28.058333,-114.94,28.05624999999999,-114.93958333333333,68.0,81
13,25.906666,-113.133333,25.90625,-113.13125,210.0,206
14,28.626666,-115.266666,28.62708333333333,-115.26458333333333,219.0,199
15,25.905,-113.163333,25.90625,-113.16458333333334,218.0,220
16,33.333333,-119.658333,33.33125,-119.65625,73.0,77
17,28.061666,-114.908333,28.06041666666667,-114.90625,79.0,93
18,25.941666,-113.2,25.93958333333333,-113.20208333333333,203.0,221
19,24.183333,-112.05,24.18124999999999,-112.05208333333333,208.0,218
20,28.05,-114.9,28.05208333333333,-114.90208333333334,86.0,91
21,33.4,-117.933333,33.39791666666666,-117.93125,225.0,490
22,25.908333,-113.125,25.90625,-113.12708333333333,196.0,203
23,38.4,-123.583333,38.397916666666674,-123.58125000000001,238.0,319
24,37.316666,-122.603333,37.31458333333333,-122.60208333333333,88.0,84
25,25.583333,-112.308333,25.581249999999997,-112.30625,80.0,70
26,32.253333,-117.15,32.25208333333333,-117.15208333333334,55.0,65
27,38.5,-123.366666,38.49791666666667,-123.36458333333334,112.0,100
28,28.2,-114.6,28.19791666666667,-114.59791666666666,88.0,103
29,26.075,-112.8,26.07291666666667,-112.80208333333333,82.0,83
30,41.07,-124.341666,41.068749999999994,-124.33958333333334,155.0,152
31,41.07,-124.341666,41.068749999999994,-124.33958333333334,155.0,152
32,29.183333,-114.933333,29.18124999999999,-114.93125,79.0,79
33,30.75,-116.35,30.74791666666667,-116.35208333333333,73.0,70
34,32.933333,-117.283333,32.93124999999999,-117.28125,183.0,45
35,34.45,-120.566666,34.44791666666667,-120.56458333333333,110.0,101
36,26.925,-114.105,26.92708333333333,-114.10625,82.0,85
37,25.35,-112.766666,25.352083333333326,-112.76458333333333,265.0,351
38,35.073333,-120.866666,35.07291666666667,-120.86458333333334,155.0,131
39,37.216666,-122.825,37.21458333333334,-122.82708333333333,247.0,276
40,26.491666,-113.486666,26.48958333333333,-113.48541666666667,66.0,75
41,27.383333,-114.708333,27.381249999999994,-114.70625,73.0,69
42,36.173333,-121.761666,36.172916666666666,-121.76041666666666,256.0,370
43,39.033333,-123.853333,39.03125,-123.85208333333333,108.0,104
44,37.791666,-123.25,37.789583333333326,-123.25208333333333,104.0,118
45,39.766666,-123.903333,39.76458333333332,-123.90208333333334,115.0,104
46,40.233333,-124.536666,40.23124999999999,-124.53541666666666,293.0,227
47,29.083333,-115.133333,29.081249999999997,-115.13125,95.0,93
48,28.05,-114.9,28.05208333333333,-114.90208333333334,86.0,91
49,28.941666,-115.458333,28.93958333333333,-115.45625,229.0,1142
50,28.35,-114.275,28.352083333333326,-114.27708333333334,59.0,73
51,31.686666,-116.716666,31.68541666666667,-116.71458333333334,139.0,165
52,41.786666,-124.463333,41.78541666666666,-124.46458333333334,155.0,166
53,36.816666,-122.076666,36.81458333333333,-122.07708333333333,106.0,105
54,34.025,-119.041666,34.02291666666666,-119.03958333333333,256.0,276
55,35.616666,-121.276666,35.61458333333333,-121.27708333333334,97.0,96
56,28.216666,-114.57,28.214583333333337,-114.56875,91.0,99
57,34.441666,-120.541666,34.43958333333333,-120.53958333333333,91.0,92
58,28.033333,-114.9,28.03125,-114.90208333333334,73.0,83
59,26.075,-112.808333,26.07291666666667,-112.80625,82.0,83
60,31.703333,-116.723333,31.702083333333334,-116.72291666666666,82.0,169
61,29.083333,-115.133333,29.081249999999997,-115.13125,95.0,93
62,31.086666,-116.416666,31.08541666666666,-116.41458333333333,71.0,68
63,28.383333,-114.25,28.381249999999994,-114.25208333333333,55.0,66
