netid,cruise_ymd,ctdcruise,cast_count,nline,nstation,stline,ststa,acline,acsta,rptline,rptsta,ctdlat,ctdlon,nlat,nlon,bottomdepth,date,time,nettime
18,195101,195101,2331,80,80,80,80,80.4,80.2,80,80,33.416666,-122.5,33.416666,-122.5,4389,1951-01-25,21:18:00,1951-01-25 22:27:00+00
43,195101,195101,2227,100,40,100,40,99.9,40.3,100,40,31.358333,-117.483333,31.36,-117.481666,1957,1951-01-13,23:24:00,1951-01-14 00:07:00+00
77,195101,195101,2264,116.7,35,116.7,35,116.5,35.1,116.7,35,28.65,-115.283333,28.648333,-115.283333,229,1951-01-10,05:30:00,1951-01-10 03:40:00+00
71,195101,195101,2258,96.7,80,96.7,80,96.7,80.9,96.7,80,30.566666,-120.575,30.566666,-120.575,4023,1951-01-21,22:30:00,1951-01-21 23:31:00+00
44,195101,195101,2228,100,50,100,50,99.7,50.9,100,50,31.041666,-118.216666,31.041666,-118.213333,1829,1951-01-14,05:30:00,1951-01-14 06:06:00+00
97,195101,195101,2283,120,110,120,110,120,107.8,120,110,25.633333,-119.583333,25.633333,-119.58,4078,1951-01-17,09:30:00,1951-01-17 10:20:00+00
89,195101,195101,2276,110,40,110,40,109.9,40.1,110,40,29.641666,-116.35,29.643333,-116.35,2542,1951-01-14,20:48:00,1951-01-14 19:41:00+00
72,195101,195101,2259,96.7,70,96.7,70,96.9,69.7,96.7,70,30.891666,-119.8,30.895,-119.796666,3566,1951-01-22,05:18:00,1951-01-22 05:51:00+00
21,195101,195101,2335,70,80,70,80,70.1,80.8,70,80,35.166666,-123.816666,35.166666,-123.816666,,1951-01-27,08:36:00,1951-01-27 10:22:00+00
11,195101,195101,2324,80,55,80,55,80,55,80,55,34.316666,-120.8,34.316666,-120.8,732,1951-01-23,21:48:00,1951-01-23 22:55:00+00
4,195101,195101,2316,86.7,70,86.7,70,86.9,70.3,86.7,70,32.616666,-121.033333,32.616666,-121.033333,3658,1951-01-20,10:54:00,1951-01-20 12:44:00+00
103,195101,195101,2289,120,50,120,50,119.7,50.8,120,50,27.583333,-115.958333,27.583333,-115.955,3840,1951-01-18,23:36:00,1951-01-18 22:25:00+00
10,195101,195101,2322,83.3,60,83.3,60,83.4,60,83.3,60,33.566666,-120.75,33.566666,-120.75,1829,1951-01-22,07:24:00,1951-01-22 08:30:00+00
30,195101,195101,2344,60,60,60,60,60,60.1,60,60,37.616666,-123.616666,37.616666,-123.616666,3178,1951-01-29,18:06:00,1951-01-29 19:26:00+00
49,195101,195101,2234,100,100,100,100,100,100.1,100,100,29.341666,-121.45,29.34,-121.45,4023,1951-01-15,10:36:00,1951-01-15 11:11:00+00
9,195101,195101,2321,83.3,70,83.3,70,83.3,70.2,83.3,70,33.233333,-121.45,33.233333,-121.45,,1951-01-22,00:18:00,1951-01-22 01:55:00+00
52,195101,195101,2238,90,120,90,120,89.8,120.7,90,120,30.433333,-124.075,30.431666,-124.073333,4297,1951-01-16,16:00:00,1951-01-16 16:36:00+00
8,195101,195101,2320,83.3,80,83.3,80,82.5,81.5,83.3,80,33,-122.333333,33,-122.333333,4023,1951-01-21,16:36:00,1951-01-21 17:39:00+00
83,195101,195101,2270,113.3,60,113,60,113.4,60.2,113.3,60,28.366666,-117.275,28.366666,-117.275,3292,1951-01-11,17:30:00,1951-01-11 16:26:00+00
95,195101,,,110,110,,,,,,,,,27.316666,-121.096666,,,,1951-01-16 16:14:00+00
39,195101,195101,2223,103.3,60,103,60,103.7,59.4,103.3,60,30.066666,-118.325,30.066666,-118.326666,3566,1951-01-11,16:48:00,1951-01-11 17:31:00+00
52,195101,195101,2239,90,120,90,120,89.8,120.7,90,120,30.433333,-124.075,30.431666,-124.073333,4297,1951-01-16,17:36:00,1951-01-16 16:36:00+00
24,195101,195101,2338,70,55,70,55,69.9,55.2,70,55,36.05,-122.033333,36.05,-122.033333,1463,1951-01-28,04:00:00,1951-01-28 04:56:00+00
55,195101,195101,2242,90,90,90,90,90.9,87.5,90,90,31.35,-121.716666,31.351666,-121.72,4023,1951-01-17,10:24:00,1951-01-17 10:51:00+00
91,195101,195101,2278,110,60,110,60,110.1,60.2,110,60,28.933333,-117.65,28.933333,-117.65,6218,1951-01-15,09:42:00,1951-01-15 08:42:00+00
121,195101,195101,2307,133.3,30,133,30,133.5,30.2,133.3,30,25.883333,-113.133333,25.886666,-113.136666,192,1951-01-23,13:06:00,1951-01-23 12:21:00+00
92,195101,195101,2279,110,70,110,70,109.7,69.9,110,70,28.683333,-118.333333,28.683333,-118.336666,2468,1951-01-15,17:30:00,1951-01-15 16:21:00+00
62,195101,195101,2249,90,30,90,30,90.2,29.9,90,30,33.391666,-117.875,33.395,-117.878333,604,1951-01-19,18:36:00,1951-01-19 19:01:00+00
102,195101,195101,2288,120,60,120,60,119.3,60.7,120,60,27.316666,-116.641666,27.316666,-116.638333,4114,1951-01-18,17:24:00,1951-01-18 15:41:00+00
