li,docid,url,title,more_versions,related_article,explore_at,explore_at_n,download_formats,download_formats_n,dataset_updated,dataset_provided_by,time_period_covered,area_covered,authors,description
1,L2cvMTFqbnlsc3BmeQ==,https://datasetsearch.research.google.com/search?docid=L2cvMTFqbnlsc3BmeQ==,"Citation-based repository for knowledge of species in the kelp forest ecosystem of Central and Southern CA maintained by the Long Marine Lab at the University of California, Santa Cruz from 2010-2013",NA,NA,https://www.bco-dmo.org/dataset/3657; https://search.dataone.org/view/sha256%3A62de495e8abfdc307cce62bf3aae26aeaa0b274cac500ff7b825ab78b8a9cf8c,2,,0,2012-05-15,Biological and Chemical Data Management Office,NA,NA,Mark Carr; Jennifer Caselle; James A. Estes; Philip S. Levin; Tim Tinker,"The CAMEO Kelp Forest Database is a citation-based repository for knowledge of the identities, life-histories, and interactions between the species present in the nearshore kelp forest ecosystems of the eastern Pacific, focusing in particular on central and southern California.At present the database consists of two parts: (i) The database-proper (a MySQL database housed on a server at UCSC) and (ii) an online interface to the database, accessible to anyone with an internet connection, built to permit multiple users to enter information into the database simultaneously.

To access the Kelp Forest Database, visit http://kelpforest.ucsc.edu/"">http://kelpforest.ucsc.edu/ (Note: At this point in time the online interface is designed only for manual data-entry. The goal is to add batch-importing, data visualization, and data exporting utilities in the future.) Read/Write/Export access to the database interface currently requires user registration. Read-only access is available to anyone using a visitor account."
2,L2cvMTFqbno1emc5OQ==,https://datasetsearch.research.google.com/search?docid=L2cvMTFqbno1emc5OQ==,Kelp Dataset,NA,NA,https://obis.org/dataset/2e0f8766-9a75-4422-9ba4-7f65acfbeb51; https://portal.obis.org/dataset/2e0f8766-9a75-4422-9ba4-7f65acfbeb51; https://www.gbif.org/dataset/4230db27-6316-44f7-96c9-165972014686; https://bionomia.net/dataset/4230db27-6316-44f7-96c9-165972014686; https://fr.bionomia.net/dataset/4230db27-6316-44f7-96c9-165972014686; https://zh.bionomia.net/dataset/4230db27-6316-44f7-96c9-165972014686,6,zip,1,2024-06-14,NA,1883,NA,NA,"This dataset contains kelp occurrence data around Japan which were registered from various sources in Hokkaido and Japan by S9-5 supported by the Environment Research and Technology Development Fund (S9) of the Ministry of the Environment, Japan."
3,L2cvMTFuNzJucWdfMQ==,https://datasetsearch.research.google.com/search?docid=L2cvMTFuNzJucWdfMQ==,PISCO Kelp Forest Community Surveys,NA,NA,https://search.dataone.org/view/doi%3A10.6085%2FAA%2FPISCO_kelpforest.1.6; https://data.nceas.ucsb.edu/view/doi%3A10.6085%2FAA%2FPISCO_kelpforest.1.5; https://data.piscoweb.org/metacatui/view/doi:10.6085/AA/PISCO_kelpforest.1.6; https://search-sandbox-2.test.dataone.org/view/doi%3A10.6085%2FAA%2FPISCO_kelpforest.1.2; https://knb.ecoinformatics.org/view/doi%3A10.6085%2FAA%2FPISCO_kelpforest.1.6; https://dataone.org/datasets/doi%3A10.6085%2FAA%2FPISCO_kelpforest.1.2; https://search-demo.dataone.org/view/doi%3A10.6085%2FAA%2FPISCO_kelpforest.1.5,7,,0,2020-09-09,PISCO MN,"Sep 7, 1999","{""type"":""Feature"",""bbox"":[-125.0,33.0,-118.0,45.0],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Polygon"",""coordinates"":[[[-125.0,33.0],[-125.0,45.0],[-118.0,45.0],[-118.0,33.0],[-125.0,33.0]]]}]}}",Mark H. Carr; Jennifer E. Caselle; Kathryn D. Koehn; Daniel P. Malone,"In 1998, the Partnership for Interdisciplinary Studies of Coastal
 Oceans (PISCO) designed and initiated a large scale, long-term
 monitoring study of kelp forest ecosystems along portions of the
 southern, central and northern coast of California and southern
 Oregon, USA. The program is administered out of the University of
 California campuses in Santa Cruz and Santa Barbara and funded
 primarily by the David and Lucile Packard Foundation. The purpose of
 the study has been to characterize the regional and temporal patterns
 of kelp forest ecosystem structure and evaluate the relative
 contributions of biological and environmental variables in explaining
 observed spatial and temporal patterns. For this purpose, the
 ecological community and physical structure of kelp forest ecosystems
 have been surveyed using trained SCUBA divers. The biological
 structure includes the more conspicuous fishes, invertebrates, and
 macroalgae. The physical structure includes geomorphological
 attributes (substratum type and vertical relief). Among other
 applications, these surveys have informed the design and evaluation of
 the state-wide network of marine protected areas (MPAs) established by
 California’s Marine Life Protection Act. Over time, the role of the
 monitoring program for evaluating the ecological responses to the
 establishment of the MPAs greatly influenced both the spatial and
 temporal design of the monitoring program."
4,L2cvMTFocmdjX2Q1eg==,https://datasetsearch.research.google.com/search?docid=L2cvMTFocmdjX2Q1eg==,Kelp distribution off California,NA,NA,https://www.fisheries.noaa.gov/inport/item/39359; http://datadiscoverystudio.org/geoportal/rest/metadata/item/e281646f1d99440086521732b425098c/html; https://datasets.ai/datasets/kelp-distribution-off-california; https://datasetguide.com/dataset/2b49bf48111128093b10daa2171814c9/; https://catalog.data.gov/dataset/kelp-distribution-off-california1,5,shapefile,1,2004-01-01,National Centers for Coastal Ocean Science,1989,"{""type"":""Feature"",""bbox"":[-124.397,32.5204,-116.827,40.4751],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Polygon"",""coordinates"":[[[-124.397,32.5204],[-124.397,40.4751],[-116.827,40.4751],[-116.827,32.5204],[-124.397,32.5204]]]}]}}",Randy Clark,"This data set delineates kelp beds (Nereocystis leutkeana and Macrocystis spp.) along the Pacific Coast of California.  Multiple years of kelp mapping data for the state have been compiled into a single coastwide data set. Due to variability in oceanographic and climatic conditions, kelp bed abundance and distribution is extremely variable from year to year. Therefore kelp bed locations and..."
5,L2cvMTF3MjE1ampwOQ==,https://datasetsearch.research.google.com/search?docid=L2cvMTF3MjE1ampwOQ==,Historical kelp forests in California over multiple centuries,NA,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.xpnvx0khq; https://search.dataone.org/view/sha256%3A612ec412c8b3947ced04561ddb5769d4c1ec8f847d1d3ee913b37b5f0c34c388; https://data.niaid.nih.gov/resources?id=dryad_xpnvx0khq; https://commons.datacite.org/doi.org/10.5061/dryad.xpnvx0khq,4,zip,1,2024-06-27,Dryad,2022,NA,Jennifer Selgrath; James Carlton; John Pearse; Timothy Thomas; Fiorenza Micheli,"Historical kelp forests in California over multiple centuries

https://doi.org/10.5061/dryad.xpnvx0khq

For this research, we integrated hundreds of datasets to look at the historical changes in kelp forests through time. The data sets we considered ranged from 1602 to 2020.



















FILETYPEDESCRIPTIONYEARScoding_themes_categories_oral_histories.csvanalysisthemes used to code oral history  data                     ..."
6,L2cvMTF5M3dwcHFsMg==,https://datasetsearch.research.google.com/search?docid=L2cvMTF5M3dwcHFsMg==,kelp-data,NA,NA,https://www.kaggle.com/datasets/sietseschrder/kelp-data,1,zip(5647579675 bytes),1,2023-12-21,NA,NA,NA,Sietse Schröder,"Dataset

This dataset was created by Sietse Schröder

Released under World Bank Dataset Terms of Use

Contents"
7,L2cvMTF5NDdfdnM1aA==,https://datasetsearch.research.google.com/search?docid=L2cvMTF5NDdfdnM1aA==,Administrative Kelp Beds - R7 - CDFW [ds3135],https://datasetsearch.research.google.com/search?src=0&query=versions%3AAdministrative%20Kelp%20Beds%20-%20R7%20-%20CDFW%20%5Bds3135%5D&docid=L2cvMTF5NDdfdnM1aA%3D%3D&vers=MTc0NTkwMzQ0NDk3NDY3NTQ1MDM%3D,NA,https://catalog.data.gov/dataset/administrative-kelp-beds-r7-cdfw-ds3135-c91c5; https://dl.3184583.best/default/https/data.ca.gov/dataset/administrative-kelp-beds-r7-cdfw-ds3135; https://data.cnra.ca.gov/dataset/administrative-kelp-beds-r7-cdfw-ds3135; https://data.ca.gov/dataset/administrative-kelp-beds-r7-cdfw-ds3135; https://gis.data.ca.gov/maps/CDFW::administrative-kelp-beds-r7-cdfw-ds3135/about; https://hub.arcgis.com/datasets/ab454f2e05724a1482a7b983ec316642_0?uiVersion=content-views; https://data-cdfw.opendata.arcgis.com/datasets/CDFW::administrative-kelp-beds-r7-cdfw-ds3135,7,,0,2024-05-14,https://wildlife.ca.gov/,NA,NA,NA,"Kelp beds along the coast of California are a critical habitat for many species of invertebrates, fish, and marine mammals. Title 14, California Code of Regulations, designates 87 administrative kelp beds for the purposes of managing commercial kelp harvest. Open kelp beds are available to commercial kelp harvest and leases cannot be issued; Closed kelp beds are closed to all kelp harvesting; Leasable kelp beds are available for kelp harvesting until the bed is leased, at which time only the lessee may harvest; Leased kelp beds are closed to all kelp harvesting unless an exclusive lease is obtained. The California Fish and Game Commission adopted regulation amendments and new regulations for commercial harvest of kelp and other marine algae (effective January 1, 2023). The amended regulations include temporary changes that expire on January 1, 2026. The changes aim to reduce harvest pressure on bull kelp, which is in decline in Sonoma and Mendocino counties. Attributes: KelpBed: Number used to identify specific administrative kelp bed. Status: Current designation (open, closed, leasable, leased). Lessee: Current organization leasing the kelp bed. TermEnds: End date of the current lease."
8,L2cvMTF2d25xcXY1bA==,https://datasetsearch.research.google.com/search?docid=L2cvMTF2d25xcXY1bA==,Data from: Kelp Wanted Dataset,NA,https://doi.org/10.1016/S0262-4079%2814%2961402-0,https://www.kaggle.com/datasets/awsaf49/kelp-wanted-dataset,1,zip(8869800407 bytes),1,2024-01-24,NA,NA,NA,Awsaf,"Dataset

This dataset was created by Awsaf

Released under GPL 3

Contents"
9,L2cvMTF5M3h3a3o2bA==,https://datasetsearch.research.google.com/search?docid=L2cvMTF5M3h3a3o2bA==,Kelp growth data from seasonal global change experiments examining the effects of seasonal variation in light availability and nutrients on the response of three high-latitude kelp species,NA,NA,https://www.bco-dmo.org/dataset/906317; https://darchive.mblwhoilibrary.org/handle/1912/66795; https://vimal-demo.bco-dmo.org/dataset/906317,3,png(56356 bytes); pdf(114701 bytes); csv(67466 bytes); csv(694 bytes); csv(2368 bytes),5,2023-08-16,Biological and Chemical Data Management Office,"Feb 12, 2020","{""type"":""Feature"",""bbox"":[-135.414,57.073,-135.414,57.073],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Polygon"",""coordinates"":[[[-135.414,57.073],[-135.414,57.073],[-135.414,57.073],[-135.414,57.073],[-135.414,57.073]]]}]}}",Lauren E. Bell; Kristy J. Kroeker,"This kelp growth dataset results from two, month-long global change laboratory experiments conducted in Sitka, Alaska from February 12 to March 18, 2020 (""winter"" experiment) and August 15 to September 16, 2020 (""summer"" experiment). These experiments were used to tease apart the effects of seasonal variation in light availability and nutrients on the response of three high-latitude kelp species (Macrocystis pyrifera, Hedophyllum nigripes, and Neoagarum fimbriatum) to pH and temperature. Experimental controls were designed to approximate current environmental conditions in Sitka Sound, and treatments were based on projected end-of-century scenarios of ocean acidification (OA) and warming (OW) for this region. At the end of the experiments, the investigators assessed the seasonal impact of OW and OA on kelp growth rates, thallus nitrogen content, and carbon acquisition strategy based on thallus δ13C values. Finally, to test whether kelp palatability was impacted by future warming and acidification, tissue of H. nigripes and N. fimbriatum grown during the experiments was used to perform feeding assays with a common kelp forest consumer. 

These experiments were performed to improve our understanding of how global change will alter marine primary producer resources by integrating natural variation in environmental drivers. This project was overseen by Dr. Kristy Kroeker and her Ph.D. student Lauren Bell, both at the University of California Santa Cruz. Experiments took place in the basement laboratory at the Sitka Sound Science Center in Sitka, AK. This work was supported by the National Science Foundation (OCE-1752600), the David and Lucile Packard Foundation, the North Pacific Research Board's Graduate Student Research Award (1748-02), the UCSC Physical and Biological Sciences 2019 Future Leaders in Coastal Science Award, the Seymour Marine Discovery Center's Student Research and Education Award, and the California State University Monterey Bay Undergraduate Research Opportunities Center."
10,L2cvMTFxcDRneW1zbg==,https://datasetsearch.research.google.com/search?docid=L2cvMTFxcDRneW1zbg==,Data from: SBC LTER: Reef: Historical Kelp Database for giant kelp (Macrocystis pyrifera) biomass in California and Mexico,NA,https://scholar.google.com/scholar?q=allintitle%3A+%22SBCLTER:+Reef:+Historical+Kelp+Database+for+giant+kelp+%28Macrocystis+pyrifera%29+biomass+in+California+and+Mexico%22,https://dataone.org/datasets/knb-lter-sbc.14.13; https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sbc.14.12,2,,0,2014-05-24,http://www.lternet.edu/,"Aug 13, 1957","{""type"":""Feature"",""bbox"":[-122.44,30.0,-117.15,37.38],""geometry"":{""type"":""GeometryCollection"",""geometries"":[{""type"":""Polygon"",""coordinates"":[[[-122.44,30.0],[-122.44,37.38],[-117.15,37.38],[-117.15,30.0],[-122.44,30.0]]]}]}}",Daniel C Reed; Santa Barbara Coastal LTER,"ISP Alginates (formerly Kelco Co.) has collected information on the abundance of giant kelp ( Macrocystis pyrifera ) in California and Mexico from routine aerial surveys since 1957. The standard protocol consists of an observer visually estimating the amount of harvestable giant kelp biomass within designated kelp beds from a small fixed-wing aircraft. Observations were recorded on paper data sheets in the field and archived in notebooks housed at ISP Alginates. With cooperation from ISP Alginates, the SBCLTER converted ISP Alginates long-term records of giant kelp biomass into a digital format. The database consists of a data table containing kelp biomass, a catalog of maps. The format ISP Alginates used to report kelp abundance data changed periodically over the course of the collecting period. These details, pus descriptions of designated kelp beds are described in the protocol document."
