cruise,ship,n_orderocc
0403,FR,23
0007,NH,440
0706,MF,11
0307,NH,237
0302,SP,1361
8104,PN,10
5005,HO,48
0610,JD,1670
4104,ES,71
8904,JD,2
5007,PT,20
0110,M4,82
0404,LM,39
5004,BD,24
0509,M2,51
0210,JD,2433
1411,NH,149
5008,BD,31
5005,CR,50
5007,BD,48
0504,JD,167
5003,HO,39
4106,ES,44
5008,CR,31
5009,PT,10
0211,NH,262
1001,NH,186
0407,JD,577
0110,NH,408
7210,AX,1
0810,NH,281
0006,JD,1323
0410,LM,56
0106,JD,1482
5003,CR,3
0302,JD,910
8803,JD,8
5003,BD,25
0101,JD,535
0610,RR,329
9306,JD,554
1501,NH,160
0402,LM,33
0110,JD,209
5009,BD,21
0707,NH,446
9804,JD,103
0501,LM,60
5004,CR,46
4003,ES,62
4006,ES,27
0004,JD,861
9504,JD,70
9809,NH,50
0604,JD,234
0810,M2,83
0204,M4,169
9001,JD,6
5009,CR,7
1202,NH,239
9703,JD,315
0304,JD,325
0001,NH,586
5004,HO,30
0404,NH,703
0502,JD,231
1407,NH,222
0307,FR,7
0904,FR,784
9704,NH,77
0507,LM,26
0903,JD,644
0501,JD,180
0911,NH,493
0602,JD,833
0604,NH,725
0310,NH,349
5006,CR,65
9904,JD,301
9910,NH,123
1301,SH,320
5002,CR,34
0710,M2,60
1402,SH,53
0411,LM,21
9107,NH,1705
0010,M4,1996
0201,JD,795
4107,ES,12
0704,JD,616
1404,OS,94
0610,M2,1396
0607,NH,631
5006,PT,21
0807,JD,379
0510,JD,414
0504,NH,913
4103,ES,64
0504,LM,89
0804,MF,554
9709,NH,34
4004,ES,64
0502,LM,30
0804,JD,595
0901,NH,451
9802,JD,122
0204,JD,751
5005,BD,18
5002,HO,28
9807,NH,49
9908,NH,119
9707,JD,30
0402,NH,960
5003,PT,11
0407,FR,35
0104,JD,713
9503,JD,416
0107,NH,579
0010,NH,441
0808,NH,458
5008,PT,4
0010,JD,1243
0604,OD,257
0401,LM,10
0801,JD,501
1101,NH,261
8701,JD,8
8304,TC,341
0401,JD,673
8511,JD,51
0501,NH,626
5002,BD,21
0701,JD,722
4005,ES,41
9701,JD,208
1304,SH,84
5007,CR,50
5006,BD,28
0210,M4,616
9901,RR,65
0310,JD,1750
0510,M2,66
9104,JD,1496
0711,NH,204
0207,NH,381
0411,RR,385
0404,JD,442
2101,RL,302
7803,OP,99
0503,FR,31
0507,NH,527
3906,ES,21
0405,LM,67
4105,ES,67
4108,ES,1
0907,M2,560
0304,RR,589
1207,SH,6
0310,M2,960
0511,NH,338
8903,JD,18
1311,NH,136
0202,NH,1990
9203,NH,1268
