cruise,ship,orderocc,towtype,townum,netloc,spccode,count,longitude,latitude,line,station,geom,shf,volsampled,percsorted,datetime,date
0704,JD,7,CB,1,S,683,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0401,JD,83,CB,1,S,299,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0401,JD,83,CB,1,S,292,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0401,JD,83,CB,1,S,288,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0401,JD,83,CB,1,S,260,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,296,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,288,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,261,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,260,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,239,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,226,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,93,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,546,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,78,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,40,CB,1,S,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302,JD,70,MT,1,P,683,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0401,JD,17,CB,1,S,296,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0401,JD,17,CB,1,S,288,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0401,JD,17,CB,1,S,121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
