"","year","cruise","OO","line","station","ship_code","order_occupied","net_type","tow_number","latitude","longitude","time","stlarv","key","region","BSB","KB","SSB","DBSta_ID"
"1",1951,195106,NA,93.3,30,"YE",1,"C1",1,"32.833332","-117.525","1951-05-30T22:46:00Z",0,"19-5106YE-09330300","Southern California",0,0,0,"09330300"
"2",1951,195106,NA,123.3,40,"HO",1,"C1",1,"27.3","-114.85833","1951-05-31T04:55:00Z",0,"19-5106HO-12330400","Baja California",0,0,0,"12330400"
"3",1951,195106,NA,86.7,35,"YE",2,"C1",1,"33.833332","-118.625","1951-05-31T07:52:00Z",0,"19-5106YE-08670350","Southern California",0,0,0,"08670350"
"4",1951,195106,NA,123.3,50,"HO",2,"C1",1,"26.911667","-115.473335","1951-05-31T09:31:00Z",0,"19-5106HO-12330500","Baja California",0,0,0,"12330500"
"5",1951,195106,NA,86.7,40,"YE",3,"C1",1,"33.666668","-118.975","1951-05-31T11:45:00Z",0,"19-5106YE-08670400","Southern California",0,0,0,"08670400"
"6",1951,195106,NA,133.3,30,"CR",1,"C1",1,"25.941668","-113.2","1951-05-31T15:19:00Z",0,"19-5106CR-13330300","Baja California",0,0,0,"13330300"
"7",1951,195106,NA,123.3,60,"HO",3,"C1",1,"26.636667","-116.15","1951-05-31T15:36:00Z",0,"19-5106HO-12330600","Baja California",0,0,0,"12330600"
"8",1951,195106,NA,83.3,55,"YE",4,"C1",1,"33.733334","-120.40833","1951-05-31T20:56:00Z",0,"19-5106YE-08330550","Southern California",0,0,0,"08330550"
"9",1951,195106,NA,133.3,40,"CR",2,"C1",1,"25.566668","-113.76667","1951-05-31T21:16:00Z",0,"19-5106CR-13330400","Baja California",0,0,0,"13330400"
"10",1951,195106,NA,126.7,60,"HO",4,"C1",1,"26.053333","-115.791664","1951-05-31T21:56:00Z",0,"19-5106HO-12670600","Baja California",0,0,0,"12670600"
"11",1951,195106,NA,133.3,50,"CR",3,"C1",1,"25.241667","-114.4","1951-06-01T02:44:00Z",0,"19-5106CR-13330500","Baja California",0,0,0,"13330500"
"12",1951,195106,NA,126.7,50,"HO",5,"C1",1,"26.393333","-115.121666","1951-06-01T04:11:00Z",0,"19-5106HO-12670500","Baja California",0,0,0,"12670500"
"13",1951,195106,NA,133.3,60,"CR",4,"C1",1,"24.908333","-115.025","1951-06-01T08:21:00Z",0,"19-5106CR-13330600","Baja California",0,0,0,"13330600"
"14",1951,195106,NA,126.7,40,"HO",6,"C1",1,"26.661667","-114.51667","1951-06-01T10:36:00Z",0,"19-5106HO-12670400","Baja California",0,0,0,"12670400"
"15",1951,195106,NA,136.7,60,"CR",5,"C1",1,"24.316668","-114.675","1951-06-01T13:56:00Z",0,"19-5106CR-13670600","Baja California",0,0,0,"13670600"
"16",1951,195106,NA,130,35,"HO",7,"C1",1,"26.37","-113.905","1951-06-01T16:36:00Z",0,"19-5106HO-13000350","Baja California",0,0,0,"13000350"
"17",1951,195106,NA,136.7,50,"CR",6,"C1",1,"24.65","-114.041664","1951-06-01T19:12:00Z",0,"19-5106CR-13670500","Baja California",0,0,0,"13670500"
"18",1951,195106,NA,130,40,"HO",8,"C1",1,"26.146667","-114.121666","1951-06-01T20:16:00Z",0,"19-5106HO-13000400","Baja California",0,0,0,"13000400"
"19",1951,195106,NA,136.7,40,"CR",7,"C1",1,"24.98","-113.39167","1951-06-02T00:55:00Z",0,"19-5106CR-13670400","Baja California",0,0,0,"13670400"
"20",1951,195106,NA,130,50,"HO",9,"C1",1,"25.84","-114.833336","1951-06-02T02:46:00Z",0,"19-5106HO-13000500","Baja California",0,0,0,"13000500"
"21",1951,195106,NA,136.7,35,"CR",8,"C1",1,"25.133333","-113.083336","1951-06-02T03:26:00Z",0,"19-5106CR-13670350","Baja California",0,0,0,"13670350"
"22",1951,195106,NA,140,35,"CR",9,"C1",1,"24.583334","-112.708336","1951-06-02T10:41:00Z",0,"19-5106CR-14000350","Baja California",0,0,0,"14000350"
"23",1951,195106,NA,130,60,"HO",10,"C1",1,"25.441668","-115.46833","1951-06-02T10:46:00Z",0,"19-5106HO-13000600","Baja California",0,0,0,"13000600"
"24",1951,195106,NA,86.7,60,"YE",11,"C1",1,"33.016666","-120.3","1951-06-02T14:27:00Z",0,"19-5106YE-08670600","Southern California",0,0,0,"08670600"
"25",1951,195106,NA,140,40,"CR",10,"C1",1,"24.416666","-113.025","1951-06-02T15:11:00Z",0,"19-5106CR-14000400","Baja California",0,0,0,"14000400"
"26",1951,195106,NA,86.7,50,"YE",12,"C1",1,"33.466667","-119.76667","1951-06-02T18:58:00Z",0,"19-5106YE-08670500","Southern California",0,0,0,"08670500"
