rowid,starttime,lon,lat,t_degc,datetime,longitude,latitude,depthm,diff_kms,diff_hrs,nrow
1,1951-05-30T22:46:00Z,-117.525,32.833332,16.06,1951-05-30T22:12:00Z,-117.525,32.833333,10,1.109015e-4,-0.5666666666666667,4
1,1951-05-30T22:46:00Z,-117.525,32.833332,15.28,1951-05-30T22:12:00Z,-117.525,32.833333,20,1.109015e-4,-0.5666666666666667,4
1,1951-05-30T22:46:00Z,-117.525,32.833332,14.5,1951-05-30T22:12:00Z,-117.525,32.833333,30,1.109015e-4,-0.5666666666666667,4
1,1951-05-30T22:46:00Z,-117.525,32.833332,12.95,1951-05-30T22:12:00Z,-117.525,32.833333,50,1.109015e-4,-0.5666666666666667,4
2,1951-05-31T04:55:00Z,-114.85833,27.3,16.6,1951-05-31T04:18:00Z,-114.858333,27.3,7,2.9697043e-4,-0.6166666666666667,8
2,1951-05-31T04:55:00Z,-114.85833,27.3,16.52,1951-05-31T04:18:00Z,-114.858333,27.3,10,2.9697043e-4,-0.6166666666666667,8
2,1951-05-31T04:55:00Z,-114.85833,27.3,16.3,1951-05-31T04:18:00Z,-114.858333,27.3,18,2.9697043e-4,-0.6166666666666667,8
2,1951-05-31T04:55:00Z,-114.85833,27.3,16.14,1951-05-31T04:18:00Z,-114.858333,27.3,20,2.9697043e-4,-0.6166666666666667,8
2,1951-05-31T04:55:00Z,-114.85833,27.3,15.21,1951-05-31T04:18:00Z,-114.858333,27.3,30,2.9697043e-4,-0.6166666666666667,8
2,1951-05-31T04:55:00Z,-114.85833,27.3,14.79,1951-05-31T04:18:00Z,-114.858333,27.3,34,2.9697043e-4,-0.6166666666666667,8
2,1951-05-31T04:55:00Z,-114.85833,27.3,13.57,1951-05-31T04:18:00Z,-114.858333,27.3,50,2.9697043e-4,-0.6166666666666667,8
2,1951-05-31T04:55:00Z,-114.85833,27.3,13.49,1951-05-31T04:18:00Z,-114.858333,27.3,51,2.9697043e-4,-0.6166666666666667,8
4,1951-05-31T09:31:00Z,-115.473335,26.911667,16.98,1951-05-31T10:54:00Z,-115.475,26.908333,9,0.40474802995,1.3833333333333333,5
4,1951-05-31T09:31:00Z,-115.473335,26.911667,16.95,1951-05-31T10:54:00Z,-115.475,26.908333,10,0.40474802995,1.3833333333333333,5
4,1951-05-31T09:31:00Z,-115.473335,26.911667,16.68,1951-05-31T10:54:00Z,-115.475,26.908333,20,0.40474802995,1.3833333333333333,5
4,1951-05-31T09:31:00Z,-115.473335,26.911667,16.41,1951-05-31T10:54:00Z,-115.475,26.908333,30,0.40474802995,1.3833333333333333,5
4,1951-05-31T09:31:00Z,-115.473335,26.911667,15.86,1951-05-31T10:54:00Z,-115.475,26.908333,50,0.40474802995,1.3833333333333333,5
6,1951-05-31T15:19:00Z,-113.2,25.941668,15.72,1951-05-31T14:48:00Z,-113.2,25.941666,0,2.215742e-4,-0.5166666666666667,5
6,1951-05-31T15:19:00Z,-113.2,25.941668,15.61,1951-05-31T14:48:00Z,-113.2,25.941666,10,2.215742e-4,-0.5166666666666667,5
