archive,path,study,data_stage,cast_dir,n_bytes,sha256,n_rows,n_issues,cruise_key
20-0001NH_CTDFinalDB.zip,20-0001NH_CTDFinalDB/20-0001NH_CTDBTL_001-066D.csv,0001NH,final,D,12542182,4e1cde9c2385e105f7c92523d3432ec7c78ae55a0fc780da9c11d67f9e46f280,29601,0,2000-01-32NM
20-0001NH_CTDFinalDB.zip,20-0001NH_CTDFinalDB/20-0001NH_CTDBTL_001-066U.csv,0001NH,final,U,12556609,2db11454555d0278e80b60d1e56b9bcf873a90cdd6c206fc754371f9a5c9bf88,29648,0,2000-01-32NM
20-0001NH_CTDFinalQC.zip,20-0001NH_CTDFinalQC/db_csvs/20-0001NH_CTDBTL_001-066D.csv,0001NH,final,D,12542182,4e1cde9c2385e105f7c92523d3432ec7c78ae55a0fc780da9c11d67f9e46f280,29601,0,2000-01-32NM
20-0001NH_CTDFinalQC.zip,20-0001NH_CTDFinalQC/db_csvs/20-0001NH_CTDBTL_001-066U.csv,0001NH,final,U,12556609,2db11454555d0278e80b60d1e56b9bcf873a90cdd6c206fc754371f9a5c9bf88,29648,0,2000-01-32NM
20-0001NH_CTDFinalQC.zip,20-0001NH_CTDFinalQC/db_csvs/uncorrected/20-0001NH_CTDBTL_001-029ID.csv,0001NH,final,D,5666028,62b8ff3c2ec7ebe280edae1f382429d4741fb2971c2c52047d3982d47fa22623,13367,0,2000-01-32NM
20-0001NH_CTDFinalQC.zip,20-0001NH_CTDFinalQC/db_csvs/uncorrected/20-0001NH_CTDBTL_001-029IU.csv,0001NH,final,U,5673257,89142f89509b4f7fe75af17d598b11d1c77a638770ae09255590754b30a912de,13391,0,2000-01-32NM
20-0001NH_CTDFinalQC.zip,20-0001NH_CTDFinalQC/db_csvs/uncorrected/20-0001NH_CTDBTL_030-066ID.csv,0001NH,final,D,6876865,0a5a6058ea93ff4a7667825ed78b6c7b71ec280f0f5c33dd251c27d182868b4d,16234,0,2000-01-32NM
20-0001NH_CTDFinalQC.zip,20-0001NH_CTDFinalQC/db_csvs/uncorrected/20-0001NH_CTDBTL_030-066IU.csv,0001NH,final,U,6884089,c9879d3bf6a0694c229068d84b939a5f475d9ffa36dd6ba102c0ccd67293faf1,16257,0,2000-01-32NM
20-0004JD_CTDFinalDB.zip,20-0004JD_CTDFinalDB/20-0004JD_CTDBTL_001-066ID.csv,0004JD,final,D,12463166,fd133074885eeed8e0a6d1f0fcb2de22057582396a780d41884fdc616625f2d8,29456,0,2000-04-31JD
20-0004JD_CTDFinalDB.zip,20-0004JD_CTDFinalDB/20-0004JD_CTDBTL_001-066IU.csv,0004JD,final,U,12471827,3d5e064c69d39042dbdfa1898a6a849347357d7be6ec86094f091cb02f8bf8dc,29485,0,2000-04-31JD
