from_table,from_column,to_table,to_column,scope
sample,parent_sample_key,sample,sample_key,cross
sample,root_sample_key,sample,sample_key,intra
obs,sample_key,sample,sample_key,cross
obs,measurement_type,measurement_type,measurement_type,cross
sample_measurement,sample_key,sample,sample_key,cross
sample_measurement,measurement_type,measurement_type,measurement_type,cross
obs,taxon_key,taxon,taxon_key,cross
obs_attribute,sample_key,sample,sample_key,cross
obs_attribute,taxon_key,taxon,taxon_key,cross
obs_attribute,measurement_type,measurement_type,measurement_type,cross
dataset_taxon,taxon_key,taxon,taxon_key,cross
taxon,parent_taxon_key,taxon,taxon_key,cross
taxon_group,taxon_key,taxon,taxon_key,cross
sample,grid_key,grid,grid_key,cross
sample,cruise_key,cruise,cruise_key,cross
obs,grid_key,grid,grid_key,cross
obs,cruise_key,cruise,cruise_key,cross
casts,cruise_key,cruise,cruise_key,cross
casts,ship_key,ship,ship_key,cross
casts,grid_key,grid,grid_key,cross
ctd_cast,cruise_key,cruise,cruise_key,cross
ctd_cast,ship_key,ship,ship_key,cross
ctd_cast,grid_key,grid,grid_key,cross
dic_sample,cast_id,casts,cast_id,cross
dic_sample,bottle_id,bottle,bottle_id,cross
euphausiids_tow,cruise_key,cruise,cruise_key,cross
euphausiids_tow,ship_key,ship,ship_key,cross
euphausiids_tow,grid_key,grid,grid_key,cross
zooplankton_tow,cruise_key,cruise,cruise_key,cross
zooplankton_tow,ship_key,ship,ship_key,cross
zooplankton_tow,grid_key,grid,grid_key,cross
bird_mammal_transect,grid_key,grid,grid_key,cross
cufes_sample,cruise_key,cruise,cruise_key,cross
cufes_sample,ship_key,ship,ship_key,cross
cufes_sample,grid_key,grid,grid_key,cross
phyllosoma_tow,cruise_key,cruise,cruise_key,cross
phyllosoma_tow,ship_key,ship,ship_key,cross
phyllosoma_tow,grid_key,grid,grid_key,cross
phyto_sample,cruise_key,cruise,cruise_key,cross
zoodb_sample,cruise_key,cruise,cruise_key,cross
zoodb_sample,ship_key,ship,ship_key,cross
zoodb_sample,grid_key,grid,grid_key,cross
zooscan_sample,cruise_key,cruise,cruise_key,cross
zooscan_sample,ship_key,ship,ship_key,cross
zooscan_sample,grid_key,grid,grid_key,cross
obs,sample_key,sample,sample_key,cross
obs,dataset_key,dataset,dataset_key,cross
obs,grid_key,grid,grid_key,cross
obs,cruise_key,cruise,cruise_key,cross
obs,measurement_type,measurement_type,measurement_type,cross
sample,parent_sample_key,sample,sample_key,cross
sample,dataset_key,dataset,dataset_key,cross
sample,grid_key,grid,grid_key,cross
sample,cruise_key,cruise,cruise_key,cross
obs_attribute,sample_key,sample,sample_key,cross
obs_attribute,measurement_type,measurement_type,measurement_type,cross
sample_measurement,sample_key,sample,sample_key,cross
sample_measurement,dataset_key,dataset,dataset_key,cross
sample_measurement,measurement_type,measurement_type,measurement_type,cross
obs_ctd_full,sample_key,sample,sample_key,cross
obs_ctd_full,dataset_key,dataset,dataset_key,cross
obs_ctd_full,measurement_type,measurement_type,measurement_type,cross
obs,taxon_key,taxon,taxon_key,cross
obs_attribute,taxon_key,taxon,taxon_key,cross
dataset_taxon,taxon_key,taxon,taxon_key,cross
dataset_taxon,dataset_key,dataset,dataset_key,cross
taxon_group,taxon_key,taxon,taxon_key,cross
taxon,parent_taxon_key,taxon,taxon_key,cross
