from_table,from_column,to_table,to_column,scope,released
sample,parent_sample_key,sample,sample_key,cross,TRUE
sample,root_sample_key,sample,sample_key,intra,TRUE
obs,sample_key,sample,sample_key,cross,TRUE
obs,measurement_type,measurement_type,measurement_type,cross,TRUE
sample_measurement,sample_key,sample,sample_key,cross,TRUE
sample_measurement,measurement_type,measurement_type,measurement_type,cross,TRUE
obs,taxon_key,taxon,taxon_key,cross,TRUE
obs_attribute,sample_key,sample,sample_key,cross,TRUE
obs_attribute,taxon_key,taxon,taxon_key,cross,TRUE
obs_attribute,measurement_type,measurement_type,measurement_type,cross,TRUE
dataset_taxon,taxon_key,taxon,taxon_key,cross,TRUE
taxon,parent_taxon_key,taxon,taxon_key,cross,TRUE
taxon_group,taxon_key,taxon,taxon_key,cross,TRUE
sample,grid_key,grid,grid_key,cross,TRUE
sample,cruise_key,cruise,cruise_key,cross,TRUE
obs,grid_key,grid,grid_key,cross,TRUE
obs,cruise_key,cruise,cruise_key,cross,TRUE
casts,cruise_key,cruise,cruise_key,cross,FALSE
casts,ship_key,ship,ship_key,cross,FALSE
casts,grid_key,grid,grid_key,cross,FALSE
ctd_cast,cruise_key,cruise,cruise_key,cross,FALSE
ctd_cast,ship_key,ship,ship_key,cross,FALSE
ctd_cast,grid_key,grid,grid_key,cross,FALSE
dic_sample,cast_id,casts,cast_id,cross,FALSE
dic_sample,bottle_id,bottle,bottle_id,cross,FALSE
euphausiids_tow,cruise_key,cruise,cruise_key,cross,FALSE
euphausiids_tow,ship_key,ship,ship_key,cross,FALSE
euphausiids_tow,grid_key,grid,grid_key,cross,FALSE
zooplankton_tow,cruise_key,cruise,cruise_key,cross,FALSE
zooplankton_tow,ship_key,ship,ship_key,cross,FALSE
zooplankton_tow,grid_key,grid,grid_key,cross,FALSE
bird_mammal_transect,grid_key,grid,grid_key,cross,FALSE
cufes_sample,cruise_key,cruise,cruise_key,cross,FALSE
cufes_sample,ship_key,ship,ship_key,cross,FALSE
cufes_sample,grid_key,grid,grid_key,cross,FALSE
phyllosoma_tow,cruise_key,cruise,cruise_key,cross,FALSE
phyllosoma_tow,ship_key,ship,ship_key,cross,FALSE
phyllosoma_tow,grid_key,grid,grid_key,cross,FALSE
phyto_sample,cruise_key,cruise,cruise_key,cross,FALSE
zoodb_sample,cruise_key,cruise,cruise_key,cross,FALSE
zoodb_sample,ship_key,ship,ship_key,cross,FALSE
zoodb_sample,grid_key,grid,grid_key,cross,FALSE
zooscan_sample,cruise_key,cruise,cruise_key,cross,FALSE
zooscan_sample,ship_key,ship,ship_key,cross,FALSE
zooscan_sample,grid_key,grid,grid_key,cross,FALSE
obs,sample_key,sample,sample_key,cross,TRUE
obs,dataset_key,dataset,dataset_key,cross,TRUE
obs,grid_key,grid,grid_key,cross,TRUE
