id,guid,key,description,modified,deprecated,ship_html,details_json
202092,a67ce90e-588d-4eaf-ad32-ecd3fff2b76b,0600,SANTA GIULIETTA,2024-06-13T01:07:49.27,FALSE,https://vocab.ices.dk/?codeguid=a67ce90e-588d-4eaf-ad32-ecd3fff2b76b,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/a67ce90e-588d-4eaf-ad32-ecd3fff2b76b
198140,370e776e-eb45-470c-9b11-953e764cb696,0602,HANJIN OTTAWA,2024-06-13T01:07:52.863,FALSE,https://vocab.ices.dk/?codeguid=370e776e-eb45-470c-9b11-953e764cb696,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/370e776e-eb45-470c-9b11-953e764cb696
199896,e2fbf328-66fb-415a-bca4-192d3e52047a,0608,MSC BENEDETTA,2024-06-13T01:07:59.74,FALSE,https://vocab.ices.dk/?codeguid=e2fbf328-66fb-415a-bca4-192d3e52047a,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/e2fbf328-66fb-415a-bca4-192d3e52047a
264825,45b9cb0e-a304-405f-b77c-376cbc7f0eaf,060G,GDANSK EXPRESS,2025-01-07T13:45:52.223,FALSE,https://vocab.ices.dk/?codeguid=45b9cb0e-a304-405f-b77c-376cbc7f0eaf,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/45b9cb0e-a304-405f-b77c-376cbc7f0eaf
155198,435d1fc6-49a0-4866-bc81-355938aa2370,060Q,CHICAGO EXPRESS,2024-06-13T01:08:03.367,FALSE,https://vocab.ices.dk/?codeguid=435d1fc6-49a0-4866-bc81-355938aa2370,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/435d1fc6-49a0-4866-bc81-355938aa2370
264625,48a7a983-2300-4733-8dc9-7fc906dc94cf,060S,HAMBURG EXPRESS,2024-11-21T10:50:03.96,FALSE,https://vocab.ices.dk/?codeguid=48a7a983-2300-4733-8dc9-7fc906dc94cf,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/48a7a983-2300-4733-8dc9-7fc906dc94cf
198162,d18152ea-c0c4-4182-839d-8832ceb637fc,060V,BUXCONTACT,2024-06-13T01:08:06.993,FALSE,https://vocab.ices.dk/?codeguid=d18152ea-c0c4-4182-839d-8832ceb637fc,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/d18152ea-c0c4-4182-839d-8832ceb637fc
121000,a0c6889c-ed7e-48f9-a4bd-da79ea0dc950,0611,BERLIN,2024-06-13T01:08:10.527,FALSE,https://vocab.ices.dk/?codeguid=a0c6889c-ed7e-48f9-a4bd-da79ea0dc950,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/a0c6889c-ed7e-48f9-a4bd-da79ea0dc950
121001,d7dbc60a-804c-4846-84eb-6f323c35b21d,0612,NATIONAL,2024-06-13T01:08:14.183,FALSE,https://vocab.ices.dk/?codeguid=d7dbc60a-804c-4846-84eb-6f323c35b21d,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/d7dbc60a-804c-4846-84eb-6f323c35b21d
121002,d3c6fbd0-21ad-4438-be29-41963ae35ad8,0613,SCHWABENLAND,2024-06-13T01:08:17.963,FALSE,https://vocab.ices.dk/?codeguid=d3c6fbd0-21ad-4438-be29-41963ae35ad8,https://vocab.ices.dk/services/api/CodeDetail/7f9a91e1-fb57-464a-8eb0-697e4b0235b5/d3c6fbd0-21ad-4438-be29-41963ae35ad8
