ship_nodc,ship_name,remarks,source_url
90UW,11TH PJATILETKA,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90TU,1500 LET KIYEVU,LYFB,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90FE,20-21,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90JO,203,ICES REQUEST  07Oct38 to 12Nov38,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
73DE,30 DECEMBER,ICES REQUEST (years 1960 - 1961),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
76AJ,3-101,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
76AM,3-141,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
76AN,3-151,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
904Z,393 GMTS,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
905E,403-GMTS,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
905P,60 LET VLKSM,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
06AF,A FREYMANN,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31I7,A. A. CUNNINGHAM,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31JA,A. A. JAKKULA,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31AX,A. AGASSIZ,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
68AB,A. ALBUQUERQUE,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
3133,A. C. COCKRELL,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
3171,A. E. VERRILL,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
18FO,A. FOOTE,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31ZK,A. J. ISBELL,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31AM,A. J. MEYER,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
06AH,A. LEONHARDT,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31ZJ,A. M. SUMNER,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90OT,A. OTKUPTSCHIKOV,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
18AK,A. P. KNIGHT,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
20PN,A. PINTO,NA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
