ship_nodc,ship_name,remarks,source_url
90UW,"11TH Pjatiletka
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90TU,"1500 Let Kiyevu
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90FE,"20-21
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90JO,"203
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
337F,"267
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
3234,2nd Lt. John P.Bobo,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
76AJ,"3-101
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
76AM,"3-141
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
76AN,"3-151
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
73DE,"30-Dec
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
904Z,"393 GMTS
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33Y2,4-Points,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
905E,"403-GMTS
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
905P,"60 Let Vlksm
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
18P4,6C-4828,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
06AF,"A Freymann
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31JA,"A. A. Jakkula
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
68AB,"A. Albuquerque
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
3171,A. E. Verrill,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31AM,"A. J. Meyer
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
06AH,"A. Leonhardt
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90OT,"A. Otkuptschikov
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
18AK,A. P. Knight,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
20PN,"A. Pinto
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90SI,"A. Sibiryakov
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
11ST,A. Stessels,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
18AT,A. T. Cameron,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
06VH,A. V. Humboldt,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
07AL,A. V. Humboldt,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
9019,"A.I. Voeikov
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90VK,"A.I. Voyeykov
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
26O6,A.P. Moller,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
26XG,A.P. Moller,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
338Y,"ABR-10
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
58B4,ACC Mosby,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
493A,"AGS No 3
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
494A,"AGS No 4
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
495A,"AGS No 5
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
496A,"AGS No 6
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
497A,"AGS No 7
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
498A,"AGS No 8
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
499A,"AGS No 9
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
492T,ALOS,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SIIT,ALS Clivia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
MHM9,AM Hamburg,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54YF,AM Tubarao,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74R7,AMS Panther,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
