LINE,STA,n
90,45,163
90,37,158
90,60,158
90,70,156
93.3,50,155
90,28,150
93.3,30,146
80,70,146
80,60,144
90,80,139
90,53,137
90,90,135
93.3,40,134
80,90,133
80,80,132
80,55,128
83.3,60,125
90,30,124
86.7,60,120
86.7,45,120
93.3,60,118
93.3,80,116
76.7,55,115
83.3,51,114
93.3,70,113
93.3,90,111
86.7,35,108
90,100,108
86.7,40,107
93.3,28,105
83.3,70,103
83.3,55,102
90,120,100
86.7,50,99
80,51,98
83.3,80,96
86.7,70,96
76.7,60,93
83.3,90,93
86.7,80,93
86.7,90,92
80,100,92
76.7,70,91
76.7,80,90
76.7,51,90
86.7,55,89
93.3,100,88
76.7,90,88
83.3,42,87
93.3,35,87
90,35,85
90,110,84
83.3,100,83
86.7,33,78
93.3,45,77
93.3,110,76
93.3,55,76
93.3,120,75
83.3,40.6,71
86.7,100,71
76.7,100,68
86.7,110,66
83.3,110,65
93.3,26.7,64
76.7,49,64
70,60,57
70,80,57
60,60,53
60,70,52
70,70,51
60,80,47
70,90,47
60,90,44
73.3,60,41
63.3,52,40
66.7,55,37
66.7,50,36
63.3,55,34
90,27.7,31
83.3,39.4,30
93.4,26.4,28
86.8,32.5,28
88.5,30.1,28
63.3,60,27
81.7,43.5,27
80,50.5,26
66.7,60,26
81.8,46.9,26
91.7,26.4,25
60,100,22
73.3,70,21
63.3,70,19
70,100,19
85.4,35.8,19
66.7,70,19
66.7,65,18
73.3,80,17
66.7,80,17
73.3,50,15
63.3,80,15
73.3,90,15
70,51,14
66.7,90,12
70,55,12
63.3,90,12
73.3,55,7
60,53,3
63.3,100,3
66.7,100,3
73.3,100,2
66.7,75,1
66.7,85,1
