id,packageid,title,authors,organizations,pubdate,spatialCoverage
knb-lter-cce.17,knb-lter-cce.17.4,"Cruise measurements (temperature, salinity, density, chlorophyll, C14, phosphate, silicate, nitrate, nitrite) collected from CTD casts aboard CalCOFI cruises in the California Current, and averaged annually and by cruise, from 1984 - 2019 (updated periodically).","Goericke, Ralf","California Current Ecosystem LTER
CalCOFI - Scripps Institution of Oceanography
SIO",2019,"
        "
knb-lter-cce.78,knb-lter-cce.78.5,"Measurements from CalCOFI cruises in the California Current System, including log of station information, weather, sea conditions as well as physical, chemical and biological measurements including including temperature, salinity, oxygen, density, sigma theta, phosphate, silicate, nitrite, nitrate, ammonia, chlorophyll a, integrated chlorophyll a, primary productivity, and integrated primary production. 1949 - January 2020","Wilkinson, James","CalCOFI - Scripps Institution of Oceanography
SIO",2022,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
edi.109,edi.109.4,"CALCOFI fish larvae at 66 standard stations, 1966 - ongoing","Thompson, Andrew
Miller, Robert J
Kui, Li","SCB Marine Biodiversity Observation Network
NOAA
UCSB",2022,"ENVELOPE(-124.333336, -117.28333, 35.093334, 29.8)
ENVELOPE(-117.30538, -117.30538, 32.95637, 32.95637)
ENVELOPE(-117.39438, -117.39438, 32.91304, 32.91304)
ENVELOPE(-117.53122, -117.53122, 32.84637, 32.84637)
ENVELOPE(-117.87286, -117.87286, 32.67971, 32.67971)
ENVELOPE(-118.21386, -118.21386, 32.51304, 32.51304)
ENVELOPE(-118.55423, -118.55423, 32.34637, 32.34637)
ENVELOPE(-118.89396, -118.89396, 32.17971, 32.17971)
ENVELOPE(-119.23306, -119.23306, 32.01304, 32.01304)
ENVELOPE(-119.57154, -119.57154, 31.84637, 31.84637)
ENVELOPE(-120.24666, -120.24666, 31.51304, 31.51304)
ENVELOPE(-120.91935, -120.91935, 31.17971, 31.17971)
ENVELOPE(-121.58965, -121.58965, 30.84637, 30.84637)
ENVELOPE(-122.2576, -122.2576, 30.51304, 30.51304)
ENVELOPE(-122.92324, -122.92324, 30.17971, 30.17971)
ENVELOPE(-123.58661, -123.58661, 29.84637, 29.84637)
ENVELOPE(-123.99893, -123.99893, 30.41795, 30.41795)
ENVELOPE(-123.33164, -123.33164, 30.75128, 30.75128)
ENVELOPE(-122.66202, -122.66202, 31.08462, 31.08462)
ENVELOPE(-121.99001, -121.99001, 31.41795, 31.41795)
ENVELOPE(-121.31559, -121.31559, 31.75128, 31.75128)
ENVELOPE(-120.63872, -120.63872, 32.08462, 32.08462)
ENVELOPE(-119.95935, -119.95935, 32.41795, 32.41795)
ENVELOPE(-119.48228, -119.48228, 32.65128, 32.65128)
ENVELOPE(-118.93551, -118.93551, 32.91795, 32.91795)
ENVELOPE(-118.38708, -118.38708, 33.18462, 33.18462)
ENVELOPE(-118.24971, -118.24971, 33.25128, 33.25128)
ENVELOPE(-117.90582, -117.90582, 33.41795, 33.41795)
ENVELOPE(-117.76808, -117.76808, 33.48462, 33.48462)
ENVELOPE(-118.49033, -118.49033, 33.88953, 33.88953)
ENVELOPE(-118.62873, -118.62873, 33.82286, 33.82286)
ENVELOPE(-118.97425, -118.97425, 33.65619, 33.65619)
ENVELOPE(-119.3191, -119.3191, 33.48953, 33.48953)
ENVELOPE(-119.66327, -119.66327, 33.32286, 33.32286)
ENVELOPE(-120.00678, -120.00678, 33.15619, 33.15619)
ENVELOPE(-120.34964, -120.34964, 32.98953, 32.98953)
ENVELOPE(-121.03339, -121.03339, 32.65619, 32.65619)
ENVELOPE(-121.71457, -121.71457, 32.32286, 32.32286)
ENVELOPE(-122.39323, -122.39323, 31.98953, 31.98953)
ENVELOPE(-123.0694, -123.0694, 31.65619, 31.65619)
ENVELOPE(-123.74313, -123.74313, 31.32286, 31.32286)
ENVELOPE(-124.1704, -124.1704, 31.91176, 31.91176)
ENVELOPE(-123.49232, -123.49232, 32.24509, 32.24509)
ENVELOPE(-122.81173, -122.81173, 32.57842, 32.57842)
ENVELOPE(-122.12858, -122.12858, 32.91176, 32.91176)
ENVELOPE(-121.44283, -121.44283, 33.24509, 33.24509)
ENVELOPE(-120.75443, -120.75443, 33.57842, 33.57842)
ENVELOPE(-120.40923, -120.40923, 33.74509, 33.74509)
ENVELOPE(-120.13258, -120.13258, 33.87842, 33.87842)
ENVELOPE(-119.50851, -119.50851, 34.17842, 34.17842)
ENVELOPE(-119.41124, -119.41124, 34.22509, 34.22509)
ENVELOPE(-120.02524, -120.02524, 34.2749, 34.2749)
ENVELOPE(-120.5239, -120.5239, 34.45, 34.45)
ENVELOPE(-120.80245, -120.80245, 34.31667, 34.31667)
ENVELOPE(-121.15, -121.15, 34.15, 34.15)
ENVELOPE(-121.84304, -121.84304, 33.81667, 33.81667)
ENVELOPE(-122.53335, -122.53335, 33.48333, 33.48333)
ENVELOPE(-123.22099, -123.22099, 33.15, 33.15)
ENVELOPE(-123.90599, -123.90599, 32.81667, 32.81667)
ENVELOPE(-124.32289, -124.32289, 33.38824, 33.38824)
ENVELOPE(-123.63335, -123.63335, 33.72158, 33.72158)
ENVELOPE(-122.94109, -122.94109, 34.05491, 34.05491)
ENVELOPE(-122.24608, -122.24608, 34.38824, 34.38824)
ENVELOPE(-121.54828, -121.54828, 34.72158, 34.72158)
ENVELOPE(-121.19831, -121.19831, 34.88824, 34.88824)
ENVELOPE(-120.91782, -120.91782, 35.02158, 35.02158)
ENVELOPE(-120.7774, -120.7774, 35.08824, 35.08824)"
knb-lter-cce.183,knb-lter-cce.183.2,"Index of visual monitoring efforts, weather conditions and position updates from CalCOFI cruises in the California Current System, 2008 - 2009. This dataset has been superseded by knb-lter-cce.262.","Hildebrand, John","CalCOFI - Scripps Institution of Oceanography
Scripps Institution of Oceanography, UCSD",2016,"
        "
knb-lter-cce.155,knb-lter-cce.155.3,"Assembled file of spring annual averages of abundance of selected euphausiids from the Southern California region, 1951 - 2011.","Ohman, Mark","California Current Ecosystem LTER
SIO",2017,"
        "
knb-lter-cce.172,knb-lter-cce.172.3,"Assembled file of spring annual averages of abundance of five species of cool regime salps from the Southern California region, 1951 - 2011.","Ohman, Mark","California Current Ecosystem LTER
SIO",2017,"
        "
knb-lter-cce.184,knb-lter-cce.184.2,"Index of visual monitoring, location, species behavior, and identification from CalCOFI cruises in the California Current System, 2008 - 2009. This dataset has been superseded by knb-lter-cce.262.","Hildebrand, John","CalCOFI - Scripps Institution of Oceanography
Scripps Institution of Oceanography, UCSD",2016,"
        "
knb-lter-cce.262,knb-lter-cce.262.2,"Index of visual monitoring, location, species behavior, and identification of cetaceans from CalCOFI cruises in the California Current System, 2005-2015 (ongoing).","Hildebrand, John","CalCOFI - Scripps Institution of Oceanography
Scripps Institution of Oceanography, UCSD",2017,"
        "
knb-lter-cce.113,knb-lter-cce.113.4,"Size fractionation for total Chl a within the surface layer and calculated size distribution of total Chl a from discrete bottle samples from CCE-CalCOFI Augmented Cruises in the California Current System, 2004 - 2017 (ongoing).","Goericke, Ralf","California Current Ecosystem LTER
SIO",2018,"
        "
knb-lter-cce.170,knb-lter-cce.170.2,"Assembled file of spring annual averages of measures of total mesozooplankton organic biomass as carbon, in the California Current System, 1951 - 2008.","Ohman, Mark","California Current Ecosystem LTER
SIO",2017,"
        "
knb-lter-cce.279,knb-lter-cce.279.3,"Station data of passive and active fluorescence measurements of chlorophyll-a (Chl), phycoerythrin (PE), chromophoric dissolved organic matter (CDOM), and variable fluorescence (Fv/Fm)  from CCE-CalCOFI Augmented cruises in the California Current System, 2012 - October 2020.","Goericke, Ralf","California Current Ecosystem LTER
SIO",2022,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.171,knb-lter-cce.171.4,"Assembled file of spring annual averages of pelagic tunicate organic biomass as carbon from the Southern California region, 1951 - 2011.","Ohman, Mark","California Current Ecosystem LTER
SIO",2017,"
        "
knb-lter-cce.54,knb-lter-cce.54.7,"Particulate organic carbon and nitrogen measurements at selected depths in the water column from CalCOFI-CCE Augmented cruises in the California Current System, 2004 - July 2020.","Goericke, Ralf","California Current Ecosystem LTER
CalCOFI - Scripps Institution of Oceanography
SIO",2022,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.281,knb-lter-cce.281.3,"Continuous passive and active fluorescence measurements of chlorophyll-a (Chl), phycoerythrin (PE), chromophoric dissolved organic matter (CDOM), and variable fluorescence (Fv/Fm) from CCE-CalCOFI Augmented cruises in the California Current System, 2012 - 2020","Goericke, Ralf","California Current Ecosystem LTER
SIO",2022,"ENVELOPE(-126.486, -117.394, 37.84743, 29.84637)"
knb-lter-cce.313,knb-lter-cce.313.1,"California Current Ecosystem Euphausiid data, Brinton and Townsend Euphausiid Database (BTEDB)","Ohman, Mark D","Scripps Institution of Oceanography",2022,"ENVELOPE(-126.5, -112.4, 37.8, 22.0)"
knb-lter-cce.162,knb-lter-cce.162.3,"Seasonal seabird density and richness of seabirds off Southern California from sampling aboard California Cooperative Oceanic Fisheries Investigations (CalCOFI) cruises, 1987 - 2006.","Sydeman, Bill","Farallon Institute Advanced Ecosystem Research
CalCOFI - Scripps Institution of Oceanography
FIAER",2017,"
        "
