repo,link
ERRDAP - oceanview,https://oceanview.pfeg.noaa.gov/erddap/search/index.html?page=1&itemsPerPage=1000&searchFor=seabird+CalCOFI
EDI,"http://portal.edirepository.org:80/nis/simpleSearch?defType=edismax&q=CalCOFI&fq=-scope:ecotrends&fq=-scope:lter-landsat*&fl=id,packageid,title,author,organization,pubdate,coordinates&debug=false"
ERRDAP-coastwatch,https://coastwatch.pfeg.noaa.gov/erddap/search/index.html?page=1&itemsPerPage=1000&searchFor=CalCOFI
ZooDB,http://oceaninformatics.ucsd.edu/zoodb/
ZooScan,https://oceaninformatics.ucsd.edu/zooscandb/secure/login.php
CalCOFI website (METS),https://calcofi.org/data/oceanographic-data/underway/
CalCOFI website (CTD casts),https://calcofi.org/data/oceanographic-data/ctd-cast-files/
CalCOFI Trawl data,https://library.ucsd.edu/dc/object/bb9217084g
Stanford CalCOFI zooplankton data,https://purl.stanford.edu/nt620vn7810
Stanford CalCOFI phytoplankton data,https://searchworks.stanford.edu/view/pz376rp0413
IFCB,https://data.caloos.org/#module-metadata/9914a1f7-ba36-4a26-9d0b-86032739019c/c9367c0a-f7dc-4c2f-90fb-dc69567cf3b3
