tbl,fld,type
cruise,cruise_id,character
cruise,cruise_ymd,numeric
cruise,Ship,character
eggs,netid,character
eggs,sppcode,numeric
eggs,tally,numeric
eggstage,netid,character
eggstage,sppcode,numeric
eggstage,stage,numeric
eggstage,tally,numeric
larvae,netid,character
larvae,sppcode,numeric
larvae,tally,numeric
larvaesize,netid,character
larvaesize,sppcode,numeric
larvaesize,len,character
larvaesize,tally,character
larvaestage,netid,character
larvaestage,sppcode,numeric
larvaestage,stage,character
larvaestage,tally,numeric
net,netid,character
net,towid,character
net,netside,character
net,shf,numeric
net,volsampled,numeric
net,propsorted,numeric
net,smallplankton,numeric
net,totalplankton,numeric
shiplookup,shipcode,character
shiplookup,shipname,character
shiplookup,shipnodc,character
species,sppcode,numeric
species,scientific_name,character
species,itis_tsn,numeric
species,aphiaid,numeric
species,common_name,character
station,stationid...1,character
station,cruise_id,character
station,orderocc,numeric
station,latidude,numeric
station,longitude,numeric
station,line,numeric
station,stationid...7,numeric
tow,towid,character
tow,stationid,character
tow,towtype,character
tow,townumber,numeric
tow,starttime,POSIXct
towtypelookup,code,character
towtypelookup,description,character
