tbl_old,tbl_new,fld_old,fld_new,type_old,type_new,order_old,order_new,fld_description,notes,mutation
cruise,cruise,cruise_id,cruise_uuid,character,uuid,1,1,"CalCOFI species identifier, primary key in species table",,
cruise,cruise,cruise_ymd,date_ym,numeric,date,2,2,,,"as.Date(glue(""{date_ym}-01""), format=""%Y%m-%d"")"
cruise,cruise,ship,ship_key,character,varchar,3,3,,,
eggs,egg,netid,net_uuid,character,uuid,1,1,,,
eggs,egg,sppcode,species_id,numeric,smallint,2,2,"CalCOFI species identifier, primary key in species table",,
eggs,egg,tally,tally,numeric,integer,3,3,Raw count of eggs,"""n""?",
eggstage,egg_stage,netid,net_uuid,character,uuid,1,1,,,
eggstage,egg_stage,sppcode,species_id,numeric,smallint,2,2,"CalCOFI species identifier, primary key in species table",,
eggstage,egg_stage,stage,stage,numeric,smallint,3,3,,,
eggstage,egg_stage,tally,tally,numeric,integer,4,4,Raw count of eggstage,,
larvae,larva,netid,net_uuid,character,uuid,1,1,,,
larvae,larva,sppcode,species_id,numeric,smallint,2,2,"CalCOFI species identifier, primary key in species table",,
larvae,larva,tally,tally,numeric,integer,3,3,Raw count of larvae,"""n""?",
larvaesize,larva_size,netid,net_uuid,character,uuid,1,1,,,
larvaesize,larva_size,sppcode,species_id,numeric,smallint,2,2,"CalCOFI species identifier, primary key in species table",,
larvaesize,larva_size,len,length_mm,numeric,decimal,3,3,Total length of the larvae (mm),,
larvaesize,larva_size,tally,tally,numeric,integer,4,4,Raw count of larvae,,
larvaestage,larva_stage,netid,net_uuid,character,uuid,1,1,,,
larvaestage,larva_stage,sppcode,species_id,numeric,smallint,2,2,"CalCOFI species identifier, primary key in species table",,
larvaestage,larva_stage,stage,stage,character,varchar,3,3,"Developmental stage of the larvae: yolksac (YOLK), preflexion (PREF), flexion (FLEX), postflexion (POST), or transformation (TRNS)         ",,
larvaestage,larva_stage,tally,tally,numeric,integer,4,4,Raw count of larvae by developmental stage,,
net,net,netid,net_uuid,character,uuid,1,1,,,
net,net,towid,tow_uuid,character,uuid,2,2,,,
net,net,netside,side,character,varchar,3,3,Net location side,,
net,net,shf,std_haul_factor,numeric,decimal,4,4,"Standard Haul Factor (SHF) used to adjust for variations in water volume filtered and tow depth, standardizing abundance to 10 m_ area integrated over the tow depth",,
net,net,volsampled,vol_sampled_m3,numeric,decimal,5,5,Volume of water sampled by the net (m^3),,
net,net,propsorted,prop_sorted,numeric,decimal,6,6,Proportion of the net sample that was sorted in the laboratory,,
net,net,smallplankton,smallplankton,numeric,decimal,7,7,Small plankton (ml),,
net,net,totalplankton,totalplankton,numeric,decimal,8,8,Total plankton (ml),,
shiplookup,ship,shipcode,ship_key,character,varchar,1,1,,,
shiplookup,ship,shipname,ship_name,character,varchar,2,2,,,
shiplookup,ship,shipnodc,ship_nodc,character,varchar,3,3,,,
species,species,sppcode,species_id,numeric,smallint,1,1,CalCOFI species identifier,,
species,species,scientific_name,scientific_name,character,varchar,2,2,,,
species,species,itis_tsn,itis_id,numeric,integer,3,3,"Taxon identifier for the Integrated Taxonomic Information System (ITIS), also known as the Taxonomic Serial Number (TSN)",,
species,species,aphiaid,worms_id,numeric,integer,4,4,"Taxon identifier for the World Register of Marine Species (WoRMS), also known as the AphiaID",,
species,species,common_name,common_name,character,varchar,5,5,,,
station,site,stationid...1,site_uuid,character,uuid,1,1,,,
station,site,cruise_id,cruise_uuid,character,uuid,2,2,,,
station,site,orderocc,orderocc,numeric,smallint,3,3,,,
station,site,latidude,latitude,numeric,decimal,4,5,"Decimal degrees of latitude, in geographic coordinates (WGS84)",,
station,site,longitude,longitude,numeric,decimal,5,4,"Decimal degrees of longitude, in geographic coordinates (WGS84)",,
station,site,line,line,numeric,decimal,6,6,Alongshore component of CalCOFI coordinate system for survey sites (https://proj.org/en/stable/operations/projections/calcofi.html),,
station,site,stationid...7,station,numeric,decimal,7,7,Offshore component of CalCOFI coordinate system for survey sites (https://proj.org/en/stable/operations/projections/calcofi.html),,
tow,tow,towid,tow_uuid,character,uuid,1,1,,,
tow,tow,stationid,site_uuid,character,uuid,2,2,,,
tow,tow,towtype,tow_type_key,character,varchar,3,3,See tow_type.description,,
tow,tow,townumber,tow_number,numeric,smallint,4,4,,tow_number?,
tow,tow,starttime,time_start,POSIXct,timestamp,5,5,,,
towtypelookup,tow_type,code,tow_type_key,character,varchar,1,1,,,
towtypelookup,tow_type,description,description,character,varchar,2,2,,,
