tbl_old,tbl_new,fld_old,fld_new,order_old,order_new,type_old,type_new,fld_description,notes,mutation
cruise,cruise,cruise_id,cruise_id,1,1,character,uuid,,,
cruise,cruise,cruise_ymd,cruise_ymd,2,2,numeric,varchar,,,
cruise,cruise,Ship,ship,3,3,character,character,,,
eggs,eggs,netid,netid,1,1,character,uuid,,,
eggs,eggs,sppcode,sppcode,2,2,numeric,varchar,,,
eggs,eggs,tally,tally,3,3,numeric,varchar,,,
eggstage,eggstage,netid,netid,1,1,character,uuid,,,
eggstage,eggstage,sppcode,sppcode,2,2,numeric,varchar,,,
eggstage,eggstage,stage,stage,3,3,numeric,varchar,,,
eggstage,eggstage,tally,tally,4,4,numeric,varchar,,,
larvae,larvae,netid,netid,1,1,character,uuid,,,
larvae,larvae,sppcode,sppcode,2,2,numeric,varchar,,,
larvae,larvae,tally,tally,3,3,numeric,varchar,,,
larvaesize,larvaesize,netid,netid,1,1,character,character,,,
larvaesize,larvaesize,sppcode,sppcode,2,2,numeric,varchar,,,
larvaesize,larvaesize,len,len,3,3,character,character,,,
larvaesize,larvaesize,tally,tally,4,4,character,character,,,
larvaestage,larvaestage,netid,netid,1,1,character,uuid,,,
larvaestage,larvaestage,sppcode,sppcode,2,2,numeric,varchar,,,
larvaestage,larvaestage,stage,stage,3,3,character,character,,,
larvaestage,larvaestage,tally,tally,4,4,numeric,varchar,,,
net,net,netid,netid,1,1,character,uuid,,,
net,net,towid,towid,2,2,character,uuid,,,
net,net,netside,netside,3,3,character,character,,,
net,net,shf,shf,4,4,numeric,varchar,,,
net,net,volsampled,volsampled,5,5,numeric,varchar,,,
net,net,propsorted,propsorted,6,6,numeric,varchar,,,
net,net,smallplankton,smallplankton,7,7,numeric,varchar,,,
net,net,totalplankton,totalplankton,8,8,numeric,varchar,,,
shiplookup,shiplookup,shipcode,shipcode,1,1,character,character,,,
shiplookup,shiplookup,shipname,shipname,2,2,character,character,,,
shiplookup,shiplookup,shipnodc,shipnodc,3,3,character,character,,,
species,species,sppcode,sppcode,1,1,numeric,varchar,,,
species,species,scientific_name,scientific_name,2,2,character,character,,,
species,species,itis_tsn,itis_tsn,3,3,numeric,varchar,,,
species,species,aphiaid,aphiaid,4,4,numeric,varchar,,,
species,species,common_name,common_name,5,5,character,character,,,
station,station,stationid...1,stationid_1,1,1,character,uuid,,,
station,station,cruise_id,cruise_id,2,2,character,uuid,,,
station,station,orderocc,orderocc,3,3,numeric,varchar,,,
station,station,latidude,latidude,4,4,numeric,varchar,,,
station,station,longitude,longitude,5,5,numeric,varchar,,,
station,station,line,line,6,6,numeric,varchar,,,
station,station,stationid...7,stationid_7,7,7,numeric,varchar,,,
tow,tow,towid,towid,1,1,character,uuid,,,
tow,tow,stationid,stationid,2,2,character,uuid,,,
tow,tow,towtype,towtype,3,3,character,character,,,
tow,tow,townumber,townumber,4,4,numeric,varchar,,,
tow,tow,starttime,starttime,5,5,POSIXct,varchar,,,
towtypelookup,towtypelookup,code,code,1,1,character,character,,,
towtypelookup,towtypelookup,description,description,2,2,character,character,,,
