cruise_key,cast_min,cast_max,cast_dir,measurement_type,qual_code,reason,source,question,added_date
2026-07-3322,1,6,D,temperature_2,9,secondary temperature sensor faulty,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,salinity_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,salinity_2_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,sigma_theta_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,potential_temperature_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,oxygen_ml_l_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,oxygen_ml_l_2_sta_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,oxygen_ml_l_2_cruise_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,oxygen_umol_kg_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,oxygen_umol_kg_2_sta_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,oxygen_umol_kg_2_cruise_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,D,oxygen_saturation_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,temperature_2,9,secondary temperature sensor faulty,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,salinity_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,salinity_2_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,sigma_theta_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,potential_temperature_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,oxygen_ml_l_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,oxygen_ml_l_2_sta_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,oxygen_ml_l_2_cruise_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,oxygen_umol_kg_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,oxygen_umol_kg_2_sta_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,oxygen_umol_kg_2_cruise_corr,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
2026-07-3322,1,6,U,oxygen_saturation_2,9,derived by the provider from the faulty secondary temperature,"provider cruise notes (2607.txt in 20-2607SH_CTDPrelim.zip): Cast 1-6 have a faulty secondary temperature sensor",Q37,2026-09-24
