table,column,name_long,units,description_md
ctd_cast,,CTD Cast,,"cast-level metadata for CalCOFI CTD profiles; measurements pivoted to ctd_measurement"
ctd_cast,ctd_cast_uuid,CTD Cast UUID,,"PK: deterministic UUID v5 from (cruise_key, cast_key, cast_dir, datetime_utc)"
ctd_cast,datetime_utc,Datetime UTC,,"UTC timestamp parsed from date_time_utc string"
ctd_cast,geom,Geometry,,"point geometry (WGS84) from lat_dec and lon_dec"
ctd_cast,cruise_key,Cruise Key,,"cruise identifier in YYMMKK format; last 2 chars encode ship"
ctd_cast,ship_key,Ship Key,,"2-char ship code derived from RIGHT(cruise_key, 2)"
ctd_cast,data_stage,Data Stage,,"data processing stage: final or preliminary"
ctd_cast,grid_key,Grid Key,,"CalCOFI grid cell identifier from spatial join"
ctd_cast,_source_file,Source File,,"provenance: path to source CSV within download archive"
ctd_measurement,,CTD Measurement,,"long-format sensor readings pivoted from wide CTD profile data"
ctd_measurement,ctd_measurement_uuid,CTD Measurement UUID,,"PK: deterministic UUID v5 from (ctd_cast_uuid, depth_m, measurement_type)"
ctd_measurement,ctd_cast_uuid,CTD Cast UUID,,"FK to ctd_cast.ctd_cast_uuid"
ctd_measurement,depth_m,Depth,m,"depth in meters"
ctd_measurement,measurement_type,Measurement Type,,"measurement type key (FK to measurement_type.measurement_type)"
ctd_measurement,measurement_value,Measurement Value,,"numeric measurement value"
ctd_measurement,measurement_qual,Measurement Quality,,"quality code (nullable)"
ctd_summary,,CTD Summary,,"summary statistics per station/depth/measurement_type across cast directions"
ctd_summary,ctd_summary_uuid,CTD Summary UUID,,"PK: deterministic UUID v5 from (cruise_key, site_key, depth_m, measurement_type)"
ctd_summary,cruise_key,Cruise Key,,"cruise identifier in YYMMKK format"
ctd_summary,site_key,Station Key,,"line and station identifier"
ctd_summary,depth_m,Depth,m,"depth in meters"
ctd_summary,measurement_type,Measurement Type,,"measurement type key"
ctd_summary,avg,Average,,"mean measurement value across cast directions"
ctd_summary,stddev,Standard Deviation,,"standard deviation (0 when n_obs=1)"
ctd_summary,n_obs,Observation Count,,"number of observations aggregated"
measurement_type,,Measurement Type,,"reference table for CTD measurement types with units and descriptions"
measurement_type,measurement_type,Measurement Type,,"PK: measurement type code"
measurement_type,_source_datasets,Source Datasets,,"provenance: semicolon-delimited list of datasets that produce this measurement type"
measurement_type,_source_table,Source Table,,"provenance: wide-format DuckDB table the measurement was pivoted from"
measurement_type,_prec_column,Precision Column,,"provenance: precision column name in source wide-format table (blank if none)"
measurement_type,description,Description,,"human-readable description"
measurement_type,units,Units,,"measurement units"
measurement_type,_source_column,Source Column,,"original column name in wide-format CTD CSV"
measurement_type,_qual_column,Quality Column,,"provenance: quality flag column name in source wide-format table (blank if none)"
ctd_cast_derived,,CTD Cast Derived,,"convenience VIEW that adds back temporal columns derivable from ctd_cast"
