tbl_old,tbl_new,fld_old,fld_new,type_new,fld_description
ctd_geostrophic,ctd_geostrophic,cruise_key,cruise_key,varchar,Cruise (YYYY-MM-NODC)
ctd_geostrophic,ctd_geostrophic,line,line,decimal,CalCOFI line number
ctd_geostrophic,ctd_geostrophic,site_key_1,site_key_1,varchar,Nearshore station of the pair (line station)
ctd_geostrophic,ctd_geostrophic,site_key_2,site_key_2,varchar,Offshore station of the pair (line station)
ctd_geostrophic,ctd_geostrophic,sample_key_1,sample_key_1,varchar,CTD cast at the nearshore station (calcofi_ctd-cast sample)
ctd_geostrophic,ctd_geostrophic,sample_key_2,sample_key_2,varchar,CTD cast at the offshore station (calcofi_ctd-cast sample)
ctd_geostrophic,ctd_geostrophic,dist_mid_km,dist_mid_km,decimal,Distance of the pair midpoint from the line's first (nearshore) station used
ctd_geostrophic,ctd_geostrophic,dx_km,dx_km,decimal,Distance between the two stations
ctd_geostrophic,ctd_geostrophic,pressure_min_dbar,pressure_min_dbar,decimal,Top of the 10 dbar bin
ctd_geostrophic,ctd_geostrophic,pressure_max_dbar,pressure_max_dbar,decimal,Bottom of the 10 dbar bin
ctd_geostrophic,ctd_geostrophic,velocity_m_s,velocity_m_s,decimal,"Relative geostrophic velocity, bin mean; positive equatorward"
ctd_geostrophic,ctd_geostrophic,shallow,shallow,boolean,A cast of the pair is shallower than the 500 dbar reference (its deepest density carried down)
ctd_geostrophic,ctd_geostrophic,data_stage,data_stage,varchar,"Least-processed data_stage of the two casts (final, preliminary_with_bottle)"
