table,column,name_long,units,description_md
ctd_geostrophic,,CTD Relative Geostrophic Velocity,,"Relative geostrophic velocity between adjacent CTD stations of each CalCOFI line, per cruise: dynamic height anomaly relative to 500 dbar (`gsw_geo_strf_dyn_height`), `v = (dh2 - dh1) / (f dx)`, averaged to 10 dbar bins. Positive is equatorward. Relative flow, so it has no climatology and no anomaly. `calcofi4db::ctd_geostrophic()`; CalCOFI/workflows#103."
ctd_geostrophic,cruise_key,Cruise,,"Cruise natural key (YYYY-MM-NODC)"
ctd_geostrophic,line,Line,,CalCOFI line number
ctd_geostrophic,site_key_1,Station 1,,"Nearshore station of the pair, `LLL.L SSS.S`"
ctd_geostrophic,site_key_2,Station 2,,"Offshore station of the pair, `LLL.L SSS.S`"
ctd_geostrophic,sample_key_1,Cast 1,,The calcofi_ctd-cast cast `sample_key` at station 1
ctd_geostrophic,sample_key_2,Cast 2,,The calcofi_ctd-cast cast `sample_key` at station 2
ctd_geostrophic,dist_mid_km,Pair midpoint distance,km,"Along-line distance of the pair midpoint from the first station used, nearshore = 0"
ctd_geostrophic,dx_km,Station spacing,km,Great-circle distance between the two stations
ctd_geostrophic,pressure_min_dbar,Pressure bin top,dbar,Top of the 10 dbar bin (0 = surface bin)
ctd_geostrophic,pressure_max_dbar,Pressure bin bottom,dbar,Bottom of the 10 dbar bin
ctd_geostrophic,velocity_m_s,Relative geostrophic velocity,m/s,"Bin-mean velocity relative to 500 dbar; positive equatorward (90 degrees left of the offshore direction on a line running west-south-west)"
ctd_geostrophic,shallow,Shallow pair,,"TRUE when a cast of the pair is shallower than 500 dbar, so its deepest density is carried down (questions.csv Q03)"
ctd_geostrophic,data_stage,Data stage,,"The less-processed data_stage of the two casts"
