tbl_old,tbl_new,fld_old,fld_new,type_old,type_new,order_old,order_new,fld_description,units,notes,mutation
CALCOFI_DIC_20250122,dic_sample,EXPOCODE,expocode,character,varchar,1,1,WOCE expedition code (ship+date),,,
CALCOFI_DIC_20250122,dic_sample,Ship_Name,ship_name,character,varchar,2,2,Ship name,,,
CALCOFI_DIC_20250122,dic_sample,Year_UTC,year_utc,numeric,smallint,3,3,Year of sampling (UTC),,,
CALCOFI_DIC_20250122,dic_sample,Month_UTC,month_utc,numeric,smallint,4,4,Month of sampling (UTC),,,
CALCOFI_DIC_20250122,dic_sample,Day_UTC,day_utc,numeric,smallint,5,5,Day of sampling (UTC),,,
CALCOFI_DIC_20250122,dic_sample,Time_UTC,time_utc,character,time,6,6,Time of sampling (UTC),,,
CALCOFI_DIC_20250122,dic_sample,Station_ID,station_id,character,varchar,7,7,"CalCOFI station (line.station, e.g. 090.0 062.0)",,,
CALCOFI_DIC_20250122,dic_sample,Latitude,latitude,character,double,8,8,Latitude of station,decimal degrees,,as.numeric(Latitude)
CALCOFI_DIC_20250122,dic_sample,Longitude,longitude,character,double,9,9,Longitude of station,decimal degrees,,as.numeric(Longitude)
CALCOFI_DIC_20250122,dic_sample,Depth,depth_m,character,double,10,10,Sampling depth,m,,as.numeric(Depth)
CALCOFI_DIC_20250122,dic_sample,CTDTEMP_ITS90,ctdtemp,character,double,11,11,CTD temperature (ITS-90 scale),deg_C,,as.numeric(CTDTEMP_ITS90)
CALCOFI_DIC_20250122,dic_sample,CTDTEMP_flag,ctdtemp_flag,numeric,smallint,12,12,WOCE quality flag for CTD temperature,,,
CALCOFI_DIC_20250122,dic_sample,Salinity_PSS78,salinity,numeric,double,13,13,Practical salinity (PSS-78),PSS-78,,
CALCOFI_DIC_20250122,dic_sample,Salinity_flag,salinity_flag,numeric,smallint,14,14,WOCE quality flag for salinity,,,
CALCOFI_DIC_20250122,dic_sample,DIC,dic,character,double,15,15,Dissolved inorganic carbon,umol/kg,,as.numeric(DIC)
CALCOFI_DIC_20250122,dic_sample,DIC_flag,dic_flag,numeric,smallint,16,16,WOCE quality flag for DIC,,,
CALCOFI_DIC_20250122,dic_sample,TA,ta,character,double,17,17,Total alkalinity,umol/kg,,as.numeric(TA)
CALCOFI_DIC_20250122,dic_sample,TA_flag,ta_flag,numeric,smallint,18,18,WOCE quality flag for total alkalinity,,,
