"query_name","query_type","ok","error","sql"
"10m Properties Cruises","CROSS_TAB",TRUE,"","TRANSFORM Avg(Bottle.STheta) AS AvgOfSTheta
SELECT Cast.Cruise, Station_ID.St_Sta
FROM Cruises INNER JOIN ((Station_ID INNER JOIN Cast ON Station_ID.DBSta_ID = Cast.DbSta_ID) INNER JOIN ((Bottle LEFT JOIN Chl ON Bottle.Btl_Cnt = Chl.Btl_Cnt) LEFT JOIN Nuts ON Bottle.Btl_Cnt = Nuts.Btl_Cnt) ON Cast.Cst_Cnt = Bottle.Cst_Cnt) ON Cruises.Cruise = Cast.Cruise
WHERE (((Cast.Cruise)=200701) AND ((Station_ID.Sta_Code)=""st"") AND ((Cruises.[Code-ST])=""st"") AND ((Bottle.Depthm)=10))
GROUP BY Cast.Cruise, Station_ID.St_Sta
PIVOT Station_ID.St_Line;"
"8246 to 818 469 Query","SELECT",TRUE,"","SELECT Bottle.Cst_Cnt, Bottle.Sta_ID AS Bottle_Sta_ID, Bottle.Depth_ID, Cast.DbSta_ID, Cast.Sta_ID AS Cast_Sta_ID, Cast.Cast_ID
FROM Cast INNER JOIN Bottle ON Cast.[Cst_Cnt] = Bottle.[Cst_Cnt];"
"Anomalies ISL 0 IM","SELECT",FALSE,"IllegalStateException: Inconsistent join types for Cast and Bottle (Query: Anomalies ISL 0 IM)",""
"Anomalies ISL 1 Station","SELECT",TRUE,"","SELECT [Anomalies ISL 0 IM].Year AS Year, [Anomalies ISL 0 IM].Cruise, [Anomalies ISL 0 IM].Sta_ID, [Anomalies ISL 0 IM].Cast_ID, Avg([Anomalies ISL 0 IM].YearValue) AS YearValue, Avg([Anomalies ISL 0 IM].Date) AS Date, Avg([Anomalies ISL 0 IM].Julian_Day) AS Julian_Day, Avg([Anomalies ISL 0 IM].Time) AS Time, [Anomalies ISL 0 IM].Depth, Avg([Anomalies ISL 0 IM].Temp) AS Temp, Avg([Anomalies ISL 0 IM].Sal) AS Sal, Avg([Anomalies ISL 0 IM].STheta) AS Density, Avg([Anomalies ISL 0 IM].O2) AS O2, [Anomalies ISL 0 IM].NO3 AS NO3, [Anomalies ISL 0 IM].PO4 AS PO4, [Anomalies ISL 0 IM].SiO3 AS SiO3, Avg([Anomalies ISL 0 IM].O2Sat) AS O2Sat, Avg([Anomalies ISL 0 IM].TempStDev) AS TempStDev, Avg([Anomalies ISL 0 IM].SalStDev) AS SalStDev, Avg([Anomalies ISL 0 IM].SigStDev) AS DensStDev, Avg([Anomalies ISL 0 IM].O2StDev) AS O2StDev, Avg([Anomalies ISL 0 IM].O2SatStDev) AS O2SatStDev, Avg([Anomalies ISL 0 IM].ChlaStDev) AS ChlaStDev, Avg([Anomalies ISL 0 IM].NO3StDev) AS NO3StDev, Avg([Anomalies ISL 0 IM].NO2StDev) AS NO2StDev, Avg([Anomalies ISL 0 IM].PO4StDev) AS PO4StDev, Avg([Anomalies ISL 0 IM].SiO3StDev) AS SiO3StDev, Avg([Anomalies ISL 0 IM].TempAnom) AS TempAnom, Avg([Anomalies ISL 0 IM].SalAnom) AS SalAnom, Avg([Anomalies ISL 0 IM].SigAnom) AS DensAnom, Avg([Anomalies ISL 0 IM].O2Anom) AS O2Anom, Avg([Anomalies ISL 0 IM].O2SatAnom) AS O2SatAnom, Avg([Anomalies ISL 0 IM].NO3Anom) AS NO3Anom, Avg([Anomalies ISL 0 IM].PO4Anom) AS PO4Anom, Avg([Anomalies ISL 0 IM].SIO3Anom) AS SIO3Anom, ([TempAnom]/[TempStDev]) AS TempStAnom, ([SalAnom]/[SalStDev]) AS SalStAnom, ([DensAnom]/[DensStDev]) AS DensStAnom, ([O2Anom]/[O2StDev]) AS O2StAnom, ([O2SatAnom]/[O2SatStDev]) AS O2SatStAnom, ([NO3Anom]/[NO3StDev]) AS NO3StAnom, ([PO4Anom]/[PO4StDev]) AS PO4StAnom, ([SIO3Anom]/[SIO3StDev]) AS SIO3StAnom
FROM Station_ID INNER JOIN [Anomalies ISL 0 IM] ON Station_ID.Sta_ID = [Anomalies ISL 0 IM].Sta_ID
GROUP BY [Anomalies ISL 0 IM].Year, [Anomalies ISL 0 IM].Cruise, [Anomalies ISL 0 IM].Sta_ID, [Anomalies ISL 0 IM].Cast_ID, [Anomalies ISL 0 IM].Depth, [Anomalies ISL 0 IM].NO3, [Anomalies ISL 0 IM].PO4, [Anomalies ISL 0 IM].SiO3
HAVING ((([Anomalies ISL 0 IM].Cruise)>201511));"
"Anomalies ISL 1 Station_Jen","MAKE_TABLE",TRUE,"","SELECT [Anomalies ISL 0 IM].Cruise, St_Stations.Code_Region, St_Stations.[Code-SCB], St_Stations.[Code-Nearshore], [Anomalies ISL 0 IM].Sta_ID, Station_ID.St_Line, Station_ID.St_Sta, Station_ID.Distance, [Anomalies ISL 0 IM].Cast_ID, [Anomalies ISL 0 IM].Year AS Year, Cast.Quarter, Avg([Anomalies ISL 0 IM].YearValue) AS YearValue, Avg([Anomalies ISL 0 IM].Date) AS Date, Avg([Anomalies ISL 0 IM].Julian_Day) AS Julian_Day, Avg([Anomalies ISL 0 IM].Time) AS Time, [Anomalies ISL 0 IM].Depth, Avg([Anomalies ISL 0 IM].Temp) AS Temp, Avg([Anomalies ISL 0 IM].Sal) AS Sal, Avg([Anomalies ISL 0 IM].STheta) AS Density, Avg([Anomalies ISL 0 IM].O2) AS O2, [Anomalies ISL 0 IM].NO3 AS NO3, [Anomalies ISL 0 IM].PO4 AS PO4, [Anomalies ISL 0 IM].SiO3 AS SiO3, Avg([Anomalies ISL 0 IM].O2Sat) AS O2Sat, Avg([Anomalies ISL 0 IM].Chla) AS Chla, Avg([Anomalies ISL 0 IM].TempStDev) AS TempStDev, Avg([Anomalies ISL 0 IM].SalStDev) AS SalStDev, Avg([Anomalies ISL 0 IM].SigStDev) AS DensStDev, Avg([Anomalies ISL 0 IM].O2StDev) AS O2StDev, Avg([Anomalies ISL 0 IM].O2SatStDev) AS O2SatStDev, Avg([Anomalies ISL 0 IM].ChlaStDev) AS ChlaStDev, Avg([Anomalies ISL 0 IM].NO3StDev) AS NO3StDev, Avg([Anomalies ISL 0 IM].NO2StDev) AS NO2StDev, Avg([Anomalies ISL 0 IM].PO4StDev) AS PO4StDev, Avg([Anomalies ISL 0 IM].SiO3StDev) AS SiO3StDev, Avg([Anomalies ISL 0 IM].TempAnom) AS TempAnom, Avg([Anomalies ISL 0 IM].SalAnom) AS SalAnom, Avg([Anomalies ISL 0 IM].SigAnom) AS DensAnom, Avg([Anomalies ISL 0 IM].O2Anom) AS O2Anom, Avg([Anomalies ISL 0 IM].O2SatAnom) AS O2SatAnom, Avg([Anomalies ISL 0 IM].ChlaAnom) AS ChlaAnom, Avg([Anomalies ISL 0 IM].NO3Anom) AS NO3Anom, Avg([Anomalies ISL 0 IM].PO4Anom) AS PO4Anom, Avg([Anomalies ISL 0 IM].SIO3Anom) AS SIO3Anom, ([TempAnom]/[TempStDev]) AS TempStAnom, ([SalAnom]/[SalStDev]) AS SalStAnom, ([DensAnom]/[DensStDev]) AS DensStAnom, ([O2Anom]/[O2StDev]) AS O2StAnom, ([O2SatAnom]/[O2SatStDev]) AS O2SatStAnom, ([ChlaAnom]/[ChlaStDev]) AS ChlaStAnom, ([NO3Anom]/[NO3StDev]) AS NO3StAnom, ([PO4Anom]/[PO4StDev]) AS PO4StAnom, ([SiO3Anom]/[SiO3StDev]) AS SiO3StAnom, "" "" AS Spice, ((([NO3]-16*[PO4]+2.9))) AS NStar INTO Anom_ISL_1_Jen_all
FROM Cast INNER JOIN (St_Stations INNER JOIN (Station_ID INNER JOIN [Anomalies ISL 0 IM] ON Station_ID.Sta_ID = [Anomalies ISL 0 IM].Sta_ID) ON St_Stations.Sta_ID = Station_ID.Sta_ID) ON Cast.Cast_ID = [Anomalies ISL 0 IM].Cast_ID
GROUP BY [Anomalies ISL 0 IM].Cruise, St_Stations.Code_Region, St_Stations.[Code-SCB], St_Stations.[Code-Nearshore], [Anomalies ISL 0 IM].Sta_ID, Station_ID.St_Line, Station_ID.St_Sta, Station_ID.Distance, [Anomalies ISL 0 IM].Cast_ID, [Anomalies ISL 0 IM].Year, Cast.Quarter, [Anomalies ISL 0 IM].Depth, [Anomalies ISL 0 IM].NO3, [Anomalies ISL 0 IM].PO4, [Anomalies ISL 0 IM].SiO3, "" ""
HAVING ((([Anomalies ISL 0 IM].Cruise)>195000));"
"Anomalies ISL 2 Lines","SELECT",TRUE,"","SELECT [Anomalies ISL 1 Station].Year, Avg([Anomalies ISL 1 Station].YearValue) AS YearValue, [Anomalies ISL 1 Station].Cruise, St_Stations.St_Line, [Anomalies ISL 1 Station].Depth, Avg([Anomalies ISL 1 Station].Temp) AS Temp, Avg([Anomalies ISL 1 Station].Sal) AS Sal, Avg([Anomalies ISL 1 Station].Density) AS Density, Avg([Anomalies ISL 1 Station].O2) AS O2, Avg([Anomalies ISL 1 Station].NO3) AS NO3, Avg([Anomalies ISL 1 Station].PO4) AS PO4, Avg([Anomalies ISL 1 Station].SiO3) AS SiO3, Avg([Anomalies ISL 1 Station].O2Sat) AS O2Sat, Avg([Anomalies ISL 1 Station].TempAnom) AS TempAnom, Avg([Anomalies ISL 1 Station].SalAnom) AS SalAnom, Avg([Anomalies ISL 1 Station].DensAnom) AS DensAnom, Avg([Anomalies ISL 1 Station].O2Anom) AS O2Anom, Avg([Anomalies ISL 1 Station].O2SatAnom) AS O2SatAnom, Avg([Anomalies ISL 1 Station].NO3Anom) AS NO3Anom, Avg([Anomalies ISL 1 Station].PO4Anom) AS PO4Anom, Avg([Anomalies ISL 1 Station].SIO3Anom) AS SIO3Anom, Avg([Anomalies ISL 1 Station].TempStAnom) AS TempStAnom, Avg([Anomalies ISL 1 Station].SalStAnom) AS SalStAnom, Avg([Anomalies ISL 1 Station].DensStAnom) AS DensStAnom, Avg([Anomalies ISL 1 Station].O2StAnom) AS O2StAnom, Avg([Anomalies ISL 1 Station].O2SatStAnom) AS O2SatStAnom, Avg([Anomalies ISL 1 Station].NO3StAnom) AS NO3StAnom, Avg([Anomalies ISL 1 Station].PO4StAnom) AS PO4StAnom, Avg([Anomalies ISL 1 Station].SIO3StAnom) AS SIO3StAnom
FROM St_Stations INNER JOIN [Anomalies ISL 1 Station] ON St_Stations.Sta_ID = [Anomalies ISL 1 Station].Sta_ID
GROUP BY [Anomalies ISL 1 Station].Year, [Anomalies ISL 1 Station].Cruise, St_Stations.St_Line, [Anomalies ISL 1 Station].Depth
ORDER BY [Anomalies ISL 1 Station].Cruise, St_Stations.St_Line;"
"Anomalies ISL 3 Cruise","SELECT",TRUE,"","SELECT [Anomalies ISL 1 Station].Year, Avg([Anomalies ISL 1 Station].YearValue) AS YearValue, [Anomalies ISL 1 Station].Cruise, [Anomalies ISL 1 Station].Depth, Avg([Anomalies ISL 1 Station].Temp) AS Temp, Avg([Anomalies ISL 1 Station].Sal) AS Sal, Avg([Anomalies ISL 1 Station].Density) AS Density, Avg([Anomalies ISL 1 Station].O2) AS O2, Avg([Anomalies ISL 1 Station].NO3) AS NO3, Avg([Anomalies ISL 1 Station].PO4) AS PO4, Avg([Anomalies ISL 1 Station].SiO3) AS SiO3, Avg([Anomalies ISL 1 Station].O2Sat) AS O2Sat, Avg([Anomalies ISL 1 Station].TempAnom) AS TempAnom, Avg([Anomalies ISL 1 Station].SalAnom) AS SalAnom, Avg([Anomalies ISL 1 Station].DensAnom) AS DensAnom, Avg([Anomalies ISL 1 Station].O2Anom) AS O2Anom, Avg([Anomalies ISL 1 Station].O2SatAnom) AS O2SatAnom, Avg([Anomalies ISL 1 Station].NO3Anom) AS NO3Anom, Avg([Anomalies ISL 1 Station].PO4Anom) AS PO4Anom, Avg([Anomalies ISL 1 Station].SIO3Anom) AS SIO3Anom, Avg([Anomalies ISL 1 Station].TempStAnom) AS TempStAnom, Avg([Anomalies ISL 1 Station].SalStAnom) AS SalStAnom, Avg([Anomalies ISL 1 Station].DensStAnom) AS DensStAnom, Avg([Anomalies ISL 1 Station].O2StAnom) AS O2StAnom, Avg([Anomalies ISL 1 Station].O2SatStAnom) AS O2SatStAnom, Avg([Anomalies ISL 1 Station].NO3StAnom) AS NO3StAnom, Avg([Anomalies ISL 1 Station].PO4StAnom) AS PO4StAnom, Avg([Anomalies ISL 1 Station].SIO3StAnom) AS SIO3StAnom
FROM St_Stations INNER JOIN [Anomalies ISL 1 Station] ON St_Stations.Sta_ID = [Anomalies ISL 1 Station].Sta_ID
GROUP BY [Anomalies ISL 1 Station].Year, [Anomalies ISL 1 Station].Cruise, [Anomalies ISL 1 Station].Depth
ORDER BY [Anomalies ISL 1 Station].Cruise;"
"Anomalies ISL 4 Year","SELECT",TRUE,"","SELECT [Anomalies ISL 3 Cruise].Year, [Anomalies ISL 3 Cruise].Depth, Avg([Anomalies ISL 3 Cruise].Temp) AS Temp, Avg([Anomalies ISL 3 Cruise].Sal) AS Sal, Avg([Anomalies ISL 3 Cruise].Density) AS Density, Avg([Anomalies ISL 3 Cruise].O2) AS O2, Avg([Anomalies ISL 3 Cruise].NO3) AS NO3, Avg([Anomalies ISL 3 Cruise].PO4) AS PO4, Avg([Anomalies ISL 3 Cruise].SiO3) AS SiO3, Avg([Anomalies ISL 3 Cruise].O2Sat) AS O2Sat, Avg([Anomalies ISL 3 Cruise].TempAnom) AS TempAnom, Avg([Anomalies ISL 3 Cruise].SalAnom) AS SalAnom, Avg([Anomalies ISL 3 Cruise].DensAnom) AS DensAnom, Avg([Anomalies ISL 3 Cruise].O2Anom) AS O2Anom, Avg([Anomalies ISL 3 Cruise].O2SatAnom) AS O2SatAnom, Avg([Anomalies ISL 3 Cruise].NO3Anom) AS NO3Anom, Avg([Anomalies ISL 3 Cruise].PO4Anom) AS PO4Anom, Avg([Anomalies ISL 3 Cruise].SIO3Anom) AS SIO3Anom, Avg([Anomalies ISL 3 Cruise].TempStAnom) AS TempStAnom, Avg([Anomalies ISL 3 Cruise].SalStAnom) AS SalStAnom, Avg([Anomalies ISL 3 Cruise].DensStAnom) AS DensStAnom, Avg([Anomalies ISL 3 Cruise].O2StAnom) AS O2StAnom, Avg([Anomalies ISL 3 Cruise].O2SatStAnom) AS O2SatStAnom, Avg([Anomalies ISL 3 Cruise].NO3StAnom) AS NO3StAnom, Avg([Anomalies ISL 3 Cruise].PO4StAnom) AS PO4StAnom, Avg([Anomalies ISL 3 Cruise].SIO3StAnom) AS SIO3StAnom
FROM [Anomalies ISL 3 Cruise]
GROUP BY [Anomalies ISL 3 Cruise].Year, [Anomalies ISL 3 Cruise].Depth
HAVING ((([Anomalies ISL 3 Cruise].Year)<2010) AND (([Anomalies ISL 3 Cruise].Depth)=200) AND ((Avg([Anomalies ISL 3 Cruise].Sal)) Is Not Null));"
"Anomalies Sigma 0 IM","SELECT",TRUE,"","SELECT Cast.Cruise, Bottle_Sigm.Cast_ID, Cast.Sta_ID, Cast.Date, Cast.Julian_Day, Cast.Year, Year([Date])+Month([Date])/12 AS YearValue, Cast.Time, HarmCoeffSigma.StSigma AS Sigma, Bottle_Sigm.Depth AS Depth, Bottle_Sigm.Temp AS Temp, Bottle_Sigm.Sal AS Sal, Bottle_Sigm.O2 AS O2, Bottle_Sigm.O2Sat AS O2Sat, Bottle_Sigm.NO3 AS NO3, Bottle_Sigm.PO4 AS PO4, Bottle_Sigm.SiO4 AS SiO4, Avg(HarmCoeffSigma.DepthStDev) AS DepthStDev, Avg(HarmCoeffSigma.TempStDev) AS TempStDev, Avg(HarmCoeffSigma.SalStDev) AS SalStDev, Avg(HarmCoeffSigma.O2StDev) AS O2StDev, Avg(HarmCoeffSigma.NO3StDev) AS NO3StDev, Avg(HarmCoeffSigma.PO4StDev) AS PO4StDev, Avg(HarmCoeffSigma.SiO3StDev) AS SiO3StDev, Avg(Bottle_Sigm!Depth-(HarmCoeffSigma!DepthMean+HarmCoeffSigma!DepthAmpl*Sin(HarmCoeffSigma!DepthFreq*([Julian_Day]-HarmCoeffSigma!DepthPhase)))) AS DepthAnom, Avg(Bottle_Sigm!Temp-(HarmCoeffSigma!TempMean+HarmCoeffSigma!TempAmpl*Sin(HarmCoeffSigma!TempFreq*([Julian_Day]-HarmCoeffSigma!TempPhase)))) AS TempAnom, Avg(Bottle_Sigm!Sal-(HarmCoeffSigma!SalMean+HarmCoeffSigma!SalAmpl*Sin(HarmCoeffSigma!SalFreq*([Julian_Day]-HarmCoeffSigma!SalPhase)))) AS SalAnom, Avg(Bottle_Sigm!O2-(HarmCoeffSigma!O2Mean+HarmCoeffSigma!O2Ampl*Sin(HarmCoeffSigma!O2Freq*([Julian_Day]-HarmCoeffSigma!O2Phase)))) AS O2Anom, Avg(Bottle_Sigm!NO3-(HarmCoeffSigma!NO3Mean+HarmCoeffSigma!NO3Ampl*Sin(HarmCoeffSigma!NO3Freq*([Julian_Day]-HarmCoeffSigma!NO3Phase)))) AS NO3Anom, Avg(Bottle_Sigm!PO4-(HarmCoeffSigma!PO4Mean+HarmCoeffSigma!PO4Ampl*Sin(HarmCoeffSigma!PO4Freq*([Julian_Day]-HarmCoeffSigma!PO4Phase)))) AS PO4Anom, Avg(Bottle_Sigm!SiO4-(HarmCoeffSigma!SiO3Mean+HarmCoeffSigma!SiO3Ampl*Sin(HarmCoeffSigma!SiO3Freq*([Julian_Day]-HarmCoeffSigma!SiO3Phase)))) AS SiO3Anom, ([NO3]/[PO4]) AS [N-P_Ratio], ((([NO3]-16*[PO4]+2.9))) AS [N-Star]
FROM (Cast INNER JOIN HarmCoeffSigma ON Cast.Sta_ID = HarmCoeffSigma.Sta_ID) INNER JOIN Bottle_Sigm ON (HarmCoeffSigma.StSigma = Bottle_Sigm.STheta) AND (Cast.Cast_ID = Bottle_Sigm.Cast_ID)
WHERE (((Bottle_Sigm.STheta)=[HarmCoeffSigma]![StSigma]))
GROUP BY Cast.Cruise, Bottle_Sigm.Cast_ID, Cast.Sta_ID, Cast.Date, Cast.Julian_Day, Cast.Year, Cast.Time, HarmCoeffSigma.StSigma, Bottle_Sigm.Depth, Bottle_Sigm.Temp, Bottle_Sigm.Sal, Bottle_Sigm.O2, Bottle_Sigm.O2Sat, Bottle_Sigm.NO3, Bottle_Sigm.PO4, Bottle_Sigm.SiO4
ORDER BY Cast.Cruise, Cast.Sta_ID, HarmCoeffSigma.StSigma;"
"Anomalies Sigma 1 Lines","SELECT",TRUE,"","SELECT St_Stations.[Code-SCB], [Anomalies Sigma 0 IM].Year, Avg([Anomalies Sigma 0 IM].YearValue) AS YearValue, [Anomalies Sigma 0 IM].Sigma AS Sigma, [Anomalies Sigma 0 IM].Cruise, St_Stations.St_Line, St_Stations.St_Station, Avg([Anomalies Sigma 0 IM].Date) AS Date, Count([Anomalies Sigma 0 IM].Depth) AS NoStations, Avg([Anomalies Sigma 0 IM].Depth) AS Depth, Avg([Anomalies Sigma 0 IM].Temp) AS Temp, Avg([Anomalies Sigma 0 IM].Sal) AS Sal, Avg([Anomalies Sigma 0 IM].O2) AS O2, Avg([Anomalies Sigma 0 IM].PO4) AS PO4, [Anomalies Sigma 0 IM].SiO4 AS SiO4, Avg([Anomalies Sigma 0 IM].NO3) AS NO3, Avg([Anomalies Sigma 0 IM].DepthAnom) AS DepthAnom, Avg([Anomalies Sigma 0 IM].TempAnom) AS TempAnom, Avg([Anomalies Sigma 0 IM].SalAnom) AS SalAnom, Avg([Anomalies Sigma 0 IM].O2Anom) AS O2Anom, Avg([Anomalies Sigma 0 IM].NO3Anom) AS NO3Anom, Avg([Anomalies Sigma 0 IM].PO4Anom) AS PO4Anom, Avg([Anomalies Sigma 0 IM].SiO3Anom) AS SiO3Anom
FROM St_Stations INNER JOIN ((Cruises INNER JOIN Cast ON Cruises.Cruise = Cast.Cruise) INNER JOIN [Anomalies Sigma 0 IM] ON (Cast.Cast_ID = [Anomalies Sigma 0 IM].Cast_ID) AND (Cast.Cruise = [Anomalies Sigma 0 IM].Cruise)) ON St_Stations.Sta_ID = Cast.Sta_ID
GROUP BY St_Stations.[Code-SCB], [Anomalies Sigma 0 IM].Year, [Anomalies Sigma 0 IM].Sigma, [Anomalies Sigma 0 IM].Cruise, St_Stations.St_Line, St_Stations.St_Station, [Anomalies Sigma 0 IM].SiO4
HAVING ((([Anomalies Sigma 0 IM].Sigma)=26.4))
ORDER BY Avg([Anomalies Sigma 0 IM].YearValue), St_Stations.St_Line, St_Stations.St_Station;"
