"query_name","query_type","ok","mdbtools_empty","mdbtools_lost_join","mdbtools_lost_group","mdbtools_has_extra"
"~sq_fCruises","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"10m Properties Cruises","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"8246 to 818 469 Query","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"Anomalies ISL 0 IM","SELECT",FALSE,FALSE,FALSE,FALSE,FALSE
"Anomalies ISL 1 Station","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Anomalies ISL 1 Station_Jen","MAKE_TABLE",TRUE,FALSE,TRUE,TRUE,FALSE
"Anomalies ISL 2 Lines","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Anomalies ISL 3 Cruise","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Anomalies ISL 4 Year","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Anomalies Sigma 0 IM","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Anomalies Sigma 1 Lines","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Anomalies Sigma 1 Regions Cruise","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Anomalies Sigma 2 Cruises","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Anomalies Sigma 2 Regions Ann","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Anomalies Sigma 3 Year","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Anomalies Sigma for Cruise Maps","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Cast Query","UPDATE",TRUE,FALSE,TRUE,FALSE,FALSE
"Cluster - Chl a: Station_Cruise for Cluster","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"Cluster Tests","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"Data for HarmCoefSigma Calc","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"Data for Line93 SigmaMap","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Data for Matlab ML Calc","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Data for Matlab NC Calc","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Data for OMZ Sigma Map Matlab","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Data for Sigma Map Matlab","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"DBOutput","MAKE_TABLE",TRUE,FALSE,TRUE,FALSE,FALSE
"Depth Data - 1 Stations","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Depth Data - 2 Cruises","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Depth Data - 3 Annual","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"DIC_MkTbl_For_Web","MAKE_TABLE",TRUE,FALSE,TRUE,FALSE,FALSE
"DIC_Station_Query","SELECT",TRUE,FALSE,TRUE,FALSE,FALSE
"ExportQuery_BottleAll","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"ExportQuery_Cast_All","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"ExportQuery_Zoop","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"Find duplicates for 1504NH Volumesdb","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"Find duplicates for 1604_btldb","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Find duplicates for Bottle_All","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Find duplicates for Cast","SELECT",TRUE,FALSE,FALSE,FALSE,FALSE
"Isopycnal Properties - 1 Station","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"Isopycnal Properties - 2 Cruises","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Isopycnal Properties - 3 Annual","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"Line Station Coverage","CROSS_TAB",TRUE,FALSE,TRUE,TRUE,FALSE
"Make Bottle_All","MAKE_TABLE",TRUE,FALSE,TRUE,FALSE,FALSE
"Make Cast_All","MAKE_TABLE",TRUE,FALSE,TRUE,FALSE,FALSE
"Make_LTER_Bottle_All","MAKE_TABLE",TRUE,FALSE,TRUE,FALSE,FALSE
"Mati_Hydro_Query","MAKE_TABLE",TRUE,FALSE,TRUE,FALSE,FALSE
"Mati_Meta_Query","MAKE_TABLE",TRUE,FALSE,FALSE,FALSE,FALSE
"MK_Tbl_DICs_SalCompare","MAKE_TABLE",TRUE,FALSE,TRUE,FALSE,FALSE
"ML Data 1 Stations","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"ML Data 1 Stations_Jen","SELECT",TRUE,FALSE,TRUE,TRUE,FALSE
"ML Data 2 Cruises","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"ML Data 3 Annual","SELECT",TRUE,FALSE,FALSE,TRUE,FALSE
"MLD_NutriclineDepth Make Table","MAKE_TABLE",TRUE,FALSE,TRUE,TRUE,FALSE
"MT-Bottle_113Sta","MAKE_TABLE",TRUE,FALSE,TRUE,FALSE,FALSE
