"relationship","from_table","from_column","to_table","to_column","grbit","flags","enforced"
"BottleBottle_Q","Bottle_Q","Btl_Cnt","Bottle","Btl_Cnt","4353","unique,update_cascade,delete_cascade",TRUE
"BottleChl","Chl","Btl_Cnt","Bottle","Btl_Cnt","4353","unique,update_cascade,delete_cascade",TRUE
"BottleNuts","Nuts","Btl_Cnt","Bottle","Btl_Cnt","4353","unique,update_cascade,delete_cascade",TRUE
"BottleProdo_Bottle","Prodo_Bottle","Btl_Cnt","Bottle","Btl_Cnt","4352","update_cascade,delete_cascade",TRUE
"BottleRpt_Data","Rpt_Data","Btl_Cnt","Bottle","Btl_Cnt","4353","unique,update_cascade,delete_cascade",TRUE
"CastBottle","Bottle","Cst_Cnt","Cast","Cst_Cnt","4352","update_cascade,delete_cascade",TRUE
"CastProdo_Cast","Prodo_Cast","Cst_Cnt","Cast","Cst_Cnt","4353","unique,update_cascade,delete_cascade",TRUE
"CastWeather","Weather","Cst_Cnt","Cast","Cst_Cnt","4353","unique,update_cascade,delete_cascade",TRUE
"CruisesCast","Cast","Cruise","Cruises","Cruise","4352","update_cascade,delete_cascade",TRUE
"CurrentStationsCast","Cast","DbSta_ID","CurrentStations","DBSta_ID","16777218","dont_enforce,join_left",FALSE
"Prodo_CastProdo_Bottle","Prodo_Bottle","Cst_Cnt","Prodo_Cast","Cst_Cnt","4352","update_cascade,delete_cascade",TRUE
"ZooplanktonCast","Cast","Cruise","Zooplankton","Cruise","2","dont_enforce",FALSE
