"table","safe_name","parquet","n_row","n_col","ok","error"
"0-Cast & Zooplankton_Notes","0-Cast_Zooplankton_Notes","0-Cast_Zooplankton_Notes.parquet",59,4,TRUE,""
"0-Categories","0-Categories","0-Categories.parquet",122,5,TRUE,""
"0-Field Descriptions","0-Field_Descriptions","0-Field_Descriptions.parquet",72,6,TRUE,""
"0-Measurements","0-Measurements","0-Measurements.parquet",35,7,TRUE,""
"0-Query Info","0-Query_Info","0-Query_Info.parquet",24,5,TRUE,""
"0-Ships","0-Ships","0-Ships.parquet",28,6,TRUE,""
"0-Tables Info","0-Tables_Info","0-Tables_Info.parquet",28,2,TRUE,""
"0-Units","0-Units","0-Units.parquet",43,2,TRUE,""
"0-Work Done","0-Work_Done","0-Work_Done.parquet",280,3,TRUE,""
"2304Add2DB-cast","2304Add2DB-cast","2304Add2DB-cast.parquet",114,63,TRUE,""
"2304Add2DB-cast_ImportErrors","2304Add2DB-cast_ImportErrors","2304Add2DB-cast_ImportErrors.parquet",117,3,TRUE,""
"Anom_ISL_1_Jen_all","Anom_ISL_1_Jen_all","Anom_ISL_1_Jen_all.parquet",185501,55,TRUE,""
"Bottle","Bottle","Bottle.parquet",909076,13,TRUE,""
"Bottle_All_2105","Bottle_All_2105","Bottle_All_2105.parquet",895371,68,TRUE,""
"Bottle_All_LTER_all","Bottle_All_LTER_all","Bottle_All_LTER_all.parquet",899188,68,TRUE,""
"Bottle_Q","Bottle_Q","Bottle_Q.parquet",909076,9,TRUE,""
"BottleData_194903_202304","BottleData_194903_202304","BottleData_194903_202304.parquet",909068,30,TRUE,""
"Bottles Per Cast","Bottles_Per_Cast","Bottles_Per_Cast.parquet",545,4,TRUE,""
"Cast","Cast","Cast.parquet",36217,45,TRUE,""
"Cast_2105","Cast_2105","Cast_2105.parquet",35644,66,TRUE,""
"Cast_All_LTER_all","Cast_All_LTER_all","Cast_All_LTER_all.parquet",35715,66,TRUE,""
"Cast_not_org","Cast_not_org","Cast_not_org.parquet",36103,45,TRUE,""
"Cast_test","Cast_test","Cast_test.parquet",36217,66,TRUE,""
"Chl","Chl","Chl.parquet",909076,5,TRUE,""
"Copy of 2301Add2DB-cast_rcl","Copy_of_2301Add2DB-cast_rcl","Copy_of_2301Add2DB-cast_rcl.parquet",72,63,TRUE,""
"Copy Of Bottle","Copy_Of_Bottle","Copy_Of_Bottle.parquet",895389,13,TRUE,""
"CurrentStations","CurrentStations","CurrentStations.parquet",75,7,TRUE,""
"DICs","DICs","DICs.parquet",2142,21,TRUE,""
"HarmCoeffBottle","HarmCoeffBottle","HarmCoeffBottle.parquet",840,53,TRUE,""
"HarmCoeffChla","HarmCoeffChla","HarmCoeffChla.parquet",504,10,TRUE,""
"HarmCoeffLogZoo","HarmCoeffLogZoo","HarmCoeffLogZoo.parquet",66,8,TRUE,""
"HarmCoeffSigma","HarmCoeffSigma","HarmCoeffSigma.parquet",941,43,TRUE,""
"Mati_Hydro_1902-2107_finalthru2001","Mati_Hydro_1902-2107_finalthru2001","Mati_Hydro_1902-2107_finalthru2001.parquet",1535,18,TRUE,""
"Mati_Hydro_201902-202101","Mati_Hydro_201902-202101","Mati_Hydro_201902-202101.parquet",8387,18,TRUE,""
"Mati_Meta_1902-2107_finalthru2001","Mati_Meta_1902-2107_finalthru2001","Mati_Meta_1902-2107_finalthru2001.parquet",684,61,TRUE,""
"Mati_Meta_201902-202101","Mati_Meta_201902-202101","Mati_Meta_201902-202101.parquet",168,45,TRUE,""
"Mati_Meta_201902-202208","Mati_Meta_201902-202208","Mati_Meta_201902-202208.parquet",927,45,TRUE,""
"Mati_Meta_2111_finalthru2001","Mati_Meta_2111_finalthru2001","Mati_Meta_2111_finalthru2001.parquet",75,61,TRUE,""
"MLD_Sigma","MLD_Sigma","MLD_Sigma.parquet",620,5,TRUE,""
"MLD_Sigma_1701-1806","MLD_Sigma_1701-1806","MLD_Sigma_1701-1806.parquet",546,5,TRUE,""
"MLD_Sigma_orig","MLD_Sigma_orig","MLD_Sigma_orig.parquet",9702,5,TRUE,""
"NutClineDepth","NutClineDepth","NutClineDepth.parquet",585,4,TRUE,""
"NutClineDepth_1701-1806","NutClineDepth_1701-1806","NutClineDepth_1701-1806.parquet",511,4,TRUE,""
"NutClineDepth_84-201507","NutClineDepth_84-201507","NutClineDepth_84-201507.parquet",10494,4,TRUE,""
"NutClineDepth_orig","NutClineDepth_orig","NutClineDepth_orig.parquet",9247,4,TRUE,""
"Nuts","Nuts","Nuts.parquet",909076,11,TRUE,""
"Paste Errors","Paste_Errors","Paste_Errors.parquet",72,1,TRUE,""
"Prodo_Cast","Prodo_Cast","Prodo_Cast.parquet",36217,7,TRUE,""
"ShipCode","ShipCode","ShipCode.parquet",181,2,TRUE,""
"ShipCode_Btl","ShipCode_Btl","ShipCode_Btl.parquet",3474,2,TRUE,""
"St_Stations","St_Stations","St_Stations.parquet",67,11,TRUE,""
"Station_ID","Station_ID","Station_ID.parquet",4091,17,TRUE,""
"StDepths","StDepths","StDepths.parquet",14,1,TRUE,""
"Weather","Weather","Weather.parquet",36217,15,TRUE,""
"Zooplankton","Zooplankton","Zooplankton.parquet",49943,38,TRUE,""
"0-Sta_Code","0-Sta_Code","0-Sta_Code.parquet",7,5,TRUE,""
"1507DIC_DB","1507DIC_DB","1507DIC_DB.parquet",137,25,TRUE,""
"2105_Final_to_2304_Prelim_BTL_FIXADD2DB-btl_ImportErrors","2105_Final_to_2304_Prelim_BTL_FIXADD2DB-btl_ImportErrors","2105_Final_to_2304_Prelim_BTL_FIXADD2DB-btl_ImportErrors.parquet",918,3,TRUE,""
"Bottle_Sigm","Bottle_Sigm","Bottle_Sigm.parquet",871323,12,TRUE,""
"Cast_rcl","Cast_rcl","Cast_rcl.parquet",36031,45,TRUE,""
"Cruises","Cruises","Cruises.parquet",400,44,TRUE,""
"DIC_ABS_salCompare","DIC_ABS_salCompare","DIC_ABS_salCompare.parquet",1088,8,TRUE,""
"Mati_Hydro_2111_finalthru2001","Mati_Hydro_2111_finalthru2001","Mati_Hydro_2111_finalthru2001.parquet",1252,18,TRUE,""
"Prodo_Bottle","Prodo_Bottle","Prodo_Bottle.parquet",909076,16,TRUE,""
"Rpt_Data","Rpt_Data","Rpt_Data.parquet",909076,20,TRUE,""
