table_name,field_name,match_type,canonical_target,units,description
Bottle,Sta_ID,alias,site_key,n.a.,Line and Station to the nearest tenths
Cast,Bottom_D,alias,bottom_depth_m,meters,bottom depth in meters
Cast,Cruise,alias,cruise_key,n.a.,Cruise name
Cast,Cruise_ID,alias,cruise_key,,
Cast,Lat_Dec,alias,latitude,n.a.,Observed Latitude in decimal degrees
Cast,Lon_Dec,alias,longitude,n.a.,Observed Longitude in decimal
Cast,Sta_ID,alias,site_key,n.a.,Line and Station
Cruises,Cruise,alias,cruise_key,n.a.,Year and Month of cruise
Cruises,ID,alias,source_row_id,n.a.,Access primary key
Ships,ID,alias,source_row_id,n.a.,Autonumbered Count
StaAct_NMFS,Cruise,alias,cruise_key,n.a.,Cruise Name
StaAct_NMFS,ID,alias,source_row_id,n.a.,Autonumbered Count
StaAct_NMFS,Sta_ID,alias,site_key,n.a.,Line and Station to the nearest tenths
Sta_Code,ID,alias,source_row_id,n.a.,Autonumbered Count
Bottle,Depthm,canonical_field,depth_m,Meters,Depth in meters
Cast,Cast_ID,canonical_field,cast_id,n.a.,Cast Identifier
Cast,Order_Occ,canonical_field,order_occ,n.a.,Order of stations occupied per cruise
Cast,Ship_Code,canonical_field,ship_code,n.a.,Ship's NODC Code
Cast,Ship_Name,canonical_field,ship_name,n.a.,Ship's Name
Ships,Ship_Code,canonical_field,ship_code,n.a.,Ship's NODC Code
Ships,Ship_Name,canonical_field,ship_name,n.a.,Ship's Name
StaAct_NMFS,Ship_Code,canonical_field,ship_code,n.a.,Ship's NODC Code
Bottle,O2Sat,measurement_type,oxygen_saturation,Percent Saturation,Oxygen Saturation
Bottle,O2ml_L,measurement_type,oxygen_ml_l,Milliliter O2 per Liter seawater,Oxygen in mL/L
Bottle,Oxy_µmol/Kg,measurement_type,oxygen_umol_kg,,
Bottle,STheta,measurement_type,sigma_theta,n.a.,Potential Density of water
Bottle,Salnty,measurement_type,salinity,"Practical Salinity Scale, 1978 (UNESCO, 1981a)",Salinity of water
Bottle,T_degC,measurement_type,temperature,Degrees C,Temperature of water
Cast,ForelU,measurement_type,water_color,,
Cast,Secchi,measurement_type,secchi_depth,,
Chl,ChlorA,measurement_type,chlorophyll_a,ug L-1,chlorophyll a measured fluorometrically
Chl,Phaeop,measurement_type,phaeopigment,ug L-1,phaeopigment concentration measured fluormetrically
Prodo_Bottle,C14As1,measurement_type,c14_rep1,milligrams C per cubic meter per half light day,14C Assimilation of replicate 1
Prodo_Bottle,C14As2,measurement_type,c14_rep2,milligrams C per cubic meter per half light day,14C Assimilation Replicate 2
Prodo_Bottle,DarkAs,measurement_type,c14_dark,milligrams C per cubic meter per half light day,14C Assimilation Dark Bottle
Prodo_Bottle,LightP,measurement_type,light_pct,percent,Light intensities expressed as a percentage
Prodo_Bottle,MeanAs,measurement_type,c14_mean,milligrams C per cubic meter per half light day,Mean 14C Assimilation of Bottle 1 and 2
Rpt_Data,R_DYNHT,measurement_type,r_dynamic_height,Dynamic Meters,Reported Dynamic Height
Rpt_Data,R_Depth,measurement_type,r_depth,Meters,Reported Depth in Meters
Bottle,BtlNum,unmatched,,,
Bottle,Btl_Cnt,unmatched,,,
Bottle,Cst_Cnt,unmatched,,n.a.,Cast Count - all casts consecutively numbered
Bottle,Depth_ID,unmatched,,n.a.,Uses the Cast_ID prefix but adds three additional variables: [Depth][Bottle]-[Rec_Ind]
Bottle,RecInd,unmatched,,n.a.,Record Indicator.
Bottle_Q,Btl_Cnt,unmatched,,n.a.,bottle count - all bottles ever sampled are consecutively numbered
Bottle_Q,O2Satq,unmatched,,n.a.,quality code
Bottle_Q,O_qual,unmatched,,n.a.,quality code
Bottle_Q,P_qual,unmatched,,n.a.,quality code
Bottle_Q,SThtaq,unmatched,,n.a.,quality code
Bottle_Q,S_prec,unmatched,,n.a.,Salinity Precision
Bottle_Q,S_qual,unmatched,,n.a.,quality code
Bottle_Q,T_prec,unmatched,,n.a.,Temperature Precision
Bottle_Q,T_qual,unmatched,,n.a.,quality code
Cast,Ac_Line,unmatched,,n.a.,Calculated actual line from observed lat and long
Cast,Ac_Sta,unmatched,,n.a.,Calculated actual station from observed lat and long
Cast,CruiseAlias,unmatched,,,
Cast,Cruz_Leg,unmatched,,,
Cast,Cruz_Num,unmatched,,n.a.,Cruise Designation by year and month
Cast,Cruz_Sta,unmatched,,n.a.,Cruise name and station
Cast,Cst_Cnt,unmatched,,n.a.,Cast Count - all casts consecutively numbered
Cast,Data_Or,unmatched,,n.a.,
Cast,Data_Type,unmatched,,n.a.,Data Type
Cast,Date,unmatched,,n.a.,Date
Cast,DbSta_ID,unmatched,,n.a.,Line and Station
Cast,Distance,unmatched,,nm,"Nautical miles from coast intercept, calc'd from est. lat & lon"
Cast,Event_Num,unmatched,,,
Cast,IntC14,unmatched,,milligrams C per square meter per half light day,Integrated Primary Productivity
Cast,IntChl,unmatched,,milligrams chl per square meter per half light day,Integrated Chlorophyll per half light day
Cast,Julian_Date,unmatched,,n.a.,"OA Date: days since December 30, 1899"
Cast,Julian_Day,unmatched,,n.a.,Julian Day of the year
Cast,Lat_Deg,unmatched,,n.a.,Observed Latitude in degrees
Cast,Lat_Hem,unmatched,,n.a.,Observed Latitude Hemisphere
Cast,Lat_Min,unmatched,,n.a.,Observed Latitude in minutes
Cast,Lon_Deg,unmatched,,degrees,Observed Longitude in degrees
Cast,Lon_Hem,unmatched,,n.a.,Observed Longitude Hemisphere
Cast,Lon_Min,unmatched,,minutes,Observed Longitude in minutes
Cast,Month,unmatched,,n.a.,
Cast,Orig_Sta_ID,unmatched,,n.a.,IEH Reported Station ID
Cast,Quarter,unmatched,,n.a.,Quarter of the year
Cast,Rpt_Line,unmatched,,n.a.,Reported Line Number
Cast,Rpt_Sta,unmatched,,n.a.,Reported Station Number
Cast,St_Line,unmatched,,n.a.,Nearest Standard Line
Cast,St_Station,unmatched,,n.a.,Nearest Standard Station Number
Cast,Sta_Code,unmatched,,n.a.,Station Designation
Cast,Time,unmatched,,n.a.,Time at terminal depth
Cast,Year,unmatched,,n.a.,
Chl,Btl_Cnt,unmatched,,n.a.,bottle count - all bottles ever sampled are consecutively numbered
Chl,Chlqua,unmatched,,n.a.,quality code
Chl,Phaqua,unmatched,,n.a.,quality code
Cruises,BegDate1,unmatched,,n.a.,Begin Date on cruises where multiple ships are used
Cruises,BegDate2,unmatched,,n.a.,Begin Date on cruises where multiple ships are used
Cruises,BegDate3,unmatched,,n.a.,Begin Date on cruises where multiple ships are used
Cruises,BegDate4,unmatched,,n.a.,Begin Date on cruises where multiple ships are used
Cruises,BegDate5,unmatched,,n.a.,Begin Date on cruises where multiple ships are used
Cruises,BegDate6,unmatched,,n.a.,Begin Date on cruises where multiple ships are used
Cruises,Code-L90,unmatched,,n.a.,Flags Stations occupied along Line 90
Cruises,Code-SC,unmatched,,n.a.,Flags the current 9 quarterly-sampled SCCOOS stations
Cruises,Code-ST,unmatched,,n.a.,Flags the current 66 quarterly-sampled stations
Cruises,EndDate1,unmatched,,n.a.,End Date on cruises where multiple ships are used
Cruises,EndDate2,unmatched,,n.a.,End Date on cruises where multiple ships are used
Cruises,EndDate3,unmatched,,n.a.,End Date on cruises where multiple ships are used
Cruises,EndDate4,unmatched,,n.a.,End Date on cruises where multiple ships are used
Cruises,EndDate5,unmatched,,n.a.,End Date on cruises where multiple ships are used
Cruises,EndDate6,unmatched,,n.a.,End Date on cruises where multiple ships are used
Cruises,Ship 1,unmatched,,n.a.,Ship's name on cruises where multiple ships are used
Cruises,Ship 5,unmatched,,n.a.,Ship's name on cruises where multiple ships are used
Cruises,Ship2,unmatched,,n.a.,Ship's name on cruises where multiple ships are used
Cruises,Ship3,unmatched,,n.a.,Ship's name on cruises where multiple ships are used
Cruises,Ship4,unmatched,,n.a.,Ship's name on cruises where multiple ships are used
Cruises,Ship6,unmatched,,n.a.,Ship's name on cruises where multiple ships are used
Cruises,StasOcc1,unmatched,,n.a.,Stations Occupied on cruises where multiple ships are used
Cruises,StasOcc2,unmatched,,n.a.,Stations Occupied on cruises where multiple ships are used
Cruises,StasOcc3,unmatched,,n.a.,Stations Occupied on cruises where multiple ships are used
Cruises,StasOcc4,unmatched,,n.a.,Stations Occupied on cruises where multiple ships are used
Cruises,StasOcc5,unmatched,,n.a.,Stations Occupied on cruises where multiple ships are used
Cruises,StasOcc6,unmatched,,n.a.,Stations Occupied on cruises where multiple ships are used
NO2,Btl_Cnt,unmatched,,n.a.,bottle count - all bottles ever sampled are consecutively numbered
NO2,NO2q,unmatched,,n.a.,quality code
NO2,NO2ug,unmatched,,micro Moles per Liter,Nitrite concentration
NO3,Btl_Cnt,unmatched,,n.a.,bottle count - all bottles ever sampled are consecutively numbered
NO3,NO2q,unmatched,,n.a.,
NO3,NO2ug,unmatched,,micro Moles per Liter,Nitrate concentration
Nuts,Btl_Cnt,unmatched,,n.a.,bottle count - all bottles ever sampled are consecutively numbered
Nuts,NH3q,unmatched,,n.a.,quality code
Nuts,NH3ug,unmatched,,micro Moles per Liter,Ammonium concentration
Nuts,NO2q,unmatched,,n.a.,quality code
Nuts,NO2ug,unmatched,,micro Moles per Liter,Nitrite concentration
Nuts,NO3q,unmatched,,n.a.,quality code
Nuts,NO3ug,unmatched,,micro Moles per Liter,Nitrate concentration
Nuts,P04q,unmatched,,n.a.,quality code
Nuts,PO4ug,unmatched,,micro Moles per Liter,Phosphate concentration
Nuts,Si03q,unmatched,,n.a.,quality code
Nuts,SiO3ug,unmatched,,micro Moles per Liter,Silicate concentration
PO4,Btl_Cnt,unmatched,,n.a.,bottle count - all bottles ever sampled are consecutively numbered
PO4,PO4q,unmatched,,n.a.,quality code
PO4,PO4ug,unmatched,,micro Moles per Liter,Phosphate concentration
Prodo BottleProdo_Bottle,Darkaq,unmatched,,n.a.,quality code
Prodo_Bottle,Btl_Cnt,unmatched,,n.a.,Bottle Count - all bottles ever sampled are consecutively numbered
Prodo_Bottle,C14A1p,unmatched,,n.a.,14C Assimilation Replicate 1 precision
Prodo_Bottle,C14A1q,unmatched,,n.a.,quality code
Prodo_Bottle,C14A2p,unmatched,,n.a.,14C Assimilation Replicate 2 precision
