table_name,field_name,units,values,description,source
Bottle,BtlNum,,,,0-Field Descriptions
Bottle,Btl_Cnt,,,,0-Field Descriptions
Bottle,Cst_Cnt,n.a.,,Cast Count - all casts consecutively numbered,0-Field Descriptions
Bottle,Depth_ID,n.a.,,Uses the Cast_ID prefix but adds three additional variables: [Depth][Bottle]-[Rec_Ind],0-Field Descriptions
Bottle,Depthm,Meters,,Depth in meters,0-Field Descriptions
Bottle,O2Sat,Percent Saturation,,Oxygen Saturation,0-Field Descriptions
Bottle,O2ml_L,Milliliter O2 per Liter seawater,,Oxygen in mL/L,0-Field Descriptions
Bottle,Oxy_µmol/Kg,,,,0-Field Descriptions
Bottle,RecInd,n.a.,"3= observed data, 4= educated guess, 5= data from CTD, 6= multiple depth card, 7= interpolated to a standard depth",Record Indicator.,0-Field Descriptions
Bottle,STheta,n.a.,,Potential Density of water,0-Field Descriptions
Bottle,Salnty,"Practical Salinity Scale, 1978 (UNESCO, 1981a)",,Salinity of water,0-Field Descriptions
Bottle,Sta_ID,n.a.,,Line and Station to the nearest tenths,0-Field Descriptions
Bottle,T_degC,Degrees C,,Temperature of water,0-Field Descriptions
Bottle_Q,Btl_Cnt,n.a.,,bottle count - all bottles ever sampled are consecutively numbered,0-Field Descriptions
Bottle_Q,O2Satq,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Field Descriptions
Bottle_Q,O_qual,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Field Descriptions
Bottle_Q,P_qual,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Field Descriptions
Bottle_Q,SThtaq,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Field Descriptions
Bottle_Q,S_prec,n.a.,"1, 2, or 3 decimal places",Salinity Precision,0-Field Descriptions
Bottle_Q,S_qual,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Field Descriptions
Bottle_Q,T_prec,n.a.,"1, 2, or 3 decimal places",Temperature Precision,0-Field Descriptions
Bottle_Q,T_qual,n.a.,"6= data OK but taken from CTD, 8= value is suspect, 9= missing data",quality code,0-Field Descriptions
Cast,Ac_Line,n.a.,,Calculated actual line from observed lat and long,0-Field Descriptions
Cast,Ac_Sta,n.a.,,Calculated actual station from observed lat and long,0-Field Descriptions
Cast,Bottom_D,meters,,bottom depth in meters,0-Field Descriptions
Cast,Cast_ID,n.a.,[Century] - [YY][MM][ShipCode] - [CastType][Julian Day] - [CastTime]-[Line][Sta],Cast Identifier,0-Field Descriptions
Cast,Cruise,n.a.,4 digit year followed by a 2 digit month,Cruise name,0-Field Descriptions
Cast,CruiseAlias,,,,0-Field Descriptions
Cast,Cruise_ID,,,,0-Field Descriptions
Cast,Cruz_Leg,,,,0-Field Descriptions
Cast,Cruz_Num,n.a.,YYMM Cruise Designation,Cruise Designation by year and month,0-Field Descriptions
Cast,Cruz_Sta,n.a.,century year month line and station ccyymmllllssss,Cruise name and station,0-Field Descriptions
Cast,Cst_Cnt,n.a.,,Cast Count - all casts consecutively numbered,0-Field Descriptions
Cast,Data_Or,n.a.,,,0-Field Descriptions
Cast,Data_Type,n.a.,"PR= Productivity, HY= Hydrographic, CT= Compressed CTD, 10= 10 Meter, MX= Mixed CTD and Bottle Data",Data Type,0-Field Descriptions
Cast,Date,n.a.,,Date,0-Field Descriptions
Cast,DbSta_ID,n.a.,4 digit line and 4 digit station,Line and Station,0-Field Descriptions
Cast,Distance,nm,,"Nautical miles from coast intercept, calc'd from est. lat & lon",0-Field Descriptions
Cast,Event_Num,,,,0-Field Descriptions
Cast,ForelU,,,,0-Field Descriptions
Cast,IntC14,milligrams C per square meter per half light day,,Integrated Primary Productivity,0-Field Descriptions
Cast,IntChl,milligrams chl per square meter per half light day,,Integrated Chlorophyll per half light day,0-Field Descriptions
Cast,Julian_Date,n.a.,,"OA Date: days since December 30, 1899",0-Field Descriptions
Cast,Julian_Day,n.a.,,Julian Day of the year,0-Field Descriptions
Cast,Lat_Dec,n.a.,,Observed Latitude in decimal degrees,0-Field Descriptions
Cast,Lat_Deg,n.a.,,Observed Latitude in degrees,0-Field Descriptions
Cast,Lat_Hem,n.a.,,Observed Latitude Hemisphere,0-Field Descriptions
Cast,Lat_Min,n.a.,,Observed Latitude in minutes,0-Field Descriptions
