date,note,initials
2005-10-19,"Added  2005 (0501, 0504, 0507) data",JRW
2005-10-19,"Deleted 199707 prodo sta data for 87 110, data not report but archived in IEH",JRW
2005-10-19,Fix station dates(day) for 87.70 and 87.80 199707,JRW
2005-10-19,"New Productivity specific activity applied to recent cruises 0411, 0501",DMW
2005-10-19,"New zooplankton data received from Amy Hays for 0504, 0507",AEH
2005-10-19,Some zooplankton station/cast dates were corrected from original tow sheets,AEH
2005-10-19,Sta occupation column added to zooplankton data to improve replicate casts or reoccupation chronology,AEH
2005-10-19,New database tables links to external csvs; updates are done by updating the linked csvs,JRW
2005-10-19,"Added  2005 (0501, 0504, 0507) data",JRW
2005-10-19,"Deleted 199707 prodo sta data for 87 110, data not report but archived in IEH",JRW
2005-10-19,Fix station dates(day) for 87.70 and 87.80 199707,JRW
2005-10-19,"New Productivity specific activity applied to recent cruises 0411, 0501",DMW
2005-10-19,"New zooplankton data received from Amy Hays for 0504, 0507",AEH
2005-10-19,Some zooplankton station/cast dates were corrected from original tow sheets,AEH
2005-10-19,Sta occupation column added to zooplankton data to improve replicate casts or reoccupation chronology,AEH
2005-10-19,New database tables links to external csvs; updates are done by updating the linked csvs,JRW
2006-06-23,Re-imported cast and bottles: 86.8 to 86.7 correction (86.8 is SCCOOS),JRW
2006-06-23,"Fixed Julian Date calculation, ddmmyy Regional setting causes miscalculation",JRW
2006-06-23,Added Order_Occ field so there can be a station number to link all station data (especially nets),JRW
2006-06-23,Re-imported cast and bottles: 86.8 to 86.7 correction (86.8 is SCCOOS),JRW
2006-06-23,"Fixed Julian Date calculation, ddmmyy Regional setting causes miscalculation",JRW
2006-06-23,Added Order_Occ field so there can be a station number to link all station data (especially nets),JRW
2006-07-03,Reimported all data after finding duplicate interpolated standard levels,JRW
2006-07-03,Added Measurement_TimeTable to list start dates of measurements,JRW
2006-07-03,Reimported all data after finding duplicate interpolated standard levels,JRW
2006-07-03,"Normalized Chl, Nuts, Prodo data to eliminate empty records",JRW
2006-09-05,Comment: Have to Import tables from version ~07/09 into version 02/09 to preserve database structure,RG
2006-09-05,Imported new tables from version ~07/09 and deleted old ones,RG
2006-09-05,"Still have to add in Cruises Code info for cruises 196203, 198603, 198809",RG
2006-09-05,Generated new table Cruises by merging Jim's 07/09  and Ralf's 03/09 version,RG
2006-09-05,"Changed Cast_ID on MLD_sigma, MLD_Temp, Nutricline depth.  Only mismatch was 19-8407NM-200-0140-10000400 vs. 19-8407JD-200-0140-0800600",RG
2006-09-05,Comment: Have to Import tables from version ~07/09 into version 02/09 to preserve database structure,RG
2006-09-05,Renamed tables; i.e. simplified names,RG
2006-09-05,Imported new tables from version ~07/09 and deleted old ones,RG
2006-09-05,Generated new table Cruises by merging Jim's 07/09  and Ralf's 03/09 version,RG
2006-09-05,"Changed Cast_ID on MLD_sigma, MLD_Temp, Nutricline depth.  Only mismatch was 19-8407NM-200-0140-10000400 vs. 19-8407JD-200-0140-0800600",RG
2006-09-08,Removed >85M <1319M Interpolated data from 9610RR Station 90.0 57.0 (695526-695541),JLS
2007-04-24,"Changed 196009 with 196010 in Cruises, Cast, Bottle tables",JRW
2007-04-24,"Changed 196911 to 196912 in Cruises, Cast, Bottle tables",JRW
2007-04-25,Changed 197506 to 197507 for data dated 06/23/75 - 07/18/75,JRW
2007-04-25,Changed 197506 JD cruises from 91 to 52; 197507 JD cruises from 91 to 129,JRW
2007-04-25,Changed bottle table to Depth_ID to 197507 in Casts# 19874-19876 & 19929-19964,JRW
2007-05-01,Added 0604 and updated SCCOOS sta designation in 0602,JRW
2007-05-07,Added Tables Info table to describe all tables & content or purpose,JRW
2008-07-18,Updated all 2007 data to final YYMMTCTD.IEH bottle data,JRW
2008-07-18,Added 0801 almost final data for State of CC paper,JRW
2009-04-22,"0707 Sta 80.0 80.0 318m bad O2 value deleted, 300m Standard level changed to 1.83",JRW
2009-04-22,"New Station_ID table imported, replacing the old one; better agreement with STADB_ID",JRW
2009-04-22,Added Preliminary 2009 data; 0901NM (near-final) & 0903JD (very prelim),JRW
2009-04-22,Added Preliminary 2009 data; 0901NM (near-final) & 0903JD (very prelim),JRW
2009-05-18,"New 1949-2007 data tables replacing CastID with new CastID with Cast Type (HY, MX, PR, CT)",JRW
2009-05-18,Deleted IntChls on stations with 3 or less bottles,JRW
2009-05-18,Nulled Bottom_D = 0,JRW
2009-05-19,"Changed text to numbers in Nuts, Chl, Cast, Rpt_Data tables using append query method",JRW
2009-05-19,Added the R_NH4 field to the Rpt_Data table,JRW
2009-12-02,Added BtlNum column to bottle table and ran an update query from 1995-2009 (when btlnum is reported),JRW
2010-03-16,"Added a Cruise_ID column in the cast table, agreed upon by SIO-NOAA",JRW
2010-03-16,added 0911 & 1001 to Cruises table,JRW
2010-03-16,"Added a Cruise_ID column in the cast table, agreed upon by SIO-NOAA",JRW
2010-03-16,Added 0911 Final cast & bottle data,JRW
2010-03-16,1001 data imported are preliminary,JRW
2010-03-17,Fixed 191001 to 201001 in Cast & Bottle tables,JRW
2010-03-24,"Changed 191001 to 201001 error in Cast, Bottle, Prodo Cast tables (again)",JRW
2010-03-25,"Deleted uncorrected over-titrated O2 value in 201001, 515m sta 83.3 80 & 500m standard level O2",JRW
2010-03-25,"Re-imported re-terpled 201001 data, checked more thoroughly for mis-interpolations",JRW
2010-03-25,"Re-imported re-terpled 201001 data, checked more thoroughly for mis-interpolations",JRW
2010-03-25,"Generated Cruise_ID from Cruise Start Date, Project & Ship_Code",JRW
2010-03-25,Changed ShipName to Ship_Name in Cast table,JRW
2010-05-28,Imported 201004 preliminary data into all tables,JRW
2010-06-11,"Imported 201001 zooplankton displacement volumes into zooplankton table, final data",JRW
2010-06-17,Re-imported 200810-201001 zoop. vols into zoo table since 200810 & 200901 were missing,JRW
2010-06-28,"Once again, changed 81.8 47.0 to 81.8 46.9, Santa Barbara Basin Sta",JRW
2010-06-28,Ran update query to insert proper time into Cast_ID,JRW
2010-06-28,Synced new Cast.Cast_IDs with Prodo_Cast.Cast_ID,JRW
2010-06-28,Pre-pended new Cast.Cast_IDs to Bottle.Depth_IDs,JRW
2010-06-28,"Changes 93 to 93.3; 83 to 83.3, 87 to 86.7 or 86.8 (SCCOOS)",JRW
2010-06-28,Renamed Cast_Id-Depth_ID-agree query to TR-JRW Cast_Id-Depth_ID-agree,JRW
2010-06-28,"Changed 81.8 47.0 to 81.8 46.9 on cast 200911, ID 32180",JRW
2010-06-28,"Once again, changed 81.8 47.0 to 81.8 46.9, Santa Barbara Basin Sta",JRW
2010-06-28,Ran update query to insert proper time into Cast_ID,JRW
2010-06-28,Synced new Cast.Cast_IDs with Prodo_Cast.Cast_ID,JRW
2010-06-28,Pre-pended new Cast.Cast_IDs to Bottle.Depth_IDs,JRW
2010-06-29,"Corrected bottom depths for 200004 93.3 28.0 and 93.3 30.0, 200704 93.3 26.7, and 200801 93.3 28.0",JLW
2010-06-30,"Created & ran an update query that corrected the cast time in Cast_ID, reducing duplicates",JRW
2010-06-30,"Created & ran an update query that corrected the Data_Type in Cast_ID, reducing duplicates",JRW
2010-06-30,"Added 00:01, 00:02, 00:03 on stations where no time was reported (1964) for Cast_ID unique indexing",JRW
2010-06-30,"Added 1 minute to 1 cast pair with a duplicate cast time, line & sta  (1964, 1972, 1973)",JRW
2010-06-30,  added 1min to time on 1 of the pairs: 6401 Cst_Cnt 13785/13793;13787/13795/13889;/13961/13963,JRW
2010-06-30,  1972 Cst_Cnt: 18638/18698;18639/18699;18640/18700;18637/18701;18571/18600;18715/18774;18716/18775,JRW
2010-06-30,  1973 Cst_Cnt: 18927/19000,JRW
2010-07-08,"Added Table CurrentStations, 8 Quality Control queries with header TQ, and shortcutted them into",JLW
2010-07-09,   a new group named QualControlQueries,JLW
2010-08-26,Re-imported 200911 into DB to include missing stations 80.100 and 90.100,JLW
2010-08-27,Edited 200104 dates to fix date error.  All dates were -1 day.  Both Bottle and Cast tables were edited,JLW
2010-09-01,Added prodo cast for sta 90.0 90.0 to cruise 201001.  There is both a hydro cast and a prodo cast for that station,JLW
2010-11-17,Fixed some shipcode discrepencies and Cruise_ID misformats,JRW
2010-11-30,"Imported preliminary data from 1008NH, 1009SH, and 1011NH",JLW
2010-11-30,Fixed station name errors in bottle table for SCCOOS station 86.8 32.5,JLW
2010-12-16,Imported final data from 1008NH,JLW
2010-12-17,"Imported Zooplankton data from 20-1004, 20-1008, 20-1009, updated Cruises table",JLW
2011-01-03,Fixed Ship Code Discrepancies for Miller Freeman and Shimada cruises,JLW
2011-01-06,Imported Final Processed Data from 20-1011 and 20-1101,JLW
2011-02-22,Imported preliminary data from cruise 20-1101,JLW
2011-02-22,Fixed bottom depth errors found on stns 93.45 and 80.70 on cruise 20-1008,JLW
2011-02-22,Fixed bottom depth errors found on stns 93.45 and 80.70 on cruise 20-1008,JLW
2011-03-03,Updated Units Table,JLW
2011-05-05,Imported preliminary data from 20-1104,JLW
2011-05-10,Imported Zooplankton data into Zooplankton table from 20-1011 and 20-1101,JRW
2011-06-02,Imported Final Processed data from 20-1011 and 20-1101,JLW
2011-09-28,"Changed Cast #32685 from 86.7 70.0 to 83.3 70.0, was originally mislabeled (Prelim-1104SH)",JLW
2011-09-30,Imported preliminary data from 20-1108,JLW
2011-11-29,Fixed 20-0903 and 20-0907 R_O2 in Rpt_Data table.  All values were 0.xx,JLW
2011-11-29,Fixed 20-1101 station 86.7 100.0.  Was incorrectly labeled prodo,JLW
2011-11-29,Imported preliminary data from 20-1110,JLW
2011-11-29,Updated Categories table; Time=UTC,JLW
2011-11-29,Fixed 20-1101 station 86.7 100.0.  Was incorrectly labeled prodo,JLW
2012-03-12,Added Cruise Leg Metadata to Cruises table,JLW
2012-03-12,Imported preliminary data from 20-1202 .  NO PRODO because there was no time to run samples in scint counter before 20-1203SH,JLW
2012-03-12,Added Cruise Leg Metadata to Cruises table,JLW
2012-03-16,Re-imported 201104-101110 data to update prodo issues in previous version of database,JLW
2012-05-01,Re-imported prelim 2012-02 including prodo data.  Imported preliminary 2012-03 data,JLW
2012-08-15,Imported preliminary data for 2012-07OS,JLW
2012-08-20,Fixed weather for nighttime stations on 1107-1207.  New data processing scheme was putting in zeros where it should have been null,JLW
2012-09-04,Corrected 082.0 046.0 to 081.8 046.9 on 15 stations after 6401,JRW
2012-09-04,"Changed Cast 13796 Sta_Code from ST to NST, 82.46 on this cruise was ancillary (several line 82 stas occupied)",JRW
2012-09-06,Added DIC data to new table labeled DICs from 200901-201004 and 201101-201203.  Missing 201008-201011,JLW
2012-10-02,Added 201202 Zooplankton to the Zooplankton table,JLW
2012-10-04,Imported Final data from 20-1110 and 2012-02,JLW
2012-11-13,"Added captain, cruise date data into Cruises table, 5408-1203",MTM
2012-11-13,Added description for Julian date into Categories table,MTM
2012-11-19,Imported preliminary data for 2012-10NH,JLW
2012-11-20,Added 20-1203 Zooplankton to the Zooplankton Table,JLW
2013-01-03,Re-imported Zooplankton data into the zooplankton table from NMFS.  Includes data up to 20-1207,JLW
2013-03-13,Imported preliminary data for 20-1301SH,JLW
2013-03-15,Imported 20-1210 Zooplankton data,JLW
2013-03-18,Re-Imported 20-1108 and 20-1110 to fix UTC Date/Time issues,JLW
2013-03-19,Re-Imported 20-1202 to fix UTC Date/Time issues and Prodo lumex problems,JLW
2013-03-20,"Re-Imported 20-1203 to fix UTC Date/Time issues, deep NO2 and deep NH4 issues - can be considered finalized",JLW
2013-03-21,"Re-Imported 20-1207 to fix UTC Date/Time issues, prodo and deep NO3 issues - can be considered finalized",JLW
2013-03-27,Re-Imported 20-1210 preliminary.  No new changes.,JLW
2013-03-28,Re-Imported 20-1301 preliminary.  No new changes.,JLW
2013-05-16,Fixed 1207 import errors in Rpt_Data Table,JLW
2013-05-17,Imported 20-1304 preliminary data,JLW
