measurement_name,description,measurement_type,units,accuracy,year_started,year_ended,method
Ammonium,NH4,ammonia,Micrograms per Liter,nearest hundreth,2004-11-01,,Technicon Auto Analyzer
Chlorophyll,,,,,1949-03-01,,extractions with 80% acetone
Chlorophyll,,,,,1949-11-01,,continuous high-speed centrifuge
Chlorophyll,,,,,1951-01-09,,"continuous centrifugation of 5L of seawater sample, extract with 90% acetone, transmission measurements at a series of wavelengths"
Chlorophyll,Chl,chlorophyll_a,Micrograms per Liter,nearest tenth,1973-03-08,,Turner Designs Fluorometer
Current direction and velocity,,,voltage (?),,1951-01-09,,joglog (geo-magnetic electro-kinetograph) for calculating dynamic height?
DIC,Dissolved Inorganic Carbon,dic,micro-moles per kilogram solution,,2009-03-01,,Coulometer
Depth,bottle depth,,meters,nearest whole meter,1949-05-01,,wire pay out and temperature difference between protected and unprotected reversing thermometer
Depth,Bottle Depth,,Meters,nearest whole meter,1981-01-01,,Pressure converted to meters - Saunders 1981
Depth,Bottom Depth,,Meters,nearest whole meter,1990-03-01,,Bathythermograph
Diatom counts,,,,,1949-03-01,,slides
Nitrate,NO3,nitrate,Micromoles per Liter,nearest tenth,1959-08-14,,Technicon Auto Analyzer - Gordon et al 1993
Nitrite,NO2,nitrite,Micromoles per Liter,nearest hundreth,1959-08-16,,Technicon Auto Analyzer - Gordon et al 1993
Oxygen,O2,oxygen_ml_l,Milliliter O2 per Liter seawater,nearest hundreth,1949-04-01,,Winker Method
Phaeophytin,Phaeo,phaeopigment,Micrograms per Liter,nearest tenth,1973-03-08,,Turner Designs Fluorometer
Phosphate,PO4-P,phosphate,micrograms at Liter,nearest hundreth,1949-03-01,1983-01-01,Beckman Model DU
Phosphate,PO4-P,phosphate,micrograms at Liter,nearest hundreth,1949-06-01,1949-06-30,Lumetron photoelectric colorimeter with motor-driven balancing potentiometer
Phosphate,PO4-P,phosphate,micrograms at Liter,nearest hundreth,1949-08-01,,automatic servo-operated filter photometer (ASOP) - Snodgrass et al. 1954
Phosphate,PO4,phosphate,Micromoles per Liter,nearest hundreth,1951-06-05,,Technicon Auto Analyzer - Gordon et al 1993
Primary Productivity,Primary Productivity,,Milligrams Carbon per cubic meter,nearest tenth,1984-01-05,,Half a light cycle incubation
Salinity,Salinity,salinity,"Practical Salinity Scale, 1978 (UNESCO, 1981a)",nearest thousanth,1949-03-01,,Portosal
Salinity,Salinity,salinity,percent,nearest hundreth,1949-03-01,,chlorinity titrations
Silicate,Sil,silicate,Micromoles per Liter,nearest tenth,1959-08-14,,Technicon Auto Analyzer - Gordon et al 1993
TA,Total Alkalinity,alkalinity,micro-moles per kilogram solution,,2009-03-01,,
Temperature,Temperature of the water,temperature,Deg C,nearest hundreth,1949-03-01,1993-04-15,Reversing thermometer - Joe Jones 1889
Temperature,Temperature,,deg C,nearest hundreth,1949-03-01,,Bathythermograph (temperature recorded to 137 m)
Temperature,Temperature,,deg C,nearest hundreth,1951-01-09,,thermitow (underway surface temperature readings)
Temperature,Dry Temp,,Deg C,nearest tenth,1981-01-01,,Sling Psychrometer
Temperature,Wet Temp,,Deg C,nearest tenth,1981-01-01,,Sling Psychrometer
Temperature,Temperature of the water,temperature,deg C,nearest hundreth,1993-08-11,,CTD Thermistor
geostrophic flow,,,,,1950-04-01,1950-06-30,direct-measurement using frame-and-canvas biplane drag suspended below a float buoy designed to give small wind resistance
zooplankton,,,enumeration per unit volume,,1949-03-01,,high-speed plankton nets
zooplankton,,,enumeration per unit volume,,1949-05-01,1949-07-30,Clarko-Bumpus sampler
zooplankton,,,counts per 100 m3 filtered,,1949-08-01,,1 m net towed in steps from approx. 70 m (total volume filtered equals 100 m3 at each station)
zooplankton (larval fish and eggs too),,,enumeration per unit volume,,1951-05-01,,Isaacs-Kidd midwater trawl
