query_name,query_type,category,prefix,purpose,ok,n_hazard,hz_bang,hz_crosstab,hz_hardcoded_cruise,hz_string_numeric,hz_access_fn,hz_query_ref,sql_file
Cast Query,UPDATE,correction-history,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Cast_Query.sql
Query2,UPDATE,correction-history,(other),,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/Query2.sql
UQ-Bottle-ShipCode Query,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ-Bottle-ShipCode_Query.sql
UQ-Bottle_Oxyumol/Kg_equation,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/UQ-Bottle_Oxyumol_Kg_equation.sql
UQ-BtlNum,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ-BtlNum.sql
UQ-Cast-ShipCode Query,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ-Cast-ShipCode_Query.sql
UQ-CruiseAlias,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/UQ-CruiseAlias.sql
UQ-CruiseAlias_Zoop,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,accdb/sql/UQ-CruiseAlias_Zoop.sql
UQ-Cruise_ID,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/UQ-Cruise_ID.sql
UQ-Cruise_ID_new,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ-Cruise_ID_new.sql
UQ-Decimal Lat/Lon,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ-Decimal_Lat_Lon.sql
UQ-DepthID_PR,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ-DepthID_PR.sql
UQ-Prodo_Cast-ShipCode Query,UPDATE,correction-history,UQ,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,accdb/sql/UQ-Prodo_Cast-ShipCode_Query.sql
UQ-Prodo_IncTim,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/UQ-Prodo_IncTim.sql
UQ-Rpt_Line,UPDATE,correction-history,UQ,,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,accdb/sql/UQ-Rpt_Line.sql
