comparison,measurement_type,n_shared,n_equal,n_differ,n_null_in_accdb,n_null_in_release,max_abs_diff
Nuts.NH3uM <-> bottle_measurement[ammonia],ammonia,90489,90489,0,0,0,2.0000000020559128e-6
Chl.ChlorA <-> bottle_measurement[chlorophyll_a],chlorophyll_a,245655,245655,0,0,0,2.0000000020559128e-6
Nuts.NO3uM <-> bottle_measurement[nitrate],nitrate,363408,363408,0,0,0,3.000000006636583e-6
Nuts.NO2uM <-> bottle_measurement[nitrite],nitrite,362927,362927,0,0,0,3.9999999934536845e-7
Bottle.O2ml_L <-> bottle_measurement[oxygen_ml_l],oxygen_ml_l,719244,719244,0,0,0,5.000000005139782e-7
Bottle.O2Sat <-> bottle_measurement[oxygen_saturation],oxygen_saturation,684486,684486,0,0,0,1.0000000003174137e-5
Bottle.Oxy_µmol/Kg <-> bottle_measurement[oxygen_umol_kg],oxygen_umol_kg,684438,684437,1,0,0,2.9999999969732016e-4
Chl.Phaeop <-> bottle_measurement[phaeopigment],phaeopigment,245654,245654,0,0,0,3.000000006636583e-6
Nuts.PO4uM <-> bottle_measurement[phosphate],phosphate,436623,436623,0,0,0,2.0000000056086265e-7
Bottle.Salnty <-> bottle_measurement[salinity],salinity,838907,838907,0,0,0,2.0000000020559128e-6
Bottle.STheta <-> bottle_measurement[sigma_theta],sigma_theta,833572,833572,0,0,0,9.999999974752427e-6
Nuts.SiO3uM <-> bottle_measurement[silicate],silicate,380024,380024,0,0,0,1.0000000003174137e-5
Bottle.T_degC <-> bottle_measurement[temperature],temperature,875167,875167,0,0,0,1.00000000458067e-6
