site_key,depth_m,measurement_type,property,coef_mean,coef_ampl,coef_freq,coef_phase,coef_stdev
076.7 049.0,0,btl_nitrate,NO3,6.084753543,-6.120937363,0.020398182,190.1513318,4.59564434
076.7 049.0,10,btl_nitrate,NO3,7.563398303,-5.955403309,0.020348956,198.1464477,4.72942896
076.7 049.0,20,btl_nitrate,NO3,10.14740617,-5.959294432,0.020618024,206.3428839,4.760724624
076.7 049.0,30,btl_nitrate,NO3,12.29876295,-6.035790487,0.021043872,207.339362,4.824077885
076.7 049.0,50,btl_nitrate,NO3,16.18041179,-6.40679219,0.020935996,218.518556,4.58163657
076.7 051.0,0,btl_nitrate,NO3,3.666334714,-3.737247634,0.021114288,187.3253803,3.427155942
076.7 051.0,10,btl_nitrate,NO3,4.029020679,-3.943927441,0.021124101,189.217372,3.498965736
076.7 051.0,20,btl_nitrate,NO3,6.068574245,-4.409494757,0.021232728,203.866355,4.080541484
076.7 051.0,30,btl_nitrate,NO3,9.272266385,-5.026562135,0.020922092,218.551883,4.985535838
076.7 051.0,50,btl_nitrate,NO3,14.71554741,-4.916611526,0.020577984,233.1365143,5.165959303
076.7 051.0,75,btl_nitrate,NO3,20.09655911,-3.698653775,0.020994299,226.5917664,3.740115813
076.7 051.0,100,btl_nitrate,NO3,22.93414248,-2.856165527,0.018880721,221.2158269,2.554337712
076.7 051.0,125,btl_nitrate,NO3,25.02006435,-2.382476803,0.019506556,209.9196786,2.004479204
076.7 051.0,150,btl_nitrate,NO3,26.41659195,-2.132677316,0.020214937,205.4896492,1.739107601
076.7 051.0,200,btl_nitrate,NO3,28.90711414,-1.67556347,0.021550112,202.2816626,1.444281172
076.7 055.0,0,btl_nitrate,NO3,2.126835859,-1.747347341,0.01875942,203.4310663,2.102969744
076.7 055.0,10,btl_nitrate,NO3,2.444757586,-1.767661942,0.017913048,218.3060405,2.324592289
076.7 055.0,20,btl_nitrate,NO3,4.09360354,-2.417485055,0.020132329,229.7927891,3.367863694
076.7 055.0,30,btl_nitrate,NO3,7.363487959,-3.526863601,0.022760158,232.2982783,4.731588494
076.7 055.0,50,btl_nitrate,NO3,11.8821033,-5.205164165,0.015900414,294.8925243,5.643949744
076.7 055.0,75,btl_nitrate,NO3,14.58757199,-6.890362461,0.009521118,359.8747326,4.264001792
076.7 055.0,100,btl_nitrate,NO3,21.99448798,-2.441609286,0.014511928,298.773023,3.184226024
076.7 055.0,125,btl_nitrate,NO3,23.35793247,-2.766627005,0.010007897,342.0876253,2.239822269
076.7 055.0,150,btl_nitrate,NO3,24.78644083,-2.602190942,0.008818482,359.6647014,1.896143746
076.7 055.0,200,btl_nitrate,NO3,28.20731741,-1.335327549,0.009288984,359.9999951,1.543300272
076.7 055.0,250,btl_nitrate,NO3,31.35993767,-1.009720381,0.026713392,199.1544234,1.365952328
076.7 055.0,300,btl_nitrate,NO3,33.34623408,-0.97802864,0.025801269,186.9978042,1.335764809
076.7 055.0,400,btl_nitrate,NO3,36.73469686,-1.003499258,0.027364545,172.430139,1.182638113
076.7 055.0,500,btl_nitrate,NO3,39.22189365,-0.717968668,0.027617152,157.0196463,0.886363024
076.7 060.0,0,btl_nitrate,NO3,1.569543207,-1.189870745,0.018013697,186.910861,1.760818046
076.7 060.0,10,btl_nitrate,NO3,1.711285233,-1.166408431,0.017301981,200.9441327,1.828375511
076.7 060.0,20,btl_nitrate,NO3,2.712832347,-1.484850521,0.016841173,241.5142846,2.850080749
076.7 060.0,30,btl_nitrate,NO3,4.85317978,-2.171778907,0.0273634,234.3400046,4.04030888
076.7 060.0,50,btl_nitrate,NO3,10.23431914,-3.771025893,0.018962521,290.3272355,5.687654592
076.7 060.0,75,btl_nitrate,NO3,16.86502432,-3.063002938,0.015870581,311.1370191,5.465945518
076.7 060.0,100,btl_nitrate,NO3,22.04554471,-1.658050502,0.018425707,295.0580954,3.849462447
076.7 060.0,125,btl_nitrate,NO3,23.99233581,-1.943023277,0.01091984,359.6507122,2.555902633
076.7 060.0,150,btl_nitrate,NO3,26.04638863,-1.395728399,0.0115835,349.2007824,2.008106638
076.7 060.0,200,btl_nitrate,NO3,28.90346139,-0.987868932,0.011043498,359.999998,1.674976221
076.7 060.0,250,btl_nitrate,NO3,31.53236224,-0.567749651,0.011398739,359.9999259,1.518022312
076.7 060.0,300,btl_nitrate,NO3,33.61238433,-0.521499261,0.009623103,359.9999848,1.471192056
076.7 060.0,400,btl_nitrate,NO3,37.49627992,0.725345985,0.02308477,299.1376233,1.388095615
076.7 060.0,500,btl_nitrate,NO3,39.91049019,0.532063612,0.02494048,288.2475714,1.133845097
076.7 070.0,0,btl_nitrate,NO3,0.776355705,-0.496346039,0.014793213,191.0904716,1.114305555
076.7 070.0,10,btl_nitrate,NO3,0.794488948,-0.505656822,0.014575375,197.0790512,1.122114129
076.7 070.0,20,btl_nitrate,NO3,0.915270181,-0.544655868,0.012686572,231.5198777,1.291207946
076.7 070.0,30,btl_nitrate,NO3,1.293492153,-0.694767777,0.005954257,359.9995378,2.212885953
076.7 070.0,50,btl_nitrate,NO3,6.0808293,3.43496871,0.01990747,165.3107794,4.870490274
076.7 070.0,75,btl_nitrate,NO3,13.44701601,4.117973634,0.02108851,170.4374142,5.896082094
076.7 070.0,100,btl_nitrate,NO3,19.71801768,3.551293883,0.022702712,170.9154261,4.368915255
076.7 070.0,125,btl_nitrate,NO3,23.67443395,2.267278983,0.021046567,175.115193,2.7703118
076.7 070.0,150,btl_nitrate,NO3,25.92875565,1.654313744,0.02082672,168.9415175,2.197537759
076.7 070.0,200,btl_nitrate,NO3,28.69614795,0.934278709,0.019886607,169.4290226,1.846646634
076.7 070.0,250,btl_nitrate,NO3,31.37320576,0.84049475,0.021663728,176.8048492,1.554368835
076.7 070.0,300,btl_nitrate,NO3,33.94107504,0.659446527,0.022109945,178.8527904,1.384880461
076.7 070.0,400,btl_nitrate,NO3,38.37898343,0.337118294,0.019489058,173.2503046,0.989306725
076.7 070.0,500,btl_nitrate,NO3,41.35461757,0.64880002,0.00778957,359.9999525,0.789892243
076.7 080.0,0,btl_nitrate,NO3,0.688700367,-0.504251625,0.006158738,2.94e-5,0.58575894
076.7 080.0,10,btl_nitrate,NO3,0.382360846,-1.700330991,3.75836e-4,52.7,0.511734297
076.7 080.0,20,btl_nitrate,NO3,0.403216771,-1.427650086,3.86116e-4,52.7,0.484937912
076.7 080.0,30,btl_nitrate,NO3,0.860754751,-0.390602301,0.007695538,1.69e-5,0.922524681
076.7 080.0,50,btl_nitrate,NO3,2.060120248,63.33645529,2.13564e-4,67.65347491,3.937512837
076.7 080.0,75,btl_nitrate,NO3,6.793479836,195.1491547,1.13692e-4,69.47527428,6.501598469
076.7 080.0,100,btl_nitrate,NO3,13.61849225,87.81380672,1.97507e-4,70.81867105,6.398636407
076.7 080.0,125,btl_nitrate,NO3,19.22874223,67.75940062,2.02627e-4,72.40662526,4.949340632
076.7 080.0,150,btl_nitrate,NO3,23.46862925,36.15835104,2.68326e-4,110.6751224,3.218161158
076.7 080.0,200,btl_nitrate,NO3,27.74684626,1.048219405,0.01704089,202.1988437,2.104267394
076.7 080.0,250,btl_nitrate,NO3,30.7460513,1.059610868,0.017989272,194.419415,1.668756524
076.7 080.0,300,btl_nitrate,NO3,33.46344338,0.961533322,0.018614111,193.3008226,1.395582715
076.7 080.0,400,btl_nitrate,NO3,38.12712932,0.428047522,0.01777906,191.4976426,0.948668661
076.7 080.0,500,btl_nitrate,NO3,40.98464394,0.174692717,0.016315609,222.3184094,0.749807972
076.7 090.0,0,btl_nitrate,NO3,0.150166899,-0.018137319,0.023115546,143.5990401,0.25177573
