id,cast_id,mld_sigma,castnosamples,castbottomsample
388,20-18045S-MX-099-14:20-09000900,56.4,16,271
389,20-18045S-MX-100-01:57-09000700,17.4,16,271
390,20-18045S-MX-100-07:34-09000600,12.9,16,271
391,20-18045S-MX-100-12:30-09000530,32,16,270
392,20-18045S-MX-100-23:37-09000370,12.1,16,270
393,20-18045S-MX-101-02:34-09000350,12,16,271
394,20-18045S-MX-101-06:27-09000300,11.3,16,270
395,20-18045S-MX-101-09:21-09000277,10.4,5,20
396,20-18045S-MX-101-10:20-09000280,10.6,8,60
397,20-18045S-MX-101-13:35-08850301,11.3,5,20
398,20-18045S-MX-101-21:43-08680325,11.4,5,24
399,20-18045S-MX-101-23:20-08670350,11,16,270
400,20-18045S-MX-102-02:50-08540358,10.6,6,40
401,20-18045S-MX-102-06:08-08670400,19,16,270
402,20-18045S-MX-102-11:19-08670450,31.2,16,273
403,20-18045S-MX-104-00:50-08670600,40.2,16,270
404,20-18045S-MX-104-07:41-08670700,49.7,16,269
405,20-18045S-MX-104-22:03-08670900,17.3,16,270
406,20-18045S-MX-105-03:38-08671000,17.5,16,271
407,20-18045S-MX-105-08:47-08671100,38.9,16,270
408,20-18045S-MX-105-20:50-08331000,30.6,16,269
409,20-18045S-MX-106-02:20-08330900,31.9,16,270
410,20-18045S-MX-106-07:37-08330800,28.3,16,270
411,20-18045S-MX-106-13:26-08330700,47.2,16,270
412,20-18045S-MX-106-23:34-08330550,10.7,16,270
413,20-18045S-MX-107-03:11-08330510,10.7,10,96
414,20-18045S-MX-107-08:49-08330420,28.5,12,130
415,20-18045S-MX-107-11:28-08330406,15.4,6,25
416,20-18045S-MX-107-13:02-08330394,11.3,4,15
417,20-18045S-MX-107-16:12-08170435,12.9,4,15
418,20-18045S-MX-108-00:02-08000505,13.9,4,15
419,20-18045S-MX-108-00:50-08000510,10.9,8,60
420,20-18045S-MX-108-03:48-08000550,21.7,17,270
421,20-18045S-MX-108-07:36-08000600,44.2,16,268
422,20-18045S-MX-108-20:04-08000800,40.7,16,270
423,20-18045S-MX-109-01:28-08000900,16.9,16,270
424,20-18045S-MX-109-06:52-08001000,19.8,16,269
425,20-18045S-MX-109-21:48-07670900,42.6,16,269
426,20-18045S-MX-110-03:31-07670800,42.6,16,270
427,20-18045S-MX-110-08:51-07670700,50.7,16,269
428,20-18045S-MX-110-14:43-07670600,51.1,16,270
429,20-18045S-MX-110-22:10-07670510,15.8,15,220
430,20-18045S-MX-111-00:51-07670490,27.4,8,60
431,20-18045S-MX-111-06:19-07330500,11.5,4,20
432,20-18045S-MX-111-09:37-07330550,12.9,10,270
433,20-18045S-MX-111-13:53-07330600,22.3,10,271
434,20-18045S-MX-111-19:09-07330700,20.6,10,269
435,20-18045S-MX-112-00:59-07330800,28.6,10,269
436,20-18045S-MX-112-09:19-07000900,28.3,10,270
437,20-18045S-MX-112-15:57-07000800,27.6,10,270
438,20-18045S-MX-112-22:12-07000700,26.9,10,270
439,20-18045S-MX-113-04:21-07000600,15.7,10,270
440,20-18045S-MX-113-08:08-07000550,19.5,10,271
441,20-18045S-MX-113-11:19-07000510,11.5,10,270
442,20-18045S-MX-113-18:31-06670500,13.9,9,185
443,20-18045S-MX-113-21:51-06670550,11.3,10,269
444,20-18045S-MX-114-01:16-06670600,14.5,10,269
445,20-18045S-MX-114-06:17-06670700,17,10,270
446,20-18045S-MX-114-11:32-06670800,17.5,10,270
447,20-18045S-MX-114-16:34-06670900,30.5,10,269
448,20-18045S-MX-114-21:55-06330900,17.6,10,269
449,20-18045S-MX-115-03:14-06330800,25.3,10,270
450,20-18045S-MX-115-08:10-06330700,11.9,10,271
451,20-18045S-MX-115-13:24-06330600,14.3,10,270
452,20-18045S-MX-115-17:02-06330550,16.5,10,270
453,20-18045S-MX-115-20:04-06330520,10.4,6,80
454,20-18045S-MX-116-01:10-06000530,11.4,6,80
455,20-18045S-MX-116-04:45-06000600,12.4,10,270
456,20-18045S-MX-116-09:39-06000700,12.6,10,270
457,20-18045S-MX-116-14:54-06000800,17.4,10,270
458,20-18045S-MX-116-20:00-06000900,16.3,10,269
459,20-18045S-PR-095-20:42-09330267,10.4,10,55
460,20-18045S-PR-096-17:59-09330450,14.7,19,268
461,20-18045S-PR-097-17:02-09330800,18.5,18,271
462,20-18045S-PR-098-18:45-09001200,26.7,18,271
463,20-18045S-PR-099-20:15-09000800,36,18,271
464,20-18045S-PR-100-18:07-09000450,12.1,17,270
465,20-18045S-PR-101-18:33-08670330,11,7,45
466,20-18045S-PR-102-15:35-08670500,32.3,9,63
467,20-18045S-PR-103-20:14-08670550,13.6,17,270
468,20-18045S-PR-104-17:13-08670800,55.4,19,270
469,20-18045S-PR-105-16:00-08331100,51.5,19,270
470,20-18045S-PR-106-19:23-08330600,16.2,18,269
471,20-18045S-PR-107-18:25-08180469,12.4,16,270
472,20-18045S-PR-108-15:30-08000700,38.7,18,269
473,20-18045S-PR-109-16:04-07671000,62.2,18,270
87,20-17045S-MX-091-09:24-09330900,51.2,16,270
88,20-17045S-MX-091-22:59-09331100,22.5,16,269
89,20-17045S-MX-092-04:45-09331200,38.7,16,270
90,20-17045S-MX-092-10:46-09001200,60.3,16,271
91,20-17045S-MX-092-22:53-09001000,20.9,16,269
92,20-17045S-MX-093-04:34-09000900,26.4,16,270
93,20-17045S-MX-093-10:24-09000800,23.3,16,271
94,20-17045S-MX-093-22:30-09000600,14.8,16,272
95,20-17045S-MX-094-03:13-09000530,14.1,16,270
96,20-17045S-MX-094-08:26-09000450,12.4,16,270
97,20-17045S-MX-094-13:56-09000370,12.7,16,270
98,20-17045S-MX-094-20:57-09000300,10.9,16,271
99,20-17045S-MX-094-23:49-09000280,12,9,70
100,20-17045S-MX-095-01:50-09000277,10.4,5,20
101,20-17045S-MX-095-04:04-08850301,10.4,5,20
102,20-17045S-MX-095-09:16-08540358,11.1,5,25
103,20-17045S-MX-095-11:49-08670350,11.2,16,271
104,20-17045S-MX-095-15:15-08680325,15,4,15
105,20-17045S-MX-095-21:37-08670400,10.9,16,269
106,20-17045S-MX-096-01:26-08670450,12.5,16,271
107,20-17045S-MX-096-05:12-08670500,17.4,9,70
108,20-17045S-MX-096-09:28-08670550,13.3,16,270
109,20-17045S-MX-096-13:17-08670600,11.9,16,272
110,20-17045S-MX-097-00:50-08670800,13,16,271
111,20-17045S-MX-097-06:14-08670900,12.5,16,270
112,20-17045S-MX-097-11:48-08671000,14.3,16,272
113,20-17045S-MX-097-23:53-08331100,13.5,16,271
114,20-17045S-MX-098-05:27-08331000,12.9,16,269
115,20-17045S-MX-098-11:23-08330900,13.3,16,269
116,20-17045S-MX-099-04:15-08330700,51,16,271
117,20-17045S-MX-099-11:58-08330600,21,16,269
118,20-17045S-MX-099-20:57-08330510,12.2,10,90
119,20-17045S-MX-100-02:37-08330420,12.4,13,161
120,20-17045S-MX-100-05:09-08330406,12.4,5,31
121,20-17045S-MX-100-06:38-08330394,10.9,4,20
122,20-17045S-MX-100-09:16-08170435,11.3,5,25
123,20-17045S-MX-100-11:20-08180469,10.9,16,270
124,20-17045S-MX-100-16:22-08000505,15.2,5,25
125,20-17045S-MX-100-20:12-08000550,22.4,16,271
126,20-17045S-MX-101-01:07-08000600,31.5,16,270
127,20-17045S-MX-101-06:42-08000700,42.1,16,270
128,20-17045S-MX-101-12:16-08000800,29.6,16,271
129,20-17045S-MX-102-00:23-08001000,14.3,16,271
130,20-17045S-MX-102-06:20-07671000,14.8,16,271
131,20-17045S-MX-102-11:49-07670900,12.1,16,271
132,20-17045S-MX-102-22:26-07670700,13.5,16,269
133,20-17045S-MX-103-03:56-07670600,12.7,16,271
134,20-17045S-MX-103-07:37-07670550,10.9,16,270
135,20-17045S-MX-103-10:47-07670510,11,15,210
136,20-17045S-MX-103-13:00-07670490,11.7,7,50
137,20-17045S-MX-103-21:01-07330550,19.1,10,270
138,20-17045S-MX-104-00:37-07330600,10.8,10,270
139,20-17045S-MX-104-06:24-07330700,21.3,10,271
140,20-17045S-MX-104-12:06-07330800,20.1,10,270
141,20-17045S-MX-104-18:03-07330900,12.3,10,270
142,20-17045S-MX-105-00:04-07000900,25.9,10,271
143,20-17045S-MX-105-21:27-06670500,11.6,10,271
144,20-17045S-MX-106-03:23-07000510,12,10,250
145,20-17045S-MX-106-06:34-07000550,13.9,10,271
146,20-17045S-MX-106-10:00-07000600,20.7,10,272
147,20-17045S-MX-106-15:17-07000700,26.2,10,270
148,20-17045S-MX-106-21:01-07000800,27,10,272
149,20-17045S-MX-107-05:13-06670900,28.2,10,270
150,20-17045S-MX-107-10:40-06670800,22.3,10,271
151,20-17045S-MX-107-15:58-06670700,12,10,270
152,20-17045S-MX-107-21:03-06670600,21.1,10,270
153,20-17045S-MX-108-01:42-06670550,11.6,10,270
154,20-17045S-MX-108-07:16-06330520,11.6,6,78
155,20-17045S-MX-108-10:05-06330550,11.1,10,297
156,20-17045S-MX-108-13:34-06330600,20.3,10,270
157,20-17045S-MX-108-18:51-06330700,18.2,10,270
158,20-17045S-MX-109-00:00-06330800,14.6,10,270
159,20-17045S-MX-109-05:20-06330900,13.1,10,270
160,20-17045S-MX-109-10:59-06000900,11.8,10,270
161,20-17045S-MX-109-16:16-06000800,16.5,10,272
162,20-17045S-MX-109-21:19-06000700,11.4,10,270
163,20-17045S-MX-110-02:50-06000600,11.4,9,271
164,20-17045S-MX-110-07:36-06000530,10.5,6,81
165,20-17045S-PR-088-18:28-09330350,10.8,17,271
166,20-17045S-PR-090-17:00-09330800,55.4,18,269
167,20-17045S-PR-091-09:22-09331000,58.2,18,273
168,20-17045S-PR-092-17:08-09001100,54.5,18,270
169,20-17045S-PR-093-16:26-09000700,11.6,16,270
170,20-17045S-PR-094-16:48-09000350,19.8,17,290
171,20-17045S-PR-095-16:55-08670330,13.7,8,45
172,20-17045S-PR-096-18:57-08670700,12.3,18,271
173,20-17045S-PR-097-17:57-08671100,19.2,18,270
174,20-17045S-PR-098-19:35-08330800,24.2,18,270
175,20-17045S-PR-099-17:06-08330550,61.9,18,267
176,20-17045S-PR-100-17:14-08000510,11.9,10,60
177,20-17045S-PR-101-18:28-08000900,13.3,17,270
178,20-17045S-PR-102-17:03-07670800,15.8,18,270
179,20-17045S-PR-103-18:02-07330500,14.6,7,35
180,20-1708SR-MX-213-22:36-09330267,10.1,7,52
181,20-1708SR-MX-214-00:58-09340265,15,4,15
182,20-1708SR-MX-214-02:34-09330280,10.1,16,270
183,20-1708SR-MX-214-05:59-09330300,10.2,16,270
184,20-1708SR-MX-214-10:05-09330350,10.9,16,272
185,20-1708SR-MX-214-14:12-09330400,11.3,16,271
186,20-1708SR-MX-214-22:39-09330500,13.4,16,272
187,20-1708SR-MX-215-02:26-09330550,12.7,16,270
188,20-1708SR-MX-215-06:33-09330600,19.9,16,270
189,20-1708SR-MX-215-12:16-09330700,20,16,270
