cast_no,cast_id,ncdepth,nodepths
1,20-1701RL-MX-006-02:18-09330267,31,8
2,20-1701RL-MX-006-03:52-09340264,25,6
3,20-1701RL-MX-006-06:22-09170264,15.488893,6
4,20-1701RL-MX-006-08:58-09330280,30.082645,16
5,20-1701RL-MX-006-11:38-09330300,26.369427,15
6,20-1701RL-MX-006-15:16-09330350,33.161514,15
7,20-1701RL-MX-006-23:00-09330450,50.529532,16
8,20-1701RL-MX-007-02:33-09330500,38.478272,14
9,20-1701RL-MX-007-06:09-09330550,60.757101,16
10,20-1701RL-MX-007-09:52-09330600,61.27953,16
11,20-1701RL-MX-007-21:36-09330800,65.47429099999999,15
12,20-1701RL-MX-008-03:25-09330900,74.500012,15
13,20-1701RL-MX-008-08:57-09331000,81.242941,16
14,20-1701RL-MX-009-01:11-09331200,124.389391,16
15,20-1701RL-MX-009-06:08-09001200,121.285721,16
16,20-1701RL-MX-009-11:53-09001100,99.74511099999999,16
17,20-1701RL-MX-009-23:34-09000900,61.764717,16
18,20-1701RL-MX-010-05:23-09000800,61.108988,16
19,20-1701RL-MX-010-10:58-09000700,50.157068,16
20,20-1701RL-MX-010-21:47-09000530,41.182806,16
21,20-1701RL-MX-011-03:10-09000450,23.730167,16
22,20-1701RL-MX-011-08:33-09000370,31.492538,16
23,20-1701RL-MX-011-11:43-09000350,23.484322,16
24,20-1701RL-MX-011-20:35-09000280,31.276949,9
25,20-1701RL-MX-011-22:20-09000277,23.482149,6
26,20-1701RL-MX-012-00:59-08850301,2,5
27,20-1701RL-MX-012-04:36-08680325,20,6
28,20-1701RL-MX-012-05:19-08670330,13.53357,8
29,20-1701RL-MX-012-08:18-08540358,15.412848,7
30,20-1701RL-MX-012-10:32-08670350,22.688172,16
31,20-1701RL-MX-012-14:36-08670400,32.67602,16
32,20-1701RL-MX-013-00:04-08670500,20.316456,9
33,20-1701RL-MX-013-03:27-08670550,14.210542,16
34,20-1701RL-MX-013-07:16-08670600,54.833343,15
35,20-1701RL-MX-013-13:14-08670700,64.53551899999999,16
36,20-1701RL-MX-014-00:44-08670900,70.12903799999999,16
37,20-1701RL-MX-014-06:18-08671000,73.547828,16
38,20-1701RL-MX-014-12:26-08671100,67.027406,16
39,20-1701RL-MX-015-00:46-08331000,43.57143,16
40,20-1701RL-MX-015-06:33-08330900,61.71875,16
41,20-1701RL-MX-015-12:31-08330800,56.756757,15
42,20-1701RL-MX-016-00:33-08330600,48.484859,16
43,20-1701RL-MX-016-04:39-08330550,3,16
44,20-1701RL-MX-016-08:15-08330510,2,11
45,20-1701RL-MX-016-14:32-08330420,30.142352,11
46,20-1701RL-MX-016-16:59-08330394,2,4
47,20-1701RL-MX-016-20:56-08170435,1,6
48,20-1701RL-MX-016-22:58-08180469,2,16
49,20-1701RL-MX-017-03:24-08000505,2,5
50,20-1701RL-MX-017-04:07-08000510,2,9
51,20-1701RL-MX-017-06:49-08000550,2,16
52,20-1701RL-MX-017-10:49-08000600,35.959606,16
53,20-1701RL-MX-017-22:34-08000800,57.325581,16
54,20-1701RL-MX-018-04:16-08000900,70.686702,16
55,20-1701RL-MX-018-09:56-08001000,51.707317,16
56,20-1701RL-MX-018-22:07-07670900,77.117982,16
57,20-1701RL-MX-019-03:40-07670800,21.142857,16
58,20-1701RL-MX-019-08:47-07670700,2,16
59,20-1701RL-MX-019-14:56-07670600,35.054054,16
60,20-1701RL-MX-019-22:59-07670510,4,16
61,20-1701RL-MX-020-01:38-07670490,1,8
62,20-1701RL-PR-006-19:05-09330400,48.792115,18
63,20-1701RL-PR-007-16:45-09330700,67.436977,17
64,20-1701RL-PR-008-15:36-09331100,103.196721,18
65,20-1701RL-PR-009-17:48-09001000,89.062827,16
66,20-1701RL-PR-010-18:18-09000600,41.307694,18
67,20-1701RL-PR-011-17:01-09000300,37.147465,17
