site_key,rpt_line,rpt_sta,avg_bottom_depth_m,db_sta_id
076.7 049.0,76.7,49,69,07670490
076.7 051.0,76.7,51,239,07670510
076.7 055.0,76.7,55,592,07670550
076.7 060.0,76.7,60,930,07670600
076.7 070.0,76.7,70,4015,07670700
076.7 080.0,76.7,80,4197,07670800
076.7 090.0,76.7,90,4140,07670900
076.7 100.0,76.7,100,4426,07671000
080.0 050.5,80,50.5,26,08000505
080.0 051.0,80,51,75,08000510
080.0 055.0,80,55,786,08000550
080.0 060.0,80,60,2195,08000600
080.0 070.0,80,70,3628,08000700
080.0 080.0,80,80,3965,08000800
080.0 090.0,80,90,4225,08000900
080.0 100.0,80,100,4332,08001000
081.7 043.5,81.7,43.5,25,08170435
081.8 046.9,82,47,578,08180469
083.3 039.4,83.3,39.4,21,08330394
083.3 040.6,83.3,40.6,35,08330406
083.3 042.0,83.3,42,134,08330420
083.3 051.0,83.3,51,100,08330510
083.3 055.0,83.3,55,1016,08330550
083.3 060.0,83.3,60,1440,08330600
083.3 070.0,83.3,70,3786,08330700
083.3 080.0,83.3,80,4171,08330800
083.3 090.0,83.3,90,4201,08330900
083.3 100.0,83.3,100,4139,08331000
083.3 110.0,83.3,110,4204,08331100
085.4 035.8,85.4,35.8,26,08540358
086.7 033.0,86.7,33,57,08670330
086.7 035.0,86.7,35,660,08670350
086.7 040.0,86.7,40,760,08670400
086.7 045.0,86.7,45,1633,08670450
086.7 050.0,86.7,50,78,08670500
086.7 055.0,86.7,55,1199,08670550
086.7 060.0,86.7,60,753,08670600
086.7 070.0,86.7,70,3783,08670700
086.7 080.0,86.7,80,4025,08670800
086.7 090.0,86.7,90,4092,08670900
086.7 100.0,86.7,100,4062,08671000
086.7 110.0,86.7,110,3944,08671100
086.8 032.5,86.8,32.5,25,08680325
088.5 030.1,88.5,30.1,21,08850301
090.0 027.7,90,27.7,20,09000277
090.0 028.0,90,28,81,09000280
090.0 030.0,90,30,630,09000300
090.0 035.0,90,35,371,09000350
090.0 037.0,90,37,1181,09000370
090.0 045.0,90,45,1691,09000450
090.0 053.0,90,53,1312,09000530
090.0 060.0,90,60,965,09000600
090.0 070.0,90,70,3812,09000700
090.0 080.0,90,80,3681,09000800
090.0 090.0,90,90,3879,09000900
090.0 100.0,90,100,4012,09001000
090.0 110.0,90,110,4008,09001100
090.0 120.0,90,120,4172,09001200
091.7 026.4,91.7,26.4,22,09170264
093.3 026.7,93.3,26.7,66,09330267
093.3 028.0,93.3,28,604,09330280
093.3 030.0,93.3,30,855,09330300
093.3 035.0,93.3,35,622,09330350
093.3 040.0,93.3,40,1612,09330400
093.3 045.0,93.3,45,1358,09330450
093.3 050.0,93.3,50,1454,09330500
093.3 055.0,93.3,55,1613,09330550
093.3 060.0,93.3,60,1979,09330600
093.3 070.0,93.3,70,3862,09330700
093.3 080.0,93.3,80,3871,09330800
093.3 090.0,93.3,90,4120,09330900
093.3 100.0,93.3,100,4128,09331000
093.3 110.0,93.3,110,3812,09331100
093.3 120.0,93.3,120,4083,09331200
093.4 026.4,93.4,26.4,24,09340264
