accdb_ship_code,accdb_ship,accdb_ship_name,operator,repo_ship_name,repo_code_new,in_repo_renames
31AR,AR,ARGO,,ARGO,31AR,TRUE
325S,5S,RV BELL M SHIMADA,NOAA,RV BELL M SHIMADA,3322,TRUE
325S,5S,RV BELL M SHIMADA,NOAA,RV BELL M. SHIMADA,3322,TRUE
32WC,WC,WECOMA,,WESTWIND,31WE,TRUE
33DP,DP,DAVID PHILLIP DOLPHIN,,DAVID PHILLIP DOLPHIN,33DP,TRUE
31AS,AS,ALASKA,,,,FALSE
31AX,AX,RV ALEXANDER AGASSIZ,,,,FALSE
31BD,BD,BLACK DOUGLAS,,,,FALSE
31CR,CR,CREST,,,,FALSE
31EB,EB,ELLEN B. SCRIPPS,,,,FALSE
31ES,ES,E.W. SCRIPPS,SIO,,,FALSE
31FN,FN,MILLER FREEMAN,,,,FALSE
31HO,HO,HORIZON,SIO,,,FALSE
31HS,HS,H.M. SMITH,,,,FALSE
31JD,JD,RV DAVID STARR JORDAN,NOAA,,,FALSE
31M4,M4,MCARTHUR,NOAA,,,FALSE
31NS,NS,MV N.B. SCOFIELD,CDFG,,,FALSE
31OR,OR,ORCA,,,,FALSE
31PT,PT,PAOLINA-T,,,,FALSE
31SB,SB,SPENCER F. BAIRD,,,,FALSE
31ST,ST,STRANGER,,,,FALSE
31TC,TC,TOWNSEND CROMWELL,,,,FALSE
31YE,YE,YELLOWFIN,,,,FALSE
32NM,NM,RV NEW HORIZON,SIO,,,FALSE
32QU,QU,RV ROBERT GORDON SPROUL,SIO,,,FALSE
33RR,RR,RV ROGER REVELLE,SIO,,,FALSE
57VA,VA,RV ALEJANDRO DE HUMBOLDT,Mexico,,,FALSE
90EK,EK,EKVATOR,,,,FALSE
90PN,PN,POSEYDON,Russia,,,FALSE
