table,n_row,disposition
Bottle_Q,909076,NET-NEW — candidate for Phase 4 ingest
Prodo_Bottle,909076,NET-NEW — candidate for Phase 4 ingest
Rpt_Data,909076,NET-NEW — candidate for Phase 4 ingest
Zooplankton,49943,NET-NEW — candidate for Phase 4 ingest
Prodo_Cast,36217,NET-NEW — candidate for Phase 4 ingest
Weather,36217,NET-NEW — candidate for Phase 4 ingest
HarmCoeffSigma,941,NET-NEW — candidate for Phase 4 ingest
HarmCoeffBottle,840,NET-NEW — candidate for Phase 4 ingest
MLD_Sigma,620,NET-NEW — candidate for Phase 4 ingest
NutClineDepth,585,NET-NEW — candidate for Phase 4 ingest
Bottles Per Cast,545,NET-NEW — candidate for Phase 4 ingest
HarmCoeffChla,504,NET-NEW — candidate for Phase 4 ingest
St_Stations,67,NET-NEW — candidate for Phase 4 ingest
HarmCoeffLogZoo,66,NET-NEW — candidate for Phase 4 ingest
StDepths,14,NET-NEW — candidate for Phase 4 ingest
Chl,909076,covered by an existing release dataset
Nuts,909076,covered by an existing release dataset
Station_ID,4091,covered by an existing release dataset
ShipCode_Btl,3474,covered by an existing release dataset
DICs,2142,covered by an existing release dataset
Cruises,400,covered by an existing release dataset
ShipCode,181,covered by an existing release dataset
CurrentStations,75,covered by an existing release dataset
0-Work Done,280,documentation (harvested in Phase 2)
0-Categories,122,documentation (harvested in Phase 2)
0-Field Descriptions,72,documentation (harvested in Phase 2)
0-Cast & Zooplankton_Notes,59,documentation (harvested in Phase 2)
0-Units,43,documentation (harvested in Phase 2)
0-Measurements,35,documentation (harvested in Phase 2)
0-Ships,28,documentation (harvested in Phase 2)
0-Tables Info,28,documentation (harvested in Phase 2)
0-Query Info,24,documentation (harvested in Phase 2)
0-Sta_Code,7,documentation (harvested in Phase 2)
Bottle,909076,reconciled — release verified faithful
Cast,36217,reconciled — release verified faithful
BottleData_194903_202304,909068,working copy / staging — skip
Bottle_All_LTER_all,899188,working copy / staging — skip
Copy Of Bottle,895389,working copy / staging — skip
Bottle_All_2105,895371,working copy / staging — skip
Bottle_Sigm,871323,working copy / staging — skip
Anom_ISL_1_Jen_all,185501,working copy / staging — skip
Cast_test,36217,working copy / staging — skip
Cast_not_org,36103,working copy / staging — skip
Cast_rcl,36031,working copy / staging — skip
Cast_All_LTER_all,35715,working copy / staging — skip
Cast_2105,35644,working copy / staging — skip
NutClineDepth_84-201507,10494,working copy / staging — skip
MLD_Sigma_orig,9702,working copy / staging — skip
NutClineDepth_orig,9247,working copy / staging — skip
Mati_Hydro_201902-202101,8387,working copy / staging — skip
Mati_Hydro_1902-2107_finalthru2001,1535,working copy / staging — skip
Mati_Hydro_2111_finalthru2001,1252,working copy / staging — skip
DIC_ABS_salCompare,1088,working copy / staging — skip
Mati_Meta_201902-202208,927,working copy / staging — skip
2105_Final_to_2304_Prelim_BTL_FIXADD2DB-btl_ImportErrors,918,working copy / staging — skip
Mati_Meta_1902-2107_finalthru2001,684,working copy / staging — skip
MLD_Sigma_1701-1806,546,working copy / staging — skip
NutClineDepth_1701-1806,511,working copy / staging — skip
Mati_Meta_201902-202101,168,working copy / staging — skip
1507DIC_DB,137,working copy / staging — skip
2304Add2DB-cast_ImportErrors,117,working copy / staging — skip
2304Add2DB-cast,114,working copy / staging — skip
Mati_Meta_2111_finalthru2001,75,working copy / staging — skip
Copy of 2301Add2DB-cast_rcl,72,working copy / staging — skip
Paste Errors,72,working copy / staging — skip
