tbl_old,tbl_new,fld_old,fld_new,type_old,type_new,fld_description,units,notes,mutation
mets_schema_single_tsg,mets_sample,ID,source_row_id,numeric,integer,Source row identifier (sequential per file),,,
mets_schema_single_tsg,mets_sample,Cruise,cruise_orig,character,varchar,Cruise label as provided in the file (e.g. CC1704); cruise_key itself is derived from the FOLDER code (see questions.csv mets_21),,kept as provenance not the key,
mets_schema_single_tsg,mets_sample,DateTime,datetime_start_utc,datetime,timestamp,Observation timestamp,,"mets_02 RESOLVED (provisional, unconfirmed by provider): assumed local PST, fixed -8:00","ymd_hms(DateTime) + hours(8)"
mets_schema_single_tsg,mets_sample,Date,,datetime,,Redundant with DateTime,,dropped -- derivable from datetime_start_utc,
mets_schema_single_tsg,mets_sample,Time,,time,,Redundant with DateTime,,dropped -- derivable from datetime_start_utc,
mets_schema_single_tsg,mets_sample,Lat,latitude,numeric,double,Latitude,decimal_degrees,,
mets_schema_single_tsg,mets_sample,Lon,longitude,numeric,double,Longitude,decimal_degrees,,
mets_schema_single_tsg,mets_sample,COG,course_over_ground_deg,numeric,double,Course over ground,degrees,,
mets_schema_single_tsg,mets_sample,SOG,speed_over_ground_kt,numeric,double,Speed over ground,knots,,
mets_schema_single_tsg,mets_sample,Heading,heading_deg,numeric,double,Ship heading,degrees,,
mets_schema_single_tsg,mets_sample,AirTemp,air_temp_c,numeric,double,Air temperature,deg_C,,
mets_schema_single_tsg,mets_sample,RelHum,rel_humidity_pct,numeric,double,Relative humidity,percent,,
mets_schema_single_tsg,mets_sample,WindSpeed,wind_speed_ms,numeric,double,Wind speed,m/s,confirm true vs relative wind -- see questions.csv,
mets_schema_single_tsg,mets_sample,WindDir,wind_dir_deg,numeric,double,Wind direction,degrees,confirm true vs relative wind -- see questions.csv,
mets_schema_single_tsg,mets_sample,AtmPress,atm_pressure_mb,numeric,double,Atmospheric pressure,mb,,
mets_schema_single_tsg,mets_sample,ChlFluor,chl_fluor,numeric,double,Chlorophyll fluorescence (relative),,confirm units/calibration -- see questions.csv,
mets_schema_single_tsg,mets_sample,TSGTemp,tsg1_temp_c,numeric,double,TSG (single unit) temperature,deg_C,,
mets_schema_single_tsg,mets_sample,TSGSal,tsg1_salinity_psu,numeric,double,TSG (single unit) salinity,PSU,,
mets_schema_single_tsg,mets_sample,LongWaveRad,long_wave_rad,numeric,double,Longwave radiation,W/m2,,
mets_schema_single_tsg,mets_sample,ShortWaveRad,short_wave_rad,numeric,double,Shortwave radiation,W/m2,,
mets_schema_single_tsg,mets_sample,Pred_Temp,pred_temp_c,numeric,double,Model-predicted temperature,deg_C,confirm prediction method/source -- see questions.csv,
mets_schema_single_tsg,mets_sample,Pred_Sal,pred_sal_psu,numeric,double,Model-predicted salinity,PSU,confirm prediction method/source -- see questions.csv,
mets_schema_single_tsg,mets_sample,Pred_Chl,pred_chl,numeric,double,Model-predicted chlorophyll,,confirm prediction method/source -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,ID,source_row_id,numeric,integer,Source row identifier (sequential per file),,,
mets_schema_dual_tsg_a,mets_sample,Cruise,cruise_orig,character,varchar,Cruise label as provided in the file (e.g. CC1802); cruise_key itself is derived from the FOLDER code (see questions.csv mets_21),,kept as provenance not the key,
mets_schema_dual_tsg_a,mets_sample,DateTime,datetime_start_utc,datetime,timestamp,Observation timestamp,,"mets_02 RESOLVED (provisional, unconfirmed by provider): assumed local PST, fixed -8:00","ymd_hms(DateTime) + hours(8)"
mets_schema_dual_tsg_a,mets_sample,Date,,datetime,,Redundant with DateTime,,dropped -- derivable from datetime_start_utc,
mets_schema_dual_tsg_a,mets_sample,Time,,time,,Redundant with DateTime,,dropped -- derivable from datetime_start_utc,
mets_schema_dual_tsg_a,mets_sample,Lat,latitude,numeric,double,Latitude,decimal_degrees,,
mets_schema_dual_tsg_a,mets_sample,Lon,longitude,numeric,double,Longitude,decimal_degrees,,
mets_schema_dual_tsg_a,mets_sample,COG,course_over_ground_deg,numeric,double,Course over ground,degrees,,
mets_schema_dual_tsg_a,mets_sample,SOG,speed_over_ground_kt,numeric,double,Speed over ground,knots,,
mets_schema_dual_tsg_a,mets_sample,USWFlow,uws_flow,numeric,double,Underway seawater flow rate,,confirm units (Lpm assumed) -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,PARSurf,par_surf,numeric,double,Surface photosynthetically active radiation,,confirm units -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,LongWaveRad,long_wave_rad,numeric,double,Longwave radiation,W/m2,,
mets_schema_dual_tsg_a,mets_sample,ShortWaveRad,short_wave_rad,numeric,double,Shortwave radiation,W/m2,,
mets_schema_dual_tsg_a,mets_sample,WindSpeed,wind_speed_ms,numeric,double,Wind speed,m/s,confirm true vs relative wind -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,WindDir,wind_dir_deg,numeric,double,Wind direction,degrees,confirm true vs relative wind -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,AirTemp,air_temp_c,numeric,double,Air temperature,deg_C,,
mets_schema_dual_tsg_a,mets_sample,AtmPress,atm_pressure_mb,numeric,double,Atmospheric pressure,mb,,
mets_schema_dual_tsg_a,mets_sample,RelHum,rel_humidity_pct,numeric,double,Relative humidity,percent,,
mets_schema_dual_tsg_a,mets_sample,TSG_Temp,tsg1_temp_c,numeric,double,TSG unit 1 temperature (physical sensor unconfirmed -- see questions.csv mets_03),deg_C,,
mets_schema_dual_tsg_a,mets_sample,TSG_Cond,tsg1_conductivity,numeric,double,TSG unit 1 conductivity,S/m,,
mets_schema_dual_tsg_a,mets_sample,TSG_Sal,tsg1_salinity_psu,numeric,double,TSG unit 1 salinity,PSU,,
mets_schema_dual_tsg_a,mets_sample,TSG_Dens,tsg1_density,numeric,double,TSG unit 1 density,kg/m3,confirm sigma-t vs in-situ density -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,SoundVel,tsg1_sound_velocity,numeric,double,TSG unit 1 sound velocity,m/s,,
mets_schema_dual_tsg_a,mets_sample,TSG_Temp_2,tsg2_temp_c,numeric,double,TSG unit 2 temperature (physical sensor unconfirmed -- see questions.csv mets_03),deg_C,,
mets_schema_dual_tsg_a,mets_sample,TSG_Cond_2,tsg2_conductivity,numeric,double,TSG unit 2 conductivity,S/m,,
mets_schema_dual_tsg_a,mets_sample,TSG_Sal_2,tsg2_salinity_psu,numeric,double,TSG unit 2 salinity,PSU,,
mets_schema_dual_tsg_a,mets_sample,TSG_Dens_2,tsg2_density,numeric,double,TSG unit 2 density,kg/m3,confirm sigma-t vs in-situ density -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,SoundVel_2,tsg2_sound_velocity,numeric,double,TSG unit 2 sound velocity,m/s,,
mets_schema_dual_tsg_a,mets_sample,SSTemp,sst_c,numeric,double,Sea surface temperature (independent sensor),deg_C,mostly null in sample rows checked -- confirm sensor -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,SSSal,sss_psu,numeric,double,Sea surface salinity (independent sensor),PSU,mostly null in sample rows checked -- confirm sensor -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,Oxygen,oxygen,numeric,double,Dissolved oxygen,,confirm units (mL/L vs umol/kg) -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,ChlFluor,chl_fluor,numeric,double,Chlorophyll fluorescence (relative),,confirm units/calibration -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,Pred_TSGTemp,pred_temp_c,numeric,double,Model-predicted temperature,deg_C,confirm prediction method/source -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,Pred_TSGSal,pred_sal_psu,numeric,double,Model-predicted salinity,PSU,confirm prediction method/source -- see questions.csv,
mets_schema_dual_tsg_a,mets_sample,Pred_Chl,pred_chl,numeric,double,Model-predicted chlorophyll,,confirm prediction method/source -- see questions.csv,
mets_schema_dual_tsg_b,mets_sample,ID,source_row_id,numeric,integer,Source row identifier (sequential per file),,,
mets_schema_dual_tsg_b,mets_sample,Cruise,cruise_orig,character,varchar,Cruise label as provided in the file (e.g. CC1611); cruise_key itself is derived from the FOLDER code (see questions.csv mets_21),,kept as provenance not the key,
mets_schema_dual_tsg_b,mets_sample,DateTime,datetime_start_utc,datetime,timestamp,Observation timestamp,,"mets_02 RESOLVED (provisional, unconfirmed by provider): assumed local PST, fixed -8:00","ymd_hms(DateTime) + hours(8)"
mets_schema_dual_tsg_b,mets_sample,Date,,datetime,,Redundant with DateTime,,dropped -- derivable from datetime_start_utc,
mets_schema_dual_tsg_b,mets_sample,Time,,time,,Redundant with DateTime,,dropped -- derivable from datetime_start_utc,
