label,id,question,context,status,priority,proposed_answer,answer,asked_date,answered_date,who,related_table,related_field
Q02,mets_02,Is DateTime in the 'Final Underway Data' files UTC or local (Pacific) time?,datetime_start_utc is derived directly from the source DateTime column; a local-time assumption would bias any downstream cast/cruise matching. Note: this applies to the xlsx (single/dual-TSG) schemas specifically -- mets_schema_final_csv_utc and mets_schema_final_txt_pst have their timezone confirmed by column name (UTC and PST respectively).,answered,blocker,,"RESOLVED as a team decision, NOT a provider confirmation: assumed local Pacific Standard Time, fixed -8:00 (not DST-aware, same convention as the confirmed mets_schema_final_txt_pst schema). No documentation or cross-checkable timestamp was found to confirm this either way -- flagged as low-confidence. Previously the ingest silently treated this column as already-UTC (no offset applied at all) when it fell through to the blanket UTC cast; that was almost certainly wrong and has been corrected to apply the -8:00 assumption explicitly. Revisit if CalCOFI staff can confirm the actual source timezone.",,2026-07-26,Betty,mets_sample,datetime_start_utc
Q16,mets_16,"The 1207OS Raw Underway files have no lat/lon columns at all -- just date, time, temp, conductivity, salinity from the TSG. Is ship navigation/position for this cruise available from another source (e.g. the CTD-cast or bottle ingest's cruise track) that could be joined by timestamp, or is this data unusable for the grid_key/spatial join without it?","Every other in-scope schema carries its own lat/lon; this is the only one that doesn't, so add_point_geom()/assign_grid_key() can't run on mets_sample rows from this schema unless position is joined in from elsewhere.",answered,blocker,,Skip spatial join for 1207OS rather than sourcing position from elsewhere -- no alternate position source was pursued/confirmed. Rows still ingest with their TSG measurements (temp/conductivity/salinity); geom/grid_key are left NULL for this schema only. Non-blocking for the rest of METS.,,2026-07-26,Betty,mets_sample,latitude;longitude
Q21,mets_21,Three folder/filename cruise-code mismatches found in the full archive: (1) a file named 1510OC_UnderwayFinaldt.csv sits inside the folder labeled 1511OC; (2) a file named 1202NH_UnderwayFinaldt.csv sits inside a folder labeled 1110NH; (3) another file named 1202NH_UnderwayFinaldt.csv sits inside a folder labeled 1203SH. Which cruise does each of these three files actually belong to?,Folder names and embedded filename cruise codes disagree in these three cases; ingesting by folder name (current default) could silently mislabel real data with the wrong cruise_key.,wontfix,blocker,,"RETIRED — the premise was an artifact of the hand-staged Drive archive. Scraped from calcofi.org/data/oceanographic-data/underway/, each file's cruise comes from its own URL ({year}/{CRUISE}/{file} or {year}/{CRUISE}_Underway*.csv); no folder/filename disagreement exists at the source. The ingest now derives cruise_code from the download layout.",,2026-07-28,Betty,mets_sample,cruise_key
Q03,mets_03,"For dual-TSG cruises (e.g. CC1802SH, CC1611SR), which physical sensor is 'unit 1' vs 'unit 2' (SBE21 vs SBE45), and is that assignment consistent across all dual-TSG cruises?",tsg1_* and tsg2_* column groups are currently assigned by column order only; a swap would misattribute sensor readings across the whole dual-TSG era.,answered,high,,"Resolved as a labeling issue, not a data-modeling one: checked both source files (CC1802UW_1MinData.xlsx, CC1611UW_1MinData.xlsx) directly for sensor identity -- no serial numbers, comments, or metadata in either file distinguish which physical unit is 1 vs 2. tsg1_*/tsg2_* are kept as fully separate columns throughout ingest (never merged or averaged), so no data is at risk either way. flds_redefine.csv descriptions now say 'physical sensor unconfirmed' instead of asserting SBE21/SBE45, which was an unverified claim. Both source files were exported by the same person ('ralf', per file metadata, 2018-05-04) -- worth asking them directly for the true unit 1/2 assignment; a future correction is a one-line metadata edit, not a re-ingest.",,2026-07-27,Betty,mets_sample,tsg1_temp_c;tsg2_temp_c
Q15,mets_15,"For cruises with both a generic 'final_underway_data.xlsx' and a cruise-coded '*_1MinData.xlsx' file (e.g. CC1704SH), calcofi.org itself only lists a single 'Final Underway Data' download for that cruise -- what is the '*_1MinData' file's relationship to the official download? Is it a pre-QC intermediate, a different resolution, or something else entirely?","The site listing shows no separate 1-minute download option, so this file likely arrived through a different channel than the official site archive; its provenance and whether it should be ingested at all is unclear. 20 cruises in the full archive have a 1MinData file.",answered,high,,RESOLVED from the source page: CC{YYMM}UW_1MinData.xlsx IS the official 'Final Underway Data' download — it is the only underway data file the page links for those 22 cruises. Not a pre-QC intermediate or a side channel.,,2026-07-28,Betty,mets_sample,*
Q24,mets_24,1004MF_UnderwayFinaldt.csv publishes 11 column names for 12 data fields — Longitude_W is missing from the header. Should the published file be corrected at source?,"Read as-published, every field after Latitude_N shifts by one and SST_degC silently receives the longitude (-117.x). The ingest repairs it by inserting the name when the data is exactly one field wider and Longitude_W is absent, but the file on calcofi.org is still wrong for anyone else downloading it.",open,high,,,,,Betty,mets_sample,longitude
Q01,mets_01,"What is the column layout of the header-less SCIMS-family files (underway_data_scims.csv, and the mislabeled 0511NH10mindata.csv)?","9 columns observed across 2 real examples (0501NH, 0511NH orphan): two integer columns (date/time candidates), a third integer counter that matches neither example's seconds-since-midnight, two decimal columns in plausible lat/lon range, and four more decimal columns of consistent magnitude across both examples (temp/cond/fluor candidates by position) but unconfirmed identity.",answered,normal,,"Decision: proceed with ingest using unlabeled columns (col_6-9 stored as unknown_measurement_1-4 in mets_measurement) rather than blocking further. No documentation for this format was found; if CalCOFI staff can identify the sensors later, flds_redefine.csv can be updated and the ingest re-run without changing the raw data. UPDATE 2026-07-28: the retrievable 2004-2005 files are the 9-column {cruise}{SHIP}10mindata.csv set (family mets_scims_10min); cols 4-5 are lat/lon (populated from 0404NH on), 6-7 temperature/salinity, and 8-9 are NaN in every file inspected. The separately-linked *_SCIMS.txt files 403.",,2026-07-26,Betty,mets_sample,*
Q04,mets_04,Are TSG_Dens/TSG_Dens_2 in-situ density or sigma-t (density anomaly)?,Determines unit convention and whether an offset of 1000 kg/m3 needs to be added/removed before storage.,open,normal,,,,,,mets_sample,tsg1_density
Q05,mets_05,What are the units for USWFlow and PARSurf?,Both appear starting in the dual-TSG era files with no unit documentation in the source workbook. Partially resolved for mets_schema_final_csv_utc: its Flowmeter_LPM column confirms L/min for that schema specifically -- USWFlow in the xlsx schemas remains unconfirmed.,open,normal,,,,,,mets_sample,uws_flow;par_surf
Q06,mets_06,"Are ChlFluor values raw voltage, relative fluorescence units, or already calibrated to ug/L chl-a?",Determines whether a calibration step is needed before storing as a comparable measurement_type across cruises/eras. Partially resolved for mets_schema_final_csv_utc: its Fluor_UG/L column confirms ug/L (already calibrated) for that schema specifically -- ChlFluor in the xlsx schemas remains unconfirmed.,open,normal,,,,,,mets_sample,chl_fluor
Q07,mets_07,"What units and method produced the Pred_Temp/Pred_Sal/Pred_Chl (or Pred_TSGTemp/Pred_TSGSal) columns -- a model, a different sensor, or a QC-adjusted value?",These 'predicted' columns exist across all three confirmed xlsx schemas but their derivation is undocumented; affects whether they belong in mets_sample at all or as a separate QC/model table.,open,normal,,,,,,mets_sample,pred_temp_c;pred_sal_psu;pred_chl
Q08,mets_08,Are Oxygen values in mL/L or umol/kg (CC1802SH/CC1611SR)?,Unit choice scales every value downstream and must match measurement_type.csv registration.,open,normal,,,,,,mets_sample,oxygen
Q09,mets_09,On what scale is SW_pH reported (CC1611SR)?,Needed to register pH correctly in measurement_type.csv (total vs seawater scale; in-situ vs lab temperature).,open,normal,,,,,,mets_sample,sw_ph
Q10,mets_10,"Do BottomDepth/BottomDepth_MB use -99 as the only missing-value sentinel, or are there other sentinel codes used elsewhere in these files (e.g. AirTemp, TSG columns)?",Observed -99 in BottomDepth/BottomDepth_MB on CC1611SR; need to confirm this convention isn't silently present elsewhere before bulk NULL-coercion.,open,normal,,,,,,mets_sample,bottom_depth_m
Q11,mets_11,Can the actual SCIMS/SCS data files for 0810NH be re-sent?,"calcofi.org returns 403 Forbidden for this cruise's underway data section, and no data file for 0810NH was found anywhere in the full 73-cruise archive dump either -- 0810NH remains out of scope for this ingest.",wontfix,normal,,"The underway page DOES link 0810NH files (0810NH/0810_SCIMS.txt, 0810_SCS.txt), but every request returns 403 Forbidden, as for the whole *_SCIMS.txt / *_SCS.txt era. Linked but not served; the ingest reports them as unavailable rather than skipping silently. Reopen if CalCOFI fixes the file permissions.",,2026-07-28,Betty,mets_sample,*
