tbl_old,tbl_new,tbl_description
mets_schema_scims,mets_sample,"'Underway Data - SCIMS' as published on calcofi.org, ~2004-2005 era. Real files confirmed for 8 cruises (0401JD, 0404NH, 0407JD, 0411RR, 0501NH, 0504NH, 0507NH, 0511NH) plus one mislabeled orphan (0511NH10mindata.csv). Header-less CSV, 9 columns, exact column identity still unconfirmed -- see questions.csv mets_01."
mets_schema_raw_2012,mets_sample,"'Raw Underway Data' for 1207OS (2012), the sole download for that cruise. Confirmed via bundled explanation doc: single Seabird TSG 45, header-less CSV (date, time, temp_c, conductivity, salinity_psu). Two files (0702-03, 0709-30) are a split from a 7-day CTD-winch repair gap, not two schemas. No lat/lon in the file -- mets_16 RESOLVED: ingested with NULL geom/grid_key (spatial join skipped), TSG measurements still load. Timestamp UTC-vs-local unconfirmed -- mets_17, open/low priority."
mets_schema_final_txt_pst,mets_sample,"0903JD-style: tab-separated .txt with a real header (DATE_PST, TIME_PST, LA, LO, ST, SA, CAL_T, CAL_S) -- confirmed local Pacific time by column name. Found inside a nested zip for 0903JD (2009); prevalence across other cruises unconfirmed -- see questions.csv mets_18."
mets_schema_final_csv_utc,mets_sample,"'Final Underway Data', SST/Salinity/Fluorometer variant -- real header, UTC confirmed by column name (DATE_TIME_UTC, DATE_UTC, TIME_UTC, Latitude_N, Longitude_W, SST_degC, Salinity_PSU, Fluor_UG/L, Flowmeter_LPM, Corr_SST_degC, Corr_SAL_PSU, Est_CHLA_UG/L). Ships under two filename conventions -- 'final_underway_data.csv' and '{cruise}_UnderwayFinaldt.csv' -- confirmed identical schema. 37 cruises, largest single group in the archive."
mets_schema_single_tsg,mets_sample,"'Final Underway Data' as published from 1203SH (2012) onward, single-TSG variant (e.g. CC1704SH: SBE21 only). Ships as .xlsx only, also seen under a '*_1MinData.xlsx' filename (mets_15 RESOLVED: same product, not a separate source). DateTime timezone: mets_02 RESOLVED as a provisional team assumption (local PST, fixed -8:00), not provider-confirmed."
mets_schema_dual_tsg_a,mets_sample,"'Final Underway Data' dual-TSG variant A (e.g. CC1802SH: SBE21+SBE45, no bottom depth/pH/oxygen-sat). Ships as .xlsx only, also seen under a '*_1MinData.xlsx' filename (mets_15 RESOLVED: same product). DateTime timezone: mets_02 RESOLVED as a provisional team assumption (local PST, fixed -8:00), not provider-confirmed. Unit 1 vs unit 2 sensor identity (SBE21 vs SBE45) -- mets_03 RESOLVED as a labeling fix: both kept as separate columns, description now says 'physical sensor unconfirmed' rather than asserting an unverified mapping."
mets_schema_dual_tsg_b,mets_sample,"'Final Underway Data' dual-TSG variant B (e.g. CC1611SR: adds BottomDepth, SW_pH, OxygenSat, OxygenTemp). Ships as .xlsx only, also seen under a '*_1MinData.xlsx' filename (mets_15 RESOLVED: same product). DateTime timezone: mets_02 RESOLVED as a provisional team assumption (local PST, fixed -8:00), not provider-confirmed. Unit 1 vs unit 2 sensor identity -- mets_03 RESOLVED as a labeling fix: both kept as separate columns, description now says 'physical sensor unconfirmed' rather than asserting an unverified mapping."
# OUT OF SCOPE for this ingest:
# mets_schema_scs -- 'Underway Data - SCS', no example file found anywhere in
#   the full archive dump; still inaccessible (403 on calcofi.org); see mets_12
