table,column,name_long,units,description_md
region,region_key,Region,,"Pooled-region code: NE, SE, Alley, or Offshore (primary key)."
region,description,Description,,"Region description (Northern Inshore, Southern Inshore, California Current, Central Pacific)."
region,latitude,Latitude,decimal degrees,"Provisional region centroid latitude (mean of member CalCOFI stations; Q01)."
region,longitude,Longitude,decimal degrees,"Provisional region centroid longitude (mean of member CalCOFI stations; Q01)."
region,n_stations,Number of Stations,,"Count of CalCOFI grid stations defining the region."
region,station_codes,Station Codes,,"Member CalCOFI line.station codes (Hayward & Venrick 1998)."
phyto_sample,phyto_sample_id,Sample ID,,"Sequential primary key (one row per cruise x region composite)."
phyto_sample,cruise_yymm,Source Cruise,,"Source cruise label YYMM (e.g. 9608 = Aug 1996)."
phyto_sample,cruise_key,Cruise Key,,"CalCOFI cruise natural key (YYYY-MM-NODC) matched by year-month; NULL where the month has multiple cruises (Q06)."
phyto_sample,year,Year,,"Year of the cruise."
phyto_sample,month,Month,,"Month of the cruise (1-12)."
phyto_sample,season,Season,,"Quarterly CalCOFI season (winter/spring/summer/fall)."
phyto_sample,region_key,Region,,"FK to region.region_key."
phyto_sample,latitude,Latitude,decimal degrees,"Region-centroid latitude (provisional; Q01)."
phyto_sample,longitude,Longitude,decimal degrees,"Region-centroid longitude (provisional; Q01)."
phyto_measurement,phyto_measurement_id,Measurement ID,,"Sequential primary key."
phyto_measurement,phyto_sample_id,Sample ID,,"FK to phyto_sample.phyto_sample_id."
phyto_measurement,species_code,Species Code,,"FK to phyto_taxon.species_code (Venrick code)."
phyto_measurement,measurement_type,Measurement Type,,"FK to measurement_type; phytoplankton_abundance."
phyto_measurement,measurement_value,Abundance,cells/L,"Phytoplankton abundance, cells per liter (provisional units; Q02)."
phyto_taxon,species_code,Species Code,,"Venrick source species code (primary key)."
phyto_taxon,taxa,Taxa Group,,"Verbatim coarse group (e.g. 'diatom, centric')."
phyto_taxon,species,Species (verbatim),,"Verbatim taxon name as given by the source."
phyto_taxon,aphia_id,WoRMS AphiaID,,"Best-effort WoRMS AphiaID (accepted; partial coverage, Q05)."
phyto_taxon,scientific_name_accepted,Accepted Name,,"WoRMS accepted scientific name where matched."
phyto_taxon,rank,Taxonomic Rank,,"WoRMS taxonomic rank where matched."
phyto_taxon,kingdom,Kingdom,,"WoRMS kingdom where matched."
phyto_taxon,phylum,Phylum,,"WoRMS phylum where matched."
