species_code,taxa,species,name_query,aphia_id,scientific_name_accepted,rank,status,kingdom,phylum
316,"diatom, centric",Actinocyclus cf curvatulus,Actinocyclus curvatulus,977636,Coscinodiscus curvatulus var. curvatulus,Species,unassessed,Chromista,Heterokontophyta
399,"diatom, centric",Actinocyclus octanarius,Actinocyclus octanarius,,,,,,
600,"diatom, centric","Actinocyclus, uncertain species.",Actinocyclus,196347,Actinocyclus,Genus,accepted,Animalia,Mollusca
30,"diatom, centric",Actinoptychus adriaticus + A. vulgaris,Actinoptychus adriaticus,619853,Actinoptychus adriaticus,Species,accepted,Chromista,Heterokontophyta
499,"diatom, centric",Actinoptychus senarius,Actinoptychus senarius,162810,Actinocyclus senarius,Species,unassessed,Chromista,Heterokontophyta
495,"diatom, centric","Actinoptychus, uncertain species.",Actinoptychus,148947,Actinoptychus,Genus,accepted,Chromista,Heterokontophyta
3,"diatom, centric",Asterolampra marylandica,Asterolampra marylandica,248070,Asterolampra marylandica,Species,accepted,Chromista,Heterokontophyta
5,"diatom, centric",Asteromphalus heptactis,Asteromphalus heptactis,162258,Asteromphalus heptactis,Species,accepted,Chromista,Heterokontophyta
373,"diatom, centric",Attheya septentrionalis,Attheya septentrionalis,962003,Chaetoceros septentrionalis,Species,unassessed,Chromista,Heterokontophyta
11,"diatom, centric",Azpeitia africana,Azpeitia africana,977643,Coscinodiscus africanus var. africanus,Species,unassessed,Chromista,Heterokontophyta
12,"diatom, centric",Azpeitia neocrenulatus + A. tabularis,Azpeitia neocrenulatus,,,,,,
26,"diatom, centric",Bacteriastrum biconicum,Bacteriastrum biconicum,418485,Bacteriastrum biconicum,Species,unassessed,Chromista,Heterokontophyta
27,"diatom, centric",Bacteriastrum comosum,Bacteriastrum comosum,248066,Bacteriastrum comosum,Species,accepted,Chromista,Heterokontophyta
28,"diatom, centric",Bacteriastrum delicatulum,Bacteriastrum delicatulum,164108,Bacteriastrum delicatulum,Species,accepted,Chromista,Heterokontophyta
237,"diatom, centric",Bacteriastrum elegans,Bacteriastrum elegans,418486,Bacteriastrum elegans,Species,accepted,Chromista,Heterokontophyta
29,"diatom, centric",Bacteriastrum elongatum,Bacteriastrum elongatum,162916,Bacteriastrum elongatum,Species,accepted,Chromista,Heterokontophyta
287,"diatom, centric",Bacteriastrum hyalinum,Bacteriastrum hyalinum,149119,Bacteriastrum hyalinum,Species,accepted,Chromista,Heterokontophyta
358,"diatom, centric",Bacteriastrum mediterraneum,Bacteriastrum mediterraneum,418487,Bacteriastrum mediterraneum,Species,unassessed,Chromista,Heterokontophyta
604,"diatom, centric","Bacteriastrum, uncertain species.",Bacteriastrum,149118,Bacteriastrum,Genus,accepted,Chromista,Heterokontophyta
49,"diatom, centric",Cerataulina  pelagica,Cerataulina pelagica,149619,Cerataulina pelagica,Species,accepted,Chromista,Heterokontophyta
31,"diatom, centric",Chaetoceros aequatorialis,Chaetoceros aequatorialis,254448,Chaetoceros aequatorialis,Species,unassessed,Chromista,Heterokontophyta
37,"diatom, centric",Chaetoceros affinis,Chaetoceros affinis,149241,Chaetoceros affinis,Species,accepted,Chromista,Heterokontophyta
362,"diatom, centric",Chaetoceros anastomosans,Chaetoceros anastomosans,149292,Chaetoceros anastomosans,Species,accepted,Chromista,Heterokontophyta
32,"diatom, centric",Chaetoceros atlanticus,Chaetoceros atlanticus,149288,Chaetoceros atlanticus,Species,accepted,Chromista,Heterokontophyta
41,"diatom, centric",Chaetoceros bacteriastroides,Chaetoceros bacteriastroides,465386,Chaetoceros bacteriastroides,Species,unassessed,Chromista,Heterokontophyta
43,"diatom, centric",Chaetoceros bacteriastroides var a,Chaetoceros bacteriastroides,465386,Chaetoceros bacteriastroides,Species,unassessed,Chromista,Heterokontophyta
359,"diatom, centric",Chaetoceros borealis,Chaetoceros borealis,149124,Chaetoceros borealis,Species,accepted,Chromista,Heterokontophyta
364,"diatom, centric",Chaetoceros compressus,Chaetoceros compressus,149129,Chaetoceros compressus,Species,accepted,Chromista,Heterokontophyta
531,"diatom, centric",Chaetoceros compressus spore,Chaetoceros compressus,149129,Chaetoceros compressus,Species,accepted,Chromista,Heterokontophyta
360,"diatom, centric",Chaetoceros concavicornis + C. convolutus,Chaetoceros concavicornis,156607,Chaetoceros concavicornis,Species,accepted,Chromista,Heterokontophyta
365,"diatom, centric",Chaetoceros constrictus,Chaetoceros constrictus,156609,Chaetoceros constrictus,Species,accepted,Chromista,Heterokontophyta
366,"diatom, centric",Chaetoceros costatus,Chaetoceros costatus,149289,Chaetoceros costatus,Species,unassessed,Chromista,Heterokontophyta
44,"diatom, centric",Chaetoceros curvisetus,Chaetoceros curvisetus,149221,Chaetoceros curvisetus,Species,accepted,Chromista,Heterokontophyta
33,"diatom, centric",Chaetoceros dadayi,Chaetoceros dadayi,465390,Chaetoceros dadayi,Species,accepted,Chromista,Heterokontophyta
361,"diatom, centric",Chaetoceros danicus,Chaetoceros danicus,149120,Chaetoceros danicus,Species,unassessed,Chromista,Heterokontophyta
367,"diatom, centric",Chaetoceros debilis,Chaetoceros debilis,961758,Chaetoceros debilis,Species,unassessed,Chromista,Heterokontophyta
521,"diatom, centric",Chaetoceros debilis spore,Chaetoceros debilis,961758,Chaetoceros debilis,Species,unassessed,Chromista,Heterokontophyta
368,"diatom, centric",Chaetoceros decipiens,Chaetoceros decipiens,149126,Chaetoceros decipiens,Species,accepted,Chromista,Heterokontophyta
376,"diatom, centric",Chaetoceros diadema,Chaetoceros diadema,163042,Syndendrium diadema,Species,unassessed,Chromista,Heterokontophyta
369,"diatom, centric",Chaetoceros didymus,Chaetoceros didymus,149122,Chaetoceros didymus,Species,accepted,Chromista,Heterokontophyta
42,"diatom, centric",Chaetoceros eibenii,Chaetoceros eibenii,160521,Chaetoceros eibenii,Species,unassessed,Chromista,Heterokontophyta
370,"diatom, centric",Chaetoceros gracilis,Chaetoceros gracilis,178207,Chaetoceros neogracilis,Species,unaccepted,Chromista,Heterokontophyta
372,"diatom, centric",Chaetoceros laciniosus,Chaetoceros laciniosus,149228,Chaetoceros laciniosus,Species,accepted,Chromista,Heterokontophyta
45,"diatom, centric",Chaetoceros lorenzianus,Chaetoceros lorenzianus,156617,Chaetoceros lorenzianus,Species,accepted,Chromista,Heterokontophyta
46,"diatom, centric",Chaetoceros messanensis,Chaetoceros messanensis,418509,Chaetoceros messanense,Species,unaccepted,Chromista,Heterokontophyta
