table,column,name_long,units,description_md
zoodb_sample,sample_id,Sample ID,,"Sequential primary key (one row per ZooDB sample)."
zoodb_sample,cruise_key,Cruise Key,,"CalCOFI cruise natural key (YYYY-MM-NODC) derived from cruise_orig + ship + date; NULL where unresolved (see questions)."
zoodb_sample,ship_key,Ship Key,,"NODC ship code resolved from ship_name (unpooled only)."
zoodb_sample,site_key,Site Key,,"CalCOFI station key 'LLL.L SSS.S' from line + station (unpooled only)."
zoodb_sample,grid_key,Grid Key,,"CalCOFI grid-cell key assigned spatially (unpooled only)."
zoodb_sample,geom,Geometry,,"Point geometry (EPSG:4326) from longitude/latitude (unpooled only)."
zoodb_taxon,taxon_id,Taxon ID,,"Sequential primary key for the higher-taxon lookup."
zoodb_taxon,taxon_zoodb,ZooDB Taxon,,"Verbatim ZooDB higher-taxon label (e.g. 'COPEPODA CALANOIDA CALANIDAE')."
zoodb_taxon,aphia_id,WoRMS AphiaID,,"WoRMS AphiaID for the resolved taxon concept."
zoodb_taxon,scientific_name,Scientific Name,,"WoRMS accepted scientific name."
zoodb_taxon,rank,Taxon Rank,,"WoRMS taxonomic rank (Phylum/Class/Order/Suborder/Superfamily/Family)."
zoodb_taxon,taxon_status,WoRMS Status,,"WoRMS status of the matched name (accepted / unaccepted)."
zoodb_taxon,kingdom,Kingdom,,"WoRMS kingdom."
zoodb_taxon,phylum,Phylum,,"WoRMS phylum."
zoodb_taxon,class,Class,,"WoRMS class."
zoodb_taxon,order_taxon,Order,,"WoRMS order (column named order_taxon; 'order' is a SQL reserved word)."
zoodb_taxon,family,Family,,"WoRMS family."
zoodb_measurement,measurement_id,Measurement ID,,"Sequential primary key (one row per sample x taxon x measurement_type)."
zoodb_measurement,sample_id,Sample ID,,"FK to zoodb_sample.sample_id."
zoodb_measurement,taxon_id,Taxon ID,,"FK to zoodb_taxon.taxon_id."
zoodb_measurement,measurement_type,Measurement Type,,"FK to measurement_type.measurement_type (zooplankton_abundance / zooplankton_abundance_areal / zooplankton_biomass_carbon)."
zoodb_measurement,measurement_value,Measurement Value,,"Abundance (count/1000m3 or count/m2) or carbon biomass (mg C/m2). 0 = analyzed-but-absent."
