taxon_zoodb,taxon_slug,proposed_name,aphia_id,scientific_name_accepted,rank,status,match_name,kingdom,phylum,class,order,family
AMPHIPODA GAMMARIDEA,amphipoda_gammaridea,Gammaridea,1207,Gammaridea,Suborder,unaccepted,Gammaridea,Animalia,Arthropoda,Malacostraca,Amphipoda,NA
AMPHIPODA HYPERIIDEA,amphipoda_hyperiidea,Hyperiidea,1205,Hyperiidea,Suborder,accepted,Hyperiidea,Animalia,Arthropoda,Malacostraca,Amphipoda,NA
APPENDICULARIA,appendicularia,Appendicularia,146421,Appendicularia,Class,accepted,Appendicularia,Animalia,Chordata,Appendicularia,NA,NA
CHAETOGNATHA,chaetognatha,Chaetognatha,2081,Chaetognatha,Phylum,accepted,Chaetognatha,Animalia,Chaetognatha,NA,NA,NA
COPEPODA,copepoda,Copepoda,1080,Copepoda,Class,accepted,Copepoda,Animalia,Arthropoda,Copepoda,NA,NA
COPEPODA CALANOIDA AETIDEIDAE,copepoda_calanoida_aetideidae,Aetideidae,104075,Aetideidae,Family,accepted,Aetideidae,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae
COPEPODA CALANOIDA CALANIDAE,copepoda_calanoida_calanidae,Calanidae,104079,Calanidae,Family,accepted,Calanidae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae
COPEPODA CALANOIDA CANDACIIDAE,copepoda_calanoida_candaciidae,Candaciidae,104080,Candaciidae,Family,accepted,Candaciidae,Animalia,Arthropoda,Copepoda,Calanoida,Candaciidae
COPEPODA CALANOIDA EUCALANIDAE,copepoda_calanoida_eucalanidae,Eucalanidae,104085,Eucalanidae,Family,accepted,Eucalanidae,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae
COPEPODA CALANOIDA EUCHAETIDAE,copepoda_calanoida_euchaetidae,Euchaetidae,104086,Euchaetidae,Family,accepted,Euchaetidae,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae
COPEPODA CALANOIDA HETERORHABDIDAE,copepoda_calanoida_heterorhabdidae,Heterorhabdidae,104087,Heterorhabdidae,Family,accepted,Heterorhabdidae,Animalia,Arthropoda,Copepoda,Calanoida,Heterorhabdidae
COPEPODA CALANOIDA LUCICUTIIDAE,copepoda_calanoida_lucicutiidae,Lucicutiidae,104088,Lucicutiidae,Family,accepted,Lucicutiidae,Animalia,Arthropoda,Copepoda,Calanoida,Lucicutiidae
COPEPODA CALANOIDA METRIDINIDAE,copepoda_calanoida_metridinidae,Metridinidae,104092,Metridinidae,Family,accepted,Metridinidae,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae
COPEPODA CALANOIDA PONTELLIDAE,copepoda_calanoida_pontellidae,Pontellidae,104097,Pontellidae,Family,accepted,Pontellidae,Animalia,Arthropoda,Copepoda,Calanoida,Pontellidae
COPEPODA CALANOIDA SCOLECITRICHIDAE,copepoda_calanoida_scolecitrichidae,Scolecitrichidae,104103,Scolecitrichidae,Family,accepted,Scolecitrichidae,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae
COPEPODA OTHER CALANOIDS,copepoda_other_calanoids,Calanoida,1100,Calanoida,Order,accepted,Calanoida,Animalia,Arthropoda,Copepoda,Calanoida,NA
CTENOPHORA,ctenophora,Ctenophora,1248,Ctenophora,Phylum,accepted,Ctenophora,Animalia,Ctenophora,NA,NA,NA
DECAPODA ANOMURA GALATHEIDAE,decapoda_anomura_galatheidae,Galatheidae,106733,Galatheidae,Family,accepted,Galatheidae,Animalia,Arthropoda,Malacostraca,Decapoda,Galatheidae
DECAPODA CARIDEA PASIPHAEIDAE,decapoda_caridea_pasiphaeidae,Pasiphaeidae,106790,Pasiphaeidae,Family,accepted,Pasiphaeidae,Animalia,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae
DECAPODA SERGESTOIDEA,decapoda_sergestoidea,Sergestoidea,106684,Sergestoidea,Superfamily,accepted,Sergestoidea,Animalia,Arthropoda,Malacostraca,Decapoda,NA
DOLIOLIDA,doliolida,Doliolida,137212,Doliolida,Order,accepted,Doliolida,Animalia,Chordata,Thaliacea,Doliolida,NA
FORAMINIFERA,foraminifera,Foraminifera,1410,Foraminifera,Phylum,accepted,Foraminifera,Chromista,Foraminifera,NA,NA,NA
HYDROMEDUSA,hydromedusa,Hydrozoa,1337,Hydrozoa,Class,accepted,Hydrozoa,Animalia,Cnidaria,Hydrozoa,NA,NA
MOLLUSCA EUTHECOSOMATA,mollusca_euthecosomata,Euthecosomata,23020,Euthecosomata,Suborder,accepted,Euthecosomata,Animalia,Mollusca,Gastropoda,Pteropoda,NA
MOLLUSCA GYMNOSOMATA,mollusca_gymnosomata,Gymnosomata,164,Gymnosomata,Suborder,accepted,Gymnosomata,Animalia,Mollusca,Gastropoda,Pteropoda,NA
MOLLUSCA HETEROPODA ATLANTIDAE,mollusca_heteropoda_atlantidae,Atlantidae,22990,Atlantidae,Family,accepted,Atlantidae,Animalia,Mollusca,Gastropoda,Littorinimorpha,Atlantidae
MOLLUSCA PSEUDOTHECOSOMATA,mollusca_pseudothecosomata,Pseudothecosomata,23021,Pseudothecosomata,Suborder,accepted,Pseudothecosomata,Animalia,Mollusca,Gastropoda,Pteropoda,NA
OSTRACODA,ostracoda,Ostracoda,1078,Ostracoda,Class,accepted,Ostracoda,Animalia,Arthropoda,Ostracoda,NA,NA
POLYCHAETA TOMOPTERIDAE,polychaeta_tomopteridae,Tomopteridae,958,Tomopteridae,Family,accepted,Tomopteridae,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae
PYROSOMA,pyrosoma,Pyrosomatida,137213,Pyrosomatida,Order,accepted,Pyrosomatida,Animalia,Chordata,Thaliacea,Pyrosomatida,NA
RADIOLARIA,radiolaria,Radiolaria,582421,Radiozoa,Subphylum,unaccepted,Radiolaria,Chromista,Radiozoa,NA,NA,NA
SALPIDA,salpida,Salpida,137214,Salpida,Order,accepted,Salpida,Animalia,Chordata,Thaliacea,Salpida,NA
SIPHONOPHORA,siphonophora,Siphonophorae,1371,Siphonophorae,Order,accepted,Siphonophorae,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA
