table,column,name_long,units,description_md
zooscan_sample,sample_id,Sample ID,,"Sequential primary key (one row per ZooScan station tow)."
zooscan_sample,cruise_key,Cruise Key,,"CalCOFI cruise natural key (YYYY-MM-NODC), parsed as year-month (from the cruise code) + the NODC code of the resolved ship; NULL where unmatched to the cruise registry."
zooscan_sample,ship_key,Ship Key,,"NODC ship key parsed from the 2-letter suffix of the cruise code (e.g. NH=New Horizon, SR=Sally Ride)."
zooscan_sample,ship_name,Ship Name,,"Vessel name from the ship registry."
zooscan_sample,site_key,Site Key,,"CalCOFI station key 'LLL.L SSS.S' from line + station."
zooscan_sample,datetime_local_pst,Local Datetime (PST),,"Station date + local PST time of the tow."
zooscan_sample,grid_key,Grid Key,,"CalCOFI grid-cell key assigned spatially."
zooscan_sample,geom,Geometry,,"Point geometry (EPSG:4326) from longitude/latitude."
zooscan_taxon,taxon_id,Taxon ID,,"Sequential primary key for the bioclass lookup."
zooscan_taxon,taxon_zooscan,ZooScan Class,,"Verbatim ZooScan bioclass name (e.g. 'copepoda_eucalanids')."
zooscan_taxon,aphia_id,WoRMS AphiaID,,"WoRMS AphiaID for the resolved taxon concept; NULL for non-taxonomic classes."
zooscan_taxon,scientific_name,Scientific Name,,"WoRMS accepted scientific name."
zooscan_taxon,rank,Taxon Rank,,"WoRMS taxonomic rank."
zooscan_taxon,taxon_status,WoRMS Status,,"WoRMS status (accepted / unaccepted / non-taxonomic / not found)."
zooscan_taxon,taxon_note,Note,,"Notes on combined or non-taxonomic operational ZooScan classes."
zooscan_taxon,kingdom,Kingdom,,"WoRMS kingdom."
zooscan_taxon,phylum,Phylum,,"WoRMS phylum."
zooscan_taxon,class,Class,,"WoRMS class."
zooscan_taxon,order_taxon,Order,,"WoRMS order (column named order_taxon; 'order' is a SQL reserved word)."
zooscan_taxon,family,Family,,"WoRMS family."
zooscan_measurement,measurement_id,Measurement ID,,"Sequential primary key (one row per sample x taxon x measurement_type)."
zooscan_measurement,sample_id,Sample ID,,"FK to zooscan_sample.sample_id."
zooscan_measurement,taxon_id,Taxon ID,,"FK to zooscan_taxon.taxon_id."
zooscan_measurement,measurement_type,Measurement Type,,"FK to measurement_type.measurement_type."
zooscan_measurement,measurement_value,Measurement Value,,"Abundance (No./m2), C biomass (mgC/m2), Feret diameter (mm), or individual C content (ugC). 0 = imaged-but-absent."
