taxon_zooscan,taxon_slug,proposed_name,aphia_id,scientific_name_accepted,rank,status,match_name,kingdom,phylum,class,order,family,taxon_note
appendicularia,appendicularia,Appendicularia,146421,Appendicularia,Class,accepted,Appendicularia,Animalia,Chordata,Appendicularia,NA,NA,
bryozoan_larvae,bryozoan_larvae,Bryozoa,146142,Bryozoa,Phylum,accepted,Bryozoa,Animalia,Bryozoa,NA,NA,NA,bryozoan (cyphonautes) larvae
chaetognatha,chaetognatha,Chaetognatha,2081,Chaetognatha,Phylum,accepted,Chaetognatha,Animalia,Chaetognatha,NA,NA,NA,
cnidaria_ctenophores,cnidaria_ctenophores,Cnidaria,1267,Cnidaria,Phylum,accepted,Cnidaria,Animalia,Cnidaria,NA,NA,NA,combined ZooScan class: Cnidaria + Ctenophora
copepoda_calanoida_minus_eucalanids,copepoda_calanoida_minus_eucalanids,Calanoida,1100,Calanoida,Order,accepted,Calanoida,Animalia,Arthropoda,Copepoda,Calanoida,NA,calanoid copepods excluding eucalanids
copepoda_eucalanids,copepoda_eucalanids,Eucalanidae,104085,Eucalanidae,Family,accepted,Eucalanidae,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,
copepoda_harpacticoida,copepoda_harpacticoida,Harpacticoida,1102,Harpacticoida,Order,accepted,Harpacticoida,Animalia,Arthropoda,Copepoda,Harpacticoida,NA,
copepoda_oithona_like,copepoda_oithona_like,Oithonidae,106422,Oithonidae,Family,accepted,Oithonidae,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona-like cyclopoid copepods
copepoda_others,copepoda_others,Copepoda,1080,Copepoda,Class,accepted,Copepoda,Animalia,Arthropoda,Copepoda,NA,NA,copepods not in the other copepod classes
copepoda_poecilostomatoids,copepoda_poecilostomatoids,Poecilostomatoida,1381349,Ergasilida,Suborder,unaccepted,Poecilostomatoida,Animalia,Arthropoda,Copepoda,Cyclopoida,NA,poecilostomatoid copepods (now within Cyclopoida)
crustacea_others,crustacea_others,Crustacea,1066,Crustacea,Subphylum,accepted,Crustacea,Animalia,Arthropoda,NA,NA,NA,crustaceans not in the other classes
doliolids,doliolids,Doliolida,137212,Doliolida,Order,accepted,Doliolida,Animalia,Chordata,Thaliacea,Doliolida,NA,
eggs,eggs,NA,NA,NA,NA,non-taxonomic,NA,NA,NA,NA,NA,NA,non-taxonomic ZooScan class: eggs
euphausiids,euphausiids,Euphausiacea,1128,Euphausiacea,Order,accepted,Euphausiacea,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,
multiples,multiples,NA,NA,NA,NA,non-taxonomic,NA,NA,NA,NA,NA,NA,ZooScan artifact: multiple organisms in one vignette
nauplii,nauplii,NA,NA,NA,NA,non-taxonomic,NA,NA,NA,NA,NA,NA,crustacean naupliar stage (non-taxonomic)
ostracods,ostracods,Ostracoda,1078,Ostracoda,Class,accepted,Ostracoda,Animalia,Arthropoda,Ostracoda,NA,NA,
others,others,NA,NA,NA,NA,non-taxonomic,NA,NA,NA,NA,NA,NA,non-taxonomic catch-all class
polychaete,polychaete,Polychaeta,883,Polychaeta,Class,accepted,Polychaeta,Animalia,Annelida,Polychaeta,NA,NA,
pteropoda_heteropoda,pteropoda_heteropoda,Gastropoda,101,Gastropoda,Class,accepted,Gastropoda,Animalia,Mollusca,Gastropoda,NA,NA,combined ZooScan class: pelagic Pteropoda + Heteropoda
pyrosomes,pyrosomes,Pyrosomatida,137213,Pyrosomatida,Order,accepted,Pyrosomatida,Animalia,Chordata,Thaliacea,Pyrosomatida,NA,
rhizaria,rhizaria,Rhizaria,582420,Rhizaria,Infrakingdom,accepted,Rhizaria,Chromista,NA,NA,NA,NA,
salps,salps,Salpida,137214,Salpida,Order,accepted,Salpida,Animalia,Chordata,Thaliacea,Salpida,NA,
