table,column,name_long,units,description_md
sample,,Sample,,"One row per physical sampling event at its native grain (site, tow, net, cast, bottle, underway, transect, region pool). An adjacency list: `parent_sample_key` points at the containing event and `root_sample_key` at the top of the chain, so counting distinct events at any level is a single `GROUP BY`."
sample,sample_key,Sample Key,,"Globally unique event key, namespaced `dataset_key:sample_type:id` so the same integer id in two datasets — or at two event levels in one dataset — never collides."
sample,sample_type,Sample Type,,"Event grain: `site`, `tow`, `net`, `cast`, `bottle`, `underway`, `transect` or `region_pool`."
sample,parent_sample_key,Parent Sample Key,,The containing event (net → tow → site; bottle → cast). NULL at the top of the chain. Flat adjacency list: attributes are not inherited.
sample,root_sample_key,Root Sample Key,,Top of this event's containment chain; equals `sample_key` for single-level datasets. Use `count(DISTINCT root_sample_key)` to count stations/casts irrespective of grain.
sample,dataset_key,Dataset Key,,Provenance stamp: `provider_dataset`.
sample,grid_key,Grid Key,,CalCOFI station grid cell. NULL where the dataset has no station assignment (region-pooled phytoplankton).
sample,site_key,Site Key,,"CalCOFI station natural key as the source records it (line/station, e.g. `090.0 060.0`). Present on 13 of the 18 source event tables, so it is carried on the event dimension rather than lost to consolidation; `grid_key` is the derived grid cell, this is the source's own station id."
sample,cruise_key,Cruise Key,,CalCOFI cruise natural key `YYYY-MM-NODC`.
sample,order_occ,Order of Occupation,,"Order in which the station was occupied on the cruise. Source spelling varies (`order_occ`, `ord_occ`) and CTD stores it as text; normalised to an integer here."
sample,latitude,Latitude,decimal degrees,Event latitude (WGS84).
sample,longitude,Longitude,decimal degrees,Event longitude (WGS84).
sample,datetime,Datetime,,Event start time (UTC).
sample,depth_min_m,Depth Min,m,Shallowest depth sampled by this event.
sample,depth_max_m,Depth Max,m,Deepest depth sampled by this event.
sample,tow_type,Tow Type,,"Net gear code where the dataset records one (C1/CB/CV/PV oblique or vertical, MT manta); NULL for gears and datasets without one. Needed to compute gear-appropriate CPUE."
sample,geom,Geometry,,Point geometry minted from `longitude`/`latitude` (OGC:CRS84).
