table,column,name_long,units,description_md
dungeness_sample,dungeness_sample_id,Sample ID,,"Sequential primary key. The source has no sample identifier, and `(cruise_orig, line, station, order_occ)` is not unique — three station occupations were examined twice as replicate subsamples."
dungeness_sample,cruise_key,Cruise Key,,"CalCOFI cruise natural key (`YYYY-MM-NODC`), derived by resolving the source label's two-letter ship abbreviation through `ship.ship_key`."
dungeness_sample,ship_key,Ship Key,,"Two-letter CalCOFI ship abbreviation; FK to `ship`."
dungeness_sample,site_key,Site Key,,"CalCOFI station key `'LLL.L SSS.S'`, formatted from `line` + `station`."
dungeness_sample,datetime_start_utc,Datetime UTC,,"Collection date + time. Time zone is unconfirmed in the source and is carried through as given (see questions.csv)."
dungeness_sample,latitude,Latitude,decimal_degrees,"Latitude of the matched CalCOFI station occupation. The source records no coordinates; see `position_source`."
dungeness_sample,longitude,Longitude,decimal_degrees,"Longitude of the matched CalCOFI station occupation. The source records no coordinates; see `position_source`."
dungeness_sample,position_source,Position Source,,"How the coordinates were obtained: `swfsc_ichthyo:site` where the sample matched a CalCOFI station occupation on cruise + station + order of occupation, otherwise `unmatched` (position NULL)."
dungeness_sample,site_sample_key,Site Sample Key,,"The matched `sample.sample_key` (site grain) in the CalCOFI core model — the cross-dataset link back to the physical station occupation, its tows and its nets."
dungeness_sample,geom,Geometry,,"Point geometry of the matched station occupation (WGS84)."
dungeness_sample,grid_key,Grid Key,,"CalCOFI grid cell containing the sample position; FK to `grid`."
dungeness_sample,sorted_by,Sorted By,,"Person who examined the sample."
dungeness_measurement,dungeness_measurement_id,Measurement ID,,"Sequential primary key."
dungeness_measurement,dungeness_sample_id,Sample ID,,"The examined sample this count came from; FK to `dungeness_sample`."
dungeness_measurement,measurement_type,Measurement Type,,"Larval category counted; FK to `measurement_type`."
dungeness_measurement,measurement_value,Measurement Value,count,"Count in the examined aliquot. NOT standardized — divide by `dungeness_sample.aliquot` for a whole-sample estimate."
dungeness_measurement,measurement_qual,Measurement Qual,,"Quality flag; `blank in source` where the source cell was empty, which distinguishes 'not recorded' from a recorded zero."
dungeness_carapace,dungeness_carapace_id,Carapace ID,,"Sequential primary key."
dungeness_carapace,dungeness_sample_id,Sample ID,,"The examined sample this individual came from; FK to `dungeness_sample`."
dungeness_carapace,individual_num,Individual Number,,"Ordinal of the measured individual within its sample, in source order. Not an identity — the source lists lengths without individual labels."
dungeness_sorting_log,dungeness_sorting_log_id,Sorting Log ID,,"Sequential primary key. Rows repeat in the source (135 duplicate station-time combinations in the unsorted sheet), most likely one row per archived jar; see questions.csv."
dungeness_sorting_log,sorting_status,Sorting Status,,"`sorted` = examined for M. magister megalopae as of 2012-02-15; `unsorted` = archived but not yet examined."
dungeness_sorting_log,cruise_ym,Cruise Year-Month,,"`YYYY-MM` parsed from the expedition label where it embeds a YYMM code; NULL for the five named expeditions that do not (`ALCYONE 2`, `BODEGA BAY`, `CODE I LEG 3`, `SQ87`, `TROLL CRUISE`)."
dungeness_sorting_log,cruise_key,Cruise Key,,"CalCOFI cruise key, assigned only where `cruise_ym` matches exactly one cruise in the reference — the source records no ship — and NULL otherwise."
dungeness_sorting_log,site_key,Site Key,,"CalCOFI station key formatted from `line` + `station`. Many lie outside the standard CalCOFI grid: this log extends north to Washington and far offshore."
dungeness_sorting_log,datetime_start_utc,Datetime Start,,"Tow start date-time. Time zone unconfirmed; carried through as given."
dungeness_sorting_log,datetime_end_utc,Datetime End,,"Tow end date-time."
dungeness_sorting_log,geom,Geometry,,"Point geometry of the tow position (WGS84)."
dungeness_sorting_log,grid_key,Grid Key,,"CalCOFI grid cell; NULL for the majority, which lie north of or offshore from the CalCOFI grid."
dungeness_sorting_log,sorted_by,Sorted By,,"Person who compiled the log and examined the sorted samples."
dungeness_specimen,specimen_num,Specimen Number,,"Sequential primary key, in source row order."
dungeness_specimen,line,Line,,"CalCOFI alongshore line, split from the source's combined 'line station' cell."
dungeness_specimen,site_key,Site Key,,"CalCOFI station key formatted from `line` + `station`."
dungeness_specimen,datetime_start_utc,Datetime UTC,,"Collection date + time of the plankton sample the specimen came from."
dungeness_specimen,is_magister,Is M. magister,,"TRUE where independent review confirmed Metacarcinus magister."
