species_code,common_name,scientific_name,itis_id,is_bird,is_mammal,is_fish,is_unidentified,include_flag
AMCO,American Coot,Fulica americana,176292,TRUE,FALSE,FALSE,FALSE,FALSE
ANMU,Ancient Murrelet,Synthliboramphus antiquus,177008,TRUE,FALSE,FALSE,FALSE,TRUE
ARLO,Arctic Loon,Gavia arctica,174471,TRUE,FALSE,FALSE,FALSE,TRUE
ARTE,Arctic Tern,Sterna paradisaea,176890,TRUE,FALSE,FALSE,FALSE,TRUE
ASSP,Ashy Storm-Petrel,Oceanodroma homochroa,174634,TRUE,FALSE,FALSE,FALSE,TRUE
AWPE,American White Pelican,Pelecanus erythrorhynchos,174684,TRUE,FALSE,FALSE,FALSE,TRUE
BASH,Basking Shark,Cetorhinus maximus,159907,FALSE,FALSE,TRUE,FALSE,FALSE
BBWH,Baird's Beaked Whale,Berardius bairdii,180496,FALSE,TRUE,FALSE,FALSE,TRUE
BFAL,Black-Footed Albatross,Phoebastria nigripes,554379,TRUE,FALSE,FALSE,FALSE,TRUE
BLKI,Black-Legged Kittiwake,Rissa tridactyla,176875,TRUE,FALSE,FALSE,FALSE,TRUE
BLOY,Black Oystercatcher,Haematopus bachmani,176475,TRUE,FALSE,FALSE,FALSE,FALSE
BLSC,Black Scoter,Melanitta nigra,175171,TRUE,FALSE,FALSE,FALSE,TRUE
BLSH,Blue Shark,Prionace glauca,160424,FALSE,FALSE,TRUE,FALSE,FALSE
BLSK,Black Skimmer,Rynchops niger,554447,TRUE,FALSE,FALSE,FALSE,FALSE
BLSP,Black Storm-Petrel,Oceanodroma melania,174640,TRUE,FALSE,FALSE,FALSE,TRUE
BLTE,Black Tern,Chlidonias niger,176959,TRUE,FALSE,FALSE,FALSE,FALSE
BLTU,Black Turnstone,Arenaria melanocephala,176574,TRUE,FALSE,FALSE,FALSE,FALSE
BLWH,Blue Whale,Balaenoptera musculus,180528,FALSE,TRUE,FALSE,FALSE,TRUE
BODO,Bottlenose Dolphin,Tursiops truncatus,180426,FALSE,TRUE,FALSE,FALSE,TRUE
BOGU,Bonaparte's Gull,Larus philadelphia,176839,TRUE,FALSE,FALSE,FALSE,TRUE
BRAC,Brandt's Cormorant,Phalacrocorax penicillatus,174724,TRUE,FALSE,FALSE,FALSE,TRUE
BRAN,Brant,Branta bernicla,175011,TRUE,FALSE,FALSE,FALSE,TRUE
BRBO,Brown Booby,Sula leucogaster,174704,TRUE,FALSE,FALSE,FALSE,TRUE
