tow_type,gear_name,dwc_samplingProtocol,nerc_l22,datasets,note
C1,CalCOFI one-metre oblique tow,"Oblique tow with a 1-m ring net (1-m mouth diameter, 0.8 m^2 mouth area) retrieved at a constant wire angle from ~140 m to the surface; volume filtered from a flowmeter, abundance standardized per 10 m^2 of sea surface by the standard haul factor.",http://vocab.nerc.ac.uk/collection/L22/current/TOOL0988/,swfsc_ichthyo,"L22 TOOL0988 states 1-m mouth diameter AND 0.8 m^2 opening area — the same two numbers the SWFSC lookup gives. Standard CalCOFI oblique gear before Dec 1977."
C2,CalCOFI two-metre oblique tow,"Oblique tow with a 2-m^2 mouth-area ring net (1.6-m mouth diameter).",,swfsc_ichthyo,No L22 concept for a 1.6-m ring net.
CB,CalCOFI oblique bongo tow,"Oblique tow with a 71-cm bongo net (0.4 m^2 mouth area per cod end, 0.505 mm mesh) retrieved at a constant 45 degree wire angle from 210 m to the surface; volume filtered from a flowmeter, abundance standardized per 10 m^2 by the standard haul factor. Paired cod ends: one preserved in formalin for SWFSC ichthyoplankton, one for the SIO Pelagic Invertebrate Collection.",http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/,swfsc_ichthyo,"L22 NETT0176 'Bongo net' is the generic double-ring-mouth concept, 'with further specifications either unknown or described elsewhere in the supporting metadata' — exactly this use. Standard CalCOFI oblique gear since Dec 1977."
CV,CalCOFI vertical egg tow,"Vertical tow with a 0.25 m^2 mouth-area ring net; abundance standardized per unit sea-surface area.",,swfsc_ichthyo,"No L22 concept matches a 0.25 m^2 ring net (L22's half-metre ring net is 0.196 m^2)."
DC,Deep oblique bongo tow,"Oblique tow to 600 m with the CB bongo net, historically used to sample sablefish.",http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/,swfsc_ichthyo,"Same device as CB (L22 is a device catalogue); the 600-m depth is the protocol, not the gear."
M1,MOCNESS (1 m^2),"Multiple Opening/Closing Net and Environmental Sensing System, 1 m^2 mouth area.",,swfsc_ichthyo,L22's MOCNESS concepts are citation-specific and do not distinguish mouth area.
M2,MOCNESS (3 m^2),"Multiple Opening/Closing Net and Environmental Sensing System, 3 m^2 mouth area.",,swfsc_ichthyo,L22's MOCNESS concepts are citation-specific and do not distinguish mouth area.
MB,MARMAP oblique bongo tow,"Oblique tow with a MARMAP bongo net (2-ft mouth diameter).",,swfsc_ichthyo,"L22's MARMAP bongo concepts are a 20-cm net and a Posgay and Marak (1980) citation; neither states the 2-ft diameter this code names."
MT,Manta surface tow,"Surface (neuston) tow with a twin-winged continuous-flow Manta net; abundance standardized per 1000 m^3 of water strained (volume, not haul factor — a Manta tow has no depth-integrated area).",http://vocab.nerc.ac.uk/collection/L22/current/NETT0177/,swfsc_ichthyo,L22 NETT0177 'Manta net'.
PV,PairoVET vertical egg tow,"Paired vertical tows of the CalCOFI vertical egg net (PairoVET), fished from ~70 m to the surface for fish eggs.",,swfsc_ichthyo,No L22 concept for the CalVET/PairoVET net.
OBLIQUE,Oblique tow (gear unrecorded),"Oblique tow; the CDFW Dungeness megalopae sorting log records the tow geometry but not the net.",,cdfw_dungeness-crab,"A tow geometry, not a gear — the device is unrecorded, so no L22 concept can be assigned."
