# GENERATED by calcofi4db::write_holdings_csv() from metadata/{provider}/{dataset}/dataset_meta.yml (status: planned | external | archived) — edit the sidecar, not this file
key,name,category,provider,status,link,doi,module,lead_name,lead_email,lead_affiliation,priority_caloos,gh_issue,notes
calcofi_prodo,"Measurements from CalCOFI cruises in the California Current System, including log of station information, weather, sea conditions as well as physical, chemical and biological measurements including temperature, salinity, oxygen, density, sigma theta, phosphate, silicate, nitrite, nitrate, ammonia, chlorophyll a, integrated chlorophyll a, primary productivity, and integrated primary production. 1949 - January 2020",Productivity & Pigments,calcofi,external,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-cce&identifier=78&revision=3,10.6073/pasta/7f8e5d24e9b27ae695295a8ddc0809d1,"CalCOFI Chlorophyll and Primary Productivity from In Situ 14C Uptake & PRODO, CCE-LTER, SIO, UCSD",James Wilkinson,jwilkinson@ucsd.edu,UCSD SIO,EDI,#34,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. EDI 78 (PRODO product; abstract says 'drawn from the CalCOFI hydrographic bottle database') -- overlaps calcofi_bottle's chlorophyll/productivity fields; recorded as holding per plan guidance, not a mirror; also #34"
calpoly_whale-edna,Baleen Whale Density Prediction from Environmental DNA (eDNA),Genomics & eDNA,calpoly,archived,https://doi.org/10.5281/zenodo.19139338,,NA- one dataset (BUT NOTE: we will likely have more eDNA data that we want part of this catalog in the future),Trevor Ruiz,truiz01@calpoly.edu,Cal Poly,Other,,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. Zenodo DOI (baleen whale eDNA) -- new provider calpoly"
cce-lter_chl-size-fractionated,"Size fractionation of total Chl a larger and smaller than 8 μm data generated by Mike Mullin of the Marine Life Research Group, aboard CalCOFI (California Cooperative Oceanic Fisheries Investigations) cruises of the coast of California, January 1994 - October 1996",Productivity & Pigments,cce-lter,archived,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cce.249.3,10.6073/pasta/02183db3ad041992304d26757f1b25f9,NA- one dataset,Mike Mullein,,"Marine Life Research Group, IOD/UCSD",,,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. EDI 249 (size-fractionated Chl a) -- new holding; sheet's own DOI matches the newest revision (249.3)"
cce-lter_hplc-pigments,"High Performance Liquid Chromatography (HPLC) pigment analysis from rosette bottle samples at various depths from CCE LTER process cruises in the California Current System, 2006 to 2017",Productivity & Pigments,cce-lter,external,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cce.72.4,10.6073/pasta/831e099fb086954d3d73638d33d3dd05,"CalCOFI Phytoplankton community composition (visual microscopy) and taxon-specific pigments (HPLC), CCE-LTER, SIO, UCSD",Ralf Goericke,rgoericke@ucsd.edu,UCSD SIO,EDI,,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. EDI 72 (HPLC pigments) is a DIFFERENT variable than calcofi_phytoplankton's visual counts -- not matched"
cce-lter_iron,"Measurements of dissolved inorganic concentrations of nutrient iron and of iron limitation at selected stations and depths from CalCOFI cruises in the California Current System, Nov. 2002 - July 2004 (completed)",Nutrients & Chemistry,cce-lter,archived,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cce.21.3,10.6073/pasta/63c4e57f87861db3acaf80d1dec103e1,NA- one dataset,Kathy Barbaeu,kbarbeau@ucsd.edu,UCSD SIO,,,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. EDI 21 (dissolved/total iron) -- new holding; sheet's own DOI matches the newest revision (21.3)"
cce-lter_poc-pon,"Particulate organic carbon and nitrogen measurements at selected depths in the water column from CalCOFI-CCE Augmented cruises in the California Current System, 2004 - November 2022",Nutrients & Chemistry,cce-lter,external,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cce.54.7,10.6073/pasta/830ff22e75a9de5b493af48330e5fc4c,"CalCOFI Particulate and Total Organic Carbon and Nitrogen (POC/PON and TOC), CCE-LTER, SIO, UCSD",Ralf Goericke,rgoericke@ucsd.edu,UCSD SIO,EDI,,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. EDI 54 (POC/PON, CalCOFI-CCE Augmented cruises) -- no ingest"
cce-lter_poc-pon-cce-region,Particulate organic carbon and nitrogen measurements at selected depths in the water column in the CCE region since 2006 - 2024 (ongoing),Nutrients & Chemistry,cce-lter,archived,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-cce&identifier=104&revision=12,10.6073/pasta/9feb1de01eb3795e7ea39a8b7ba325e6,NA- one dataset,Lihini Aluwihare,laluwihare@ucsd.edu,UCSD SIO,EDI,,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. CONFLICT: sheet row 26 header/abstract describe nitrate stable isotopes (N15/O18), but EDI knb-lter-cce.104 (the URL given, rev 13 checked 2026-09-05) is titled 'Particulate organic carbon and nitrogen measurements ... in the CCE region since 2006' -- likely a wrong EDI accession in the sheet. Recorded under the verified EDI title; the isotope dataset's real accession is unconfirmed."
cce-lter_primary-production-c14,"Primary production estimates from 14C uptake (in situ), determined by the incorporation of inorganic carbon into particulate organic carbon (POC) due to photosynthesis at selected light levels from CCE LTER process cruises in the California Current System, 2006 - 2021 (ongoing)",Productivity & Pigments,cce-lter,external,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cce.71.4,10.6073/pasta/0b954fc2d13835a58bdbf17aa5119d34,"CalCOFI Chlorophyll and Primary Productivity from In Situ 14C Uptake & PRODO, CCE-LTER, SIO, UCSD",Ralf Goericke,rgoericke@ucsd.edu,UCSD SIO,CalCOFI website,#34,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. EDI 71 (primary production, C14 uptake) -- overlaps dataset_status.csv calcofi/prodo #34"
cce-lter_toc,"Total dissolved organic carbon measurements at standard depths in the water column from nine CalCOFI cruises, 2008-2017",Nutrients & Chemistry,cce-lter,external,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-cce&identifier=253&revision=3,10.6073/pasta/ba2ce7e921448a75372109d9f2f5cab2,"CalCOFI Particulate and Total Organic Carbon and Nitrogen (POC/PON and TOC), CCE-LTER, SIO, UCSD",Lihini Aluwihare,laluwihare@ucsd.edu,UCSD SIO,EDI,,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. EDI 253 (TOC) -- no ingest"
jcvi_ncog-metabarcoding,"CalCOFI Microbial/Plankton Community Genomics (16S and 18S rDNA) NCOG- JCVI & SIO, UCSD",Genomics & eDNA,jcvi,external,https://www.ncbi.nlm.nih.gov/bioproject/555783,,NA- one dataset (BUT NOTE: we will likely have more eDNA data that we want part of this catalog in the future),Andy Allen,aallen@ucsd.edu,J. Craig Venter Institute (JCVI),NCBI,,"confirm dataset scope, license and DOI with the provider; no ingest planned yet. NCBI BioProjects 555783/665326 -- new provider jcvi"
