# metadata/measurement_chem.csv — one row per chemical entity behind a measurement key's face (D1-D2): role in
# the_thing | component | conjugate | method_product | one_of; via in nerc_s27 | registry. Columns: key, chebi_id, role, mass_fraction, via, source, source_url, note. Read with calcofi4db::read_measurement_chem(), appended with calcofi4db::register_measurement_chem() — never a bare write_csv().
key,chebi_id,role,mass_fraction,via,source,source_url,note
alkalinity,CHEBI:16526,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,CO2(aq)
alkalinity,CHEBI:17544,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,HCO3-
alkalinity,CHEBI:41609,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,CO3^2-
alkalinity_rep1,CHEBI:16526,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,CO2(aq)
alkalinity_rep1,CHEBI:17544,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,HCO3-
alkalinity_rep1,CHEBI:41609,component,,registry,"Dickson, Sabine & Christian (eds.) 2007, Guide to Best Practices for Ocean CO2 Measurements (PICES Special Publication 3); speciation fraction is pH/T/S-dependent, computed at build (PyCO2SYS) from the record's own DIC and alkalinity, never a fixed value here",https://doi.org/10.25607/OBP-1342,CO3^2-
ammonia,CHEBI:16134,conjugate,,registry,"conjugate base of ammonium (NH4+ <=> NH3); the Berthelot reaction the method uses forms indophenol blue from the neutral species in alkaline solution, so the equilibrium partner is drawn beside it",https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,its conjugate base
ammonia,CHEBI:28938,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX/ -> S27 CS026908 'ammonium' owl:sameAs CHEBI:28938,http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX/,
btl_ammonium,CHEBI:16134,conjugate,,registry,"conjugate base of ammonium (NH4+ <=> NH3); the Berthelot reaction the method uses forms indophenol blue from the neutral species in alkaline solution, so the equilibrium partner is drawn beside it",https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,its conjugate base
btl_ammonium,CHEBI:28938,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX/ -> S27 CS026908 'ammonium' owl:sameAs CHEBI:28938,http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX/,
btl_chlorophyll_a,CHEBI:18230,the_thing,,nerc_s27,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/ -> S27 CS002896 'chlorophyll-a' owl:sameAs CHEBI:18230,http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/,
