# metadata/measurement_face.csv — every measurement key's face_kind (D2-D3): structure | composition | scale |
# organism | standsin | none. A standsin row's face_of names the key it borrows; stands_in_note is the chip text. Columns: key, face_kind, face_of, stands_in_note, source. Read with calcofi4db::read_measurement_face(), appended with calcofi4db::register_measurement_face() — never a bare write_csv().
key,face_kind,face_of,stands_in_note,source
air_temp_c,standsin,temperature,"stands in: temperature's face (air, not water -- same physical quantity)",no NERC P01 on this key (D3)
alkalinity,composition,,,"the pool (or its charge-balance capacity) is CO2 + HCO3- + CO3^2-; the S27 for DIC (CHEBI_27594, carbon atom) is never used as the_thing (F3)"
alkalinity_rep1,composition,,,"the pool (or its charge-balance capacity) is CO2 + HCO3- + CO3^2-; the S27 for DIC (CHEBI_27594, carbon atom) is never used as the_thing (F3)"
ammonia,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX/ links (via S27) to a ChEBI entity
atm_pressure_mb,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
beam_attenuation,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/ATTNXXZZ/ links (via S06) to a property, not a substance or organism"
bottom_depth_m,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
btl_ammonium,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX/ links (via S27) to a ChEBI entity
btl_chlorophyll_a,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/ links (via S27) to a ChEBI entity
btl_depth,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/ADEPZZ01/ links (via S06) to a property, not a substance or organism"
btl_nitrate,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX/ links (via S27) to a ChEBI entity
btl_nitrite,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX/ links (via S27) to a ChEBI entity
btl_phaeopigment,composition,,,"S27 CS002902 'phaeopigments' carries no ChEBI sameAs; the face shows pheophytin-a, flagged one_of (D2)"
btl_phosphate,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX/ links (via S27) to a ChEBI entity
btl_silicate,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/SLCAZZXX/ links (via S27) to a ChEBI entity
btl_temperature,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/ links (via S06) to a property, not a substance or organism"
c14_dark,standsin,dic,"stands in: DIC's face -- same 14C-bicarbonate tracer, dark/control bottle",no NERC P01 on this key (D3)
c14_mean,standsin,dic,"stands in: DIC's face -- the 14C tracer is added as NaH14CO3, the bicarbonate form DIC's composition breaks out",no NERC P01 on this key (D3)
c14_rep1,standsin,dic,"stands in: DIC's face -- same 14C-bicarbonate tracer, replicate 1",no NERC P01 on this key (D3)
c14_rep2,standsin,dic,"stands in: DIC's face -- same 14C-bicarbonate tracer, replicate 2",no NERC P01 on this key (D3)
chl_fluor,standsin,chlorophyll_a,stands in: chlorophyll-a's face (calibrated underway fluorescence),no NERC P01 on this key (D3)
chlorophyll_a,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/ links (via S27) to a ChEBI entity
ctdtemp_its90,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/ links (via S06) to a property, not a substance or organism"
dic,composition,,,"the pool (or its charge-balance capacity) is CO2 + HCO3- + CO3^2-; the S27 for DIC (CHEBI_27594, carbon atom) is never used as the_thing (F3)"
dic_rep1,composition,,,"the pool (or its charge-balance capacity) is CO2 + HCO3- + CO3^2-; the S27 for DIC (CHEBI_27594, carbon atom) is never used as the_thing (F3)"
dynamic_height,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
est_chlorophyll_a_cruise_corr,standsin,chlorophyll_a,stands in: chlorophyll-a's face (cruise-corrected fluorescence estimate),no NERC P01 on this key (D3)
est_chlorophyll_a_sta_corr,standsin,chlorophyll_a,stands in: chlorophyll-a's face (station-corrected fluorescence estimate),no NERC P01 on this key (D3)
est_nitrate_cruise_corr,standsin,nitrate,"stands in: nitrate's face, estimated from the ISUS sensor (cruise-corrected)",no NERC P01 on this key (D3)
est_nitrate_sta_corr,standsin,nitrate,"stands in: nitrate's face, estimated from the ISUS sensor (station-corrected)",no NERC P01 on this key (D3)
fluorescence_v,standsin,chlorophyll_a,stands in: chlorophyll-a's face (raw CTD fluorometer voltage),no NERC P01 on this key (D3)
het_bacteria,organism,,,a flow-cytometry count of a living thing; no NERC P01 and no exact WoRMS/ITIS concept found for this FCM class (Q01)
isus_v,standsin,nitrate,"stands in: nitrate's face (raw ISUS sensor voltage, pre-conversion)",no NERC P01 on this key (D3)
light_pct,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
long_wave_rad,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
nitrate,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX/ links (via S27) to a ChEBI entity
nitrite,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX/ links (via S27) to a ChEBI entity
oxygen,standsin,oxygen_umol_kg,stands in: dissolved oxygen's face (METS underway sensor),no NERC P01 on this key (D3)
oxygen_btl_ml_l,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ links (via S27) to a ChEBI entity
oxygen_btl_umol_kg,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ links (via S27) to a ChEBI entity
oxygen_ml_l,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ links (via S27) to a ChEBI entity
oxygen_ml_l_1,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ links (via S27) to a ChEBI entity
oxygen_ml_l_1_cruise_corr,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ links (via S27) to a ChEBI entity
oxygen_ml_l_1_sta_corr,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ links (via S27) to a ChEBI entity
oxygen_ml_l_2,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ links (via S27) to a ChEBI entity
oxygen_ml_l_2_cruise_corr,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ links (via S27) to a ChEBI entity
oxygen_ml_l_2_sta_corr,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/ links (via S27) to a ChEBI entity
oxygen_saturation,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/OXYSZZ01/ links (via S06) to a property, not a substance or organism"
oxygen_umol_kg,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ links (via S27) to a ChEBI entity
oxygen_umol_kg_1,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ links (via S27) to a ChEBI entity
oxygen_umol_kg_2,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ links (via S27) to a ChEBI entity
par,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
par_surf,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
ph,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/PHXXZZXX/ links (via S06) to a property, not a substance or organism"
phaeopigment,composition,,,"S27 CS002902 'phaeopigments' carries no ChEBI sameAs; the face shows pheophytin-a, flagged one_of (D2)"
phosphate,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX/ links (via S27) to a ChEBI entity
picoeukaryotes,organism,,,a flow-cytometry count of a living thing; no NERC P01 and no exact WoRMS/ITIS concept found for this FCM class (Q01)
pressure,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/PRESPR01/ links (via S06) to a property, not a substance or organism"
prochlorococcus,organism,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/P701A90Z/ links (via S25) to a WoRMS-keyed taxon
r_ammonium,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX/ links (via S27) to a ChEBI entity
r_depth,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/ADEPZZ01/ links (via S06) to a property, not a substance or organism"
r_dynamic_height,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
r_oxygen_umol_kg,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/ links (via S27) to a ChEBI entity
r_salinity_sva,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
r_temperature,standsin,temperature,stands in: temperature's face (pre-QC reported reading),no NERC P01 on this key (D3)
rel_humidity_pct,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
salinity,composition,,,"NERC P01 is a property (S06 'Practical salinity'), not a single substance; the face shown is the TEOS-10 mass-fraction composition of sea salt (D2)"
salinity_1,composition,,,"NERC P01 is a property (S06 'Practical salinity'), not a single substance; the face shown is the TEOS-10 mass-fraction composition of sea salt (D2)"
salinity_1_corr,composition,,,"NERC P01 is a property (S06 'Practical salinity'), not a single substance; the face shown is the TEOS-10 mass-fraction composition of sea salt (D2)"
salinity_2,composition,,,"NERC P01 is a property (S06 'Practical salinity'), not a single substance; the face shown is the TEOS-10 mass-fraction composition of sea salt (D2)"
salinity_2_corr,composition,,,"NERC P01 is a property (S06 'Practical salinity'), not a single substance; the face shown is the TEOS-10 mass-fraction composition of sea salt (D2)"
salinity_btl,composition,,,"NERC P01 is a property (S06 'Practical salinity'), not a single substance; the face shown is the TEOS-10 mass-fraction composition of sea salt (D2)"
salinity_pss78,composition,,,"NERC P01 is a property (S06 'Practical salinity'), not a single substance; the face shown is the TEOS-10 mass-fraction composition of sea salt (D2)"
short_wave_rad,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
sigma_theta,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/SIGTEQ01/ links (via S06) to a property, not a substance or organism"
silicate,structure,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/SLCAZZXX/ links (via S27) to a ChEBI entity
spar,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
specific_volume_anomaly,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
sss_psu,standsin,salinity,stands in: salinity's face (underway sea-surface reading),no NERC P01 on this key (D3)
sst_c,standsin,temperature,stands in: temperature's face (underway sea-surface reading),no NERC P01 on this key (D3)
sw_ph,standsin,ph,stands in: pH's face (METS underway sensor),no NERC P01 on this key (D3)
synechococcus,organism,,,NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/P700A90Z/ links (via S25) to a WoRMS-keyed taxon
temperature,scale,,,"NERC P01 http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/ links (via S06) to a property, not a substance or organism"
transmissometer,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
tsg1_salinity_psu,standsin,salinity,stands in: salinity's face (thermosalinograph unit 1),no NERC P01 on this key (D3)
tsg1_temp_c,standsin,temperature,stands in: temperature's face (thermosalinograph unit 1),no NERC P01 on this key (D3)
uws_flow,none,,,no NERC P01 and nothing it plausibly estimates or repeats (D3)
wind_dir_deg,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)
wind_speed_ms,scale,,,no NERC P01 on this key; shows its own familiar-scale figure only (D3)

