# metadata/measurement_method.csv — one row per series (dataset_key x measurement_type, D4): platform, instrument, nerc_l22
# (exact match only), principle paraphrased from the source, steps and bibkeys ' | '-joined. Columns: dataset_key, measurement_type, platform, instrument, nerc_l22, principle, steps, wavelength_nm, precision, bibkeys, calcofi_org_url, text_fragment, source, source_url. Read with calcofi4db::read_measurement_method(), appended with calcofi4db::register_measurement_method() — never a bare write_csv().
dataset_key,measurement_type,platform,instrument,nerc_l22,principle,steps,wavelength_nm,precision,bibkeys,calcofi_org_url,text_fragment,source,source_url
calcofi_bottle,alkalinity_rep1,bottle,"Drawn from the rosette, analysed ashore",,"Samples drawn from the Niskins at selected stations and analysed ashore; total inorganic carbon and alkalinity are measured, from which pH and pCO2 can be calculated, calibrated to the certified reference materials Scripps prepares for the world.",,,,dickson2007,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Dissolved%20Inorganic%20Carbon%20(DIC)%20Sampling,NCEI accession 0301029 (DIC/alkalinity instruments); calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Dissolved%20Inorganic%20Carbon%20(DIC)%20Sampling
calcofi_bottle,ammonia,bottle,Seal Analytical continuous-flow AutoAnalyzer 3 (AA3),,"The Berthelot reaction: hypochlorous acid and phenol react with ammonium in alkaline solution to form indophenol blue, read in a 10 mm flow cell (a modification of Koroleff 1969, 1970).",NH4+ + phenol + hypochlorite (alkaline) -> indophenol blue | absorbance read at 660 nm,660,,koroleff1969,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Nutrient%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Nutrient%20Sampling
calcofi_bottle,c14_dark,lab,On-deck simulated in-situ incubator + shore-based scintillation counter,,"Triplicate 250 mL bottles (two light, one dark) from each depth are inoculated with 14C-labelled bicarbonate and incubated from local apparent noon to civil twilight in seawater-cooled, neutral-density-screened incubators that simulate the depth's light level; after filtration the fixed 14C is measured by scintillation counting ashore.","NaH14CO3 tracer added | incubated at the simulated light level | filtered, acidified, degassed 12 h | scintillation-counted",,,fitzwater1982,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Primary%20Productivity%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Primary%20Productivity%20Sampling
calcofi_bottle,c14_mean,lab,On-deck simulated in-situ incubator + shore-based scintillation counter,,"Triplicate 250 mL bottles (two light, one dark) from each depth are inoculated with 14C-labelled bicarbonate and incubated from local apparent noon to civil twilight in seawater-cooled, neutral-density-screened incubators that simulate the depth's light level; after filtration the fixed 14C is measured by scintillation counting ashore.","NaH14CO3 tracer added | incubated at the simulated light level | filtered, acidified, degassed 12 h | scintillation-counted",,,fitzwater1982,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Primary%20Productivity%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Primary%20Productivity%20Sampling
calcofi_bottle,c14_rep1,lab,On-deck simulated in-situ incubator + shore-based scintillation counter,,"Triplicate 250 mL bottles (two light, one dark) from each depth are inoculated with 14C-labelled bicarbonate and incubated from local apparent noon to civil twilight in seawater-cooled, neutral-density-screened incubators that simulate the depth's light level; after filtration the fixed 14C is measured by scintillation counting ashore.","NaH14CO3 tracer added | incubated at the simulated light level | filtered, acidified, degassed 12 h | scintillation-counted",,,fitzwater1982,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Primary%20Productivity%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Primary%20Productivity%20Sampling
calcofi_bottle,c14_rep2,lab,On-deck simulated in-situ incubator + shore-based scintillation counter,,"Triplicate 250 mL bottles (two light, one dark) from each depth are inoculated with 14C-labelled bicarbonate and incubated from local apparent noon to civil twilight in seawater-cooled, neutral-density-screened incubators that simulate the depth's light level; after filtration the fixed 14C is measured by scintillation counting ashore.","NaH14CO3 tracer added | incubated at the simulated light level | filtered, acidified, degassed 12 h | scintillation-counted",,,fitzwater1982,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Primary%20Productivity%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Primary%20Productivity%20Sampling
calcofi_bottle,chlorophyll_a,bottle,"Filter, 90% acetone extraction, benchtop fluorometer",,"A known volume filtered onto a GF/F filter, cold-extracted in 90% acetone for 24-48 hours and read on a fluorometer; the extract is then acidified, which strips the magnesium and turns chlorophyll into phaeopigment, and read again (Yentsch & Menzel 1963; Holm-Hansen et al. 1965; Lorenzen 1967).",,,,lorenzen1967,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Chlorophyll-a%20%26%20Phaeopigment%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Chlorophyll-a%20%26%20Phaeopigment%20Sampling
calcofi_bottle,dic_rep1,bottle,"Drawn from the rosette, analysed ashore",,"Samples drawn from the Niskins at selected stations and analysed ashore; total inorganic carbon and alkalinity are measured, from which pH and pCO2 can be calculated, calibrated to the certified reference materials Scripps prepares for the world.",,,,dickson2007,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Dissolved%20Inorganic%20Carbon%20(DIC)%20Sampling,NCEI accession 0301029 (DIC/alkalinity instruments); calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Dissolved%20Inorganic%20Carbon%20(DIC)%20Sampling
calcofi_bottle,light_pct,lab,Neutral-density screens on the on-deck incubators,,"The incubation tubes' light level is set to a percentage of surface irradiance, chosen from the Secchi-depth estimate of the 1% light level.",,,,,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Primary%20Productivity%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Primary%20Productivity%20Sampling
calcofi_bottle,nitrate,bottle,Seal Analytical continuous-flow AutoAnalyzer 3 (AA3),,"A modification of Armstrong (1967): the seawater sample passes through a cadmium column that reduces nitrate to nitrite, then sulfanilamide and N-(1-naphthyl)ethylenediamine couple it into a red azo dye read in a 10 mm flow cell; nitrate is the combined nitrate-plus-nitrite reading minus a parallel nitrite-only run without the cadmium column.","NO3- -> NO2- (cadmium column, 98-100% efficient) | NO2- + sulfanilamide + NED -> red azo dye | absorbance read at 520 nm",520,,,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Nutrient%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Nutrient%20Sampling
calcofi_bottle,nitrite,bottle,Seal Analytical continuous-flow AutoAnalyzer 3 (AA3),,"The same azo-dye method as nitrate, but without the cadmium reduction column, so only the sample's own nitrite is coupled and read.",NO2- + sulfanilamide + NED -> red azo dye | absorbance read at 520 nm,520,,,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Nutrient%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Nutrient%20Sampling
calcofi_bottle,oxygen_ml_l,bottle,"Automated Winkler titrator, UV end-point detector",,"Carpenter's (1965) modification of Winkler's 1889 method: manganous hydroxide is oxidised by the sample's dissolved oxygen, acid frees iodine from iodide in proportion, thiosulfate titrates the iodine, and an automated titrator reads the end point by the UV absorbance of tri-iodide rather than the visible starch-iodine color.",Mn2+ + 2OH- -> Mn(OH)2 | 2Mn(OH)2 + O2 -> 2MnO(OH)2 | MnO(OH)2 + 4H+ + 2I- -> Mn2+ + I2 + 3H2O | I2 titrated with thiosulfate,350,,carpenter1965,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Dissolved%20Oxygen%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Dissolved%20Oxygen%20Sampling
calcofi_bottle,oxygen_saturation,bottle,"Computed from bottle dissolved oxygen, temperature and salinity",,Percent saturation computed from the bottle Winkler oxygen against the solubility at that temperature and salinity.,,,,,,,the record's own derivation (measurement_type.csv),
calcofi_bottle,oxygen_umol_kg,bottle,"Automated Winkler titrator, UV end-point detector",,"Carpenter's (1965) modification of Winkler's 1889 method: manganous hydroxide is oxidised by the sample's dissolved oxygen, acid frees iodine from iodide in proportion, thiosulfate titrates the iodine, and an automated titrator reads the end point by the UV absorbance of tri-iodide rather than the visible starch-iodine color.",Mn2+ + 2OH- -> Mn(OH)2 | 2Mn(OH)2 + O2 -> 2MnO(OH)2 | MnO(OH)2 + 4H+ + 2I- -> Mn2+ + I2 + 3H2O | I2 titrated with thiosulfate,350,,carpenter1965,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Dissolved%20Oxygen%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Dissolved%20Oxygen%20Sampling
calcofi_bottle,phaeopigment,bottle,"Filter, 90% acetone extraction, benchtop fluorometer",,"A known volume filtered onto a GF/F filter, cold-extracted in 90% acetone for 24-48 hours and read on a fluorometer; the extract is then acidified, which strips the magnesium and turns chlorophyll into phaeopigment, and read again (Yentsch & Menzel 1963; Holm-Hansen et al. 1965; Lorenzen 1967).",,,,lorenzen1967,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Chlorophyll-a%20%26%20Phaeopigment%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Chlorophyll-a%20%26%20Phaeopigment%20Sampling
calcofi_bottle,phosphate,bottle,Seal Analytical continuous-flow AutoAnalyzer 3 (AA3),,"A modification of Bernhardt and Wilhelm: acidic ammonium molybdate forms phosphomolybdic acid, reduced by dihydrazine sulfate to a blue compound, heated to about 55C to develop color, and read in a 10 mm flow cell.",,820,,,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Nutrient%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Nutrient%20Sampling
calcofi_bottle,r_ammonium,bottle,Seal Analytical continuous-flow AutoAnalyzer 3 (AA3),,"The Berthelot reaction: hypochlorous acid and phenol react with ammonium in alkaline solution to form indophenol blue, read in a 10 mm flow cell (a modification of Koroleff 1969, 1970).",NH4+ + phenol + hypochlorite (alkaline) -> indophenol blue | absorbance read at 660 nm,660,,koroleff1969,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Nutrient%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Nutrient%20Sampling
calcofi_bottle,r_depth,bottle,Pressure-derived depth,,reported depth computed from the reversing-thermometer cast pressure (pre-QC),,,,,https://calcofi.org/sampling-info/methods/ctd-faq-circa-2020/,,calcofi.org CTD FAQ circa 2020,https://calcofi.org/sampling-info/methods/ctd-faq-circa-2020/
calcofi_bottle,r_dynamic_height,bottle,Computed from the cast profile,,"A derived hydrographic quantity computed from the cast profile, not sensed directly.",,,,,,,the record's own derivation (measurement_type.csv),
calcofi_bottle,r_oxygen_umol_kg,bottle,"Automated Winkler titrator, UV end-point detector (pre-QC reading)",,"Carpenter's (1965) modification of Winkler's 1889 method: manganous hydroxide is oxidised by the sample's dissolved oxygen, acid frees iodine from iodide in proportion, thiosulfate titrates the iodine, and an automated titrator reads the end point by the UV absorbance of tri-iodide rather than the visible starch-iodine color.",Mn2+ + 2OH- -> Mn(OH)2 | 2Mn(OH)2 + O2 -> 2MnO(OH)2 | MnO(OH)2 + 4H+ + 2I- -> Mn2+ + I2 + 3H2O | I2 titrated with thiosulfate,350,,carpenter1965,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/,Dissolved%20Oxygen%20Sampling,calcofi.org Bottle sampling methods,https://calcofi.org/sampling-info/methods/bottle-sampling-methods/#:~:text=Dissolved%20Oxygen%20Sampling
calcofi_bottle,r_salinity_sva,bottle,Computed from the cast profile,,"A derived hydrographic quantity computed from the cast profile, not sensed directly.",,,,,,,the record's own derivation (measurement_type.csv),
