code_set,qual_code,label,description,is_documented,n_observed,source_columns,source
bottle,0,UNDOCUMENTED,Observed in Bottle_Q but absent from the source documentation. NOTE: the CTD source documentation defines this code (see the `ctd` rows); whether the bottle master uses it the same way is question hydro_master_02.,FALSE,170,T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
bottle,1,UNDOCUMENTED,Observed in Bottle_Q but absent from the source documentation. NOTE: the CTD source documentation defines this code (see the `ctd` rows); whether the bottle master uses it the same way is question hydro_master_02.,FALSE,118,T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
bottle,2,UNDOCUMENTED,Observed in Bottle_Q but absent from the source documentation. NOTE: the CTD source documentation defines this code (see the `ctd` rows); whether the bottle master uses it the same way is question hydro_master_02.,FALSE,2030,O2Satq;SThtaq;T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
bottle,3,UNDOCUMENTED,Observed in Bottle_Q but absent from the source documentation. NOTE: the CTD source documentation defines this code (see the `ctd` rows); whether the bottle master uses it the same way is question hydro_master_02.,FALSE,529,P_qual;T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
bottle,4,UNDOCUMENTED,Observed in Bottle_Q but absent from the source documentation. NOTE: the CTD source documentation defines this code (see the `ctd` rows); whether the bottle master uses it the same way is question hydro_master_02.,FALSE,54,S_qual;T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
bottle,5,UNDOCUMENTED,Observed in Bottle_Q but absent from the source documentation. NOTE: the CTD source documentation defines this code (see the `ctd` rows); whether the bottle master uses it the same way is question hydro_master_02.,FALSE,138,P_qual;S_qual;T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
bottle,6,ok_from_ctd,Data OK but taken from CTD,TRUE,148618,O_qual;O2Satq;P_qual;S_qual;SThtaq;T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
bottle,7,UNDOCUMENTED,Observed in Bottle_Q but absent from the source documentation. NOTE: the CTD source documentation defines this code (see the `ctd` rows); whether the bottle master uses it the same way is question hydro_master_02.,FALSE,464,P_qual;T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
bottle,8,suspect,Value is suspect,TRUE,8667,O_qual;O2Satq;S_qual;SThtaq;T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
bottle,9,missing,Missing data,TRUE,1160706,O_qual;O2Satq;P_qual;S_qual;SThtaq;T_qual,accdb 0-Field Descriptions / 0-Categories (Values column)
ctd,0,good,Good data. The source states: 'If no data code is displayed then sensors were operating normally.' Blank and 0 are the same statement.,TRUE,,PrQ;T1Q;T2Q;S1Q;S2Q;Ox1Q;Ox2Q;FlQ;IsQ;SigTheta1Q;SigTheta2Q;TransQ;pHQ;SPARQ;PARQ,CalCOFI CTD-CSV-Format.pdf + CTD Data Files.pdf (shipped in every CTD source zip)
ctd,1,use_primary,"USE PRIMARY SENSOR DATA. This is a sensor-selection instruction for a dual-sensor pair, NOT a quality grade — it does not rank the value, it says which of the two sensors to believe.",TRUE,,PrQ;T1Q;T2Q;S1Q;S2Q;Ox1Q;Ox2Q;FlQ;IsQ;SigTheta1Q;SigTheta2Q;TransQ;pHQ;SPARQ;PARQ,CalCOFI CTD-CSV-Format.pdf + CTD Data Files.pdf (shipped in every CTD source zip)
ctd,2,use_secondary,USE SECONDARY SENSOR DATA. As code 1: the primary sensor is questionable (sensor failure or bio-fouling of the pump) and the secondary is the better of the pair.,TRUE,,PrQ;T1Q;T2Q;S1Q;S2Q;Ox1Q;Ox2Q;FlQ;IsQ;SigTheta1Q;SigTheta2Q;TransQ;pHQ;SPARQ;PARQ,CalCOFI CTD-CSV-Format.pdf + CTD Data Files.pdf (shipped in every CTD source zip)
ctd,8,questionable,Data questionable. Used to identify a sensor performing poorly.,TRUE,,PrQ;T1Q;T2Q;S1Q;S2Q;Ox1Q;Ox2Q;FlQ;IsQ;SigTheta1Q;SigTheta2Q;TransQ;pHQ;SPARQ;PARQ,CalCOFI CTD-CSV-Format.pdf + CTD Data Files.pdf (shipped in every CTD source zip)
ctd,9,bad_or_missing,"BAD OR MISSING sensor data. Note 'or bad': a row flagged 9 that still carries a number is bad data, not a contradiction.",TRUE,,PrQ;T1Q;T2Q;S1Q;S2Q;Ox1Q;Ox2Q;FlQ;IsQ;SigTheta1Q;SigTheta2Q;TransQ;pHQ;SPARQ;PARQ,CalCOFI CTD-CSV-Format.pdf + CTD Data Files.pdf (shipped in every CTD source zip)
