dataset_key,raw_measurement_type,target,measurement_type,taxon_scientific_name,worms_id,itis_id,life_stage,bin_value,review,note
swfsc_cufes,sardine_eggs,obs,abundance,Sardinops sagax,217452,161729,egg,,FALSE,egg count per underway sample
swfsc_cufes,anchovy_eggs,obs,abundance,Engraulis mordax,272286,161828,egg,,FALSE,egg count per underway sample
swfsc_cufes,hake_eggs,obs,abundance,Merluccius productus,272458,164792,egg,,FALSE,egg count per underway sample
swfsc_cufes,jack_mackerel_eggs,obs,abundance,Trachurus symmetricus,273305,168586,egg,,FALSE,egg count per underway sample
swfsc_cufes,squid_eggs,obs,abundance,Doryteuthis opalescens,574540,82371,egg,,TRUE,"CUFES ""squid eggs"" assumed market squid; confirm scope"
swfsc_cufes,other_fish_eggs,obs,abundance,Teleostei,293496,161105,egg,,TRUE,"catch-all unidentified teleost eggs (species table species_id=1)"
calcofi_phyllosoma,total_phyllosoma,obs,abundance,Panulirus interruptus,382898,,phyllosoma,,FALSE,total phyllosoma larvae count
calcofi_phyllosoma,phyllosoma_stage_1,attribute,stage,Panulirus interruptus,382898,,phyllosoma,1,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_2,attribute,stage,Panulirus interruptus,382898,,phyllosoma,2,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_3,attribute,stage,Panulirus interruptus,382898,,phyllosoma,3,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_4,attribute,stage,Panulirus interruptus,382898,,phyllosoma,4,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_5,attribute,stage,Panulirus interruptus,382898,,phyllosoma,5,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_6,attribute,stage,Panulirus interruptus,382898,,phyllosoma,6,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_7,attribute,stage,Panulirus interruptus,382898,,phyllosoma,7,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_8,attribute,stage,Panulirus interruptus,382898,,phyllosoma,8,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_9,attribute,stage,Panulirus interruptus,382898,,phyllosoma,9,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_10,attribute,stage,Panulirus interruptus,382898,,phyllosoma,10,FALSE,stage-frequency bin
calcofi_phyllosoma,phyllosoma_stage_11,attribute,stage,Panulirus interruptus,382898,,phyllosoma,11,FALSE,stage-frequency bin
cce-lter_euphausiids,euphausiid_abundance,obs,abundance,Euphausiidae,110671,,,,FALSE,"family-level; no per-species resolution in source (Q01/Q02)"
