key,rank,kind,text,bibkeys,source_url,eov,goos_doc
temperature,1,authored,"Temperature sets the water’s density, and so the layering that decides whether deep nutrients reach the sunlit surface; off California the warm years are El Niño years and marine heatwaves.",bond2015,,Subsurface temperature,https://goosocean.org/document/17467
temperature,2,authored,"A warm year off California is usually a lean one: warmer, more layered water brings fewer nutrients up, and the plankton the rest of the food web eats decline.",roemmich1995,,Subsurface temperature,https://goosocean.org/document/17467
temperature,3,wikipedia,Sea surface temperature,,https://en.wikipedia.org/wiki/Sea_surface_temperature,Subsurface temperature,https://goosocean.org/document/17467
temperature,4,wikipedia,Marine heatwave,,https://en.wikipedia.org/wiki/Marine_heatwave,Subsurface temperature,https://goosocean.org/document/17467
sigma_theta,1,authored,"Potential density is what stacks the water column: the denser the surface layer is over the one below it, the less winter mixing and upwelling lift into the light, and off California stronger layering has gone with less zooplankton.",roemmich1995,,,
sigma_theta,2,authored,"Density is computed from temperature, salinity and pressure, so it inherits both the warming and the freshening the record carries separately.",,,,
sigma_theta,3,wikipedia,Potential density,,https://en.wikipedia.org/wiki/Potential_density,,
sigma_theta,4,wikipedia,Thermocline,,https://en.wikipedia.org/wiki/Thermocline,,
salinity,1,authored,Salinity tags the water masses: the California Current carries fresher Subarctic water south and the Undercurrent carries saltier water from the south; with temperature it sets density.,lynn1987,,Subsurface salinity,https://goosocean.org/document/17471
salinity,2,authored,"Salinity and temperature together set seawater’s density, which drives the currents and decides how deep winter mixing reaches.",,,Subsurface salinity,https://goosocean.org/document/17471
salinity,3,wikipedia,Salinity,,https://en.wikipedia.org/wiki/Salinity,Subsurface salinity,https://goosocean.org/document/17471
salinity,4,wikipedia,Water mass,,https://en.wikipedia.org/wiki/Water_mass,Subsurface salinity,https://goosocean.org/document/17471
oxygen_ml_l,1,authored,"Below the mixed layer off Southern California oxygen has fallen since the 1980s and the hypoxic boundary has risen toward the shelf, squeezing the habitat of fish and invertebrates.",bograd2008,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l,2,authored,"Oxygen is the balance of what the ocean takes in at the surface and what animals and bacteria use below; a warmer ocean holds less and mixes less, so it is losing oxygen.",breitburg2018,,Oxygen,https://goosocean.org/document/17473
oxygen_ml_l,3,authored,"Warming thins the oxygen the surface layer can hold, and the upper ocean has been losing it for decades across the North Pacific, not only here.",ito2017,,Oxygen,https://goosocean.org/document/17473
