table,column,name_long,units,description_md
cruise,cruise_key,Cruise Key,,Natural key YYYY-MM-NODC (e.g. 1998-02-33JD).
cruise,cruise_uuid,Cruise UUID,,Surrogate UUID for the cruise record.
cruise,date_ym,Date (year-month),,"Cruise year and month — the YYYY-MM half of cruise_key."
cruise,year,Year,,Cruise year extracted from date_ym.
cruise,month,Month,,Cruise month extracted from date_ym.
cruise,ship_key,Ship Key,,FK to ship; the natural key of the vessel that ran the cruise.
cruise,ship_name,Ship Name,,Ship name as resolved against NODC ship registry.
cruise,ship_nodc,Ship NODC,,NODC ship code.
cruise,ichthyo,Ichthyo Sites,count,Distinct sites sampled by SWFSC ichthyo on this cruise.
cruise,bottle,Bottle Sites,count,Distinct sites sampled by CalCOFI bottle casts on this cruise.
cruise,ctd_cast,CTD Sites,count,Distinct sites sampled by CTD casts on this cruise.
cruise,dic,DIC Sites,count,Distinct sites with NCEI DIC samples on this cruise.
cruise,_source_file,Source File,,Provenance: the source file this row was read from.
cruise,_source_row,Source Row,,"Provenance: 1-based row number within _source_file, so a value can be traced back to its line."
cruise,_source_uuid,Source UUID,,Provenance: the UUID the source record carried where it minted one.
cruise,_ingested_at,Ingested At,,Provenance: UTC timestamp of the ingest run that produced this row.
_spatial,id,Feature ID,,"Per-layer sequential integer feature id. Unique WITHIN a layer, not across layers — join _spatial_attr on (layer, id), never on id alone."
_spatial,layer,Layer,,Spatial layer slug from metadata/spatial_layers.csv (e.g. ca_county_boundaries).
_spatial,name,Name,,"Per-feature label taken from the layer's name_field, or the layer name itself for dissolved layers."
_spatial,geom,Geometry,,Feature geometry in WGS84 (EPSG:4326).
_spatial_attr,id,Feature ID,,Feature id matching _spatial.id within the same layer.
_spatial_attr,layer,Layer,,Spatial layer slug matching _spatial.layer.
_spatial_attr,fld,Field,,"Name of the source attribute column this row carries. The table is entity-attribute-value — one row per (feature, source column) — so layers with entirely unrelated attribute schemas share one table."
_spatial_attr,val_dbl,Value (double),,"Value when the source column was numeric; NULL otherwise. Exactly ONE val_* column is populated per row, chosen by the source column's R type, so read the one matching fld or COALESCE across them as text."
_spatial_attr,val_int,Value (integer),,Value when the source column was integer; NULL otherwise.
_spatial_attr,val_chr,Value (text),,Value when the source column was character or factor; NULL otherwise. Also the fallback for any type with no dedicated column.
_spatial_attr,val_date,Value (date),,Value when the source column was a Date; NULL otherwise.
_spatial_attr,val_lgl,Value (logical),,Value when the source column was logical; NULL otherwise.
