sbe_name,role,measurement_type,note
Scan,identifier,,instrument scan counter
Nbin,identifier,,scans averaged into this bin
Bottle,identifier,,bottle position (.btl only)
TimeJ,time,,julian day of year
DD,time,,day component of the .asc date columns
MMM,time,,month component
YYYY,time,,year component
HH:MM:SS,time,,time component
Date,time,,.btl date
Time,time,,.btl time
Latitude,position,,
Longitude,position,,
Flag,flag,,SeaSave processing flag column
DepSM,depth,,"depth in salt water, metres — becomes depth_min_m"
PrDM,measurement,pressure,
T090C,measurement,temperature_1,primary thermistor
T190C,measurement,temperature_2,secondary thermistor
T2,measurement,temperature_2,older short form
Sal00,measurement,salinity_1,
Sal11,measurement,salinity_2,
C0S/m,measurement,,conductivity — no registered type; salinity is what the pipeline carries
C1S/m,measurement,,conductivity — no registered type
Sbeox0ML/L,measurement,oxygen_ml_l_1,SBE 43 primary
Sbeox1ML/L,measurement,oxygen_ml_l_2,SBE 43 secondary
OxML/L,measurement,oxygen_ml_l_1,single-sensor short form
Sbox0Mm/Kg,measurement,oxygen_umol_kg_1,
Sbox1Mm/Kg,measurement,oxygen_umol_kg_2,
Sbeox0Mm/Kg,measurement,oxygen_umol_kg_1,alternate spelling
Sbeox1Mm/Kg,measurement,oxygen_umol_kg_2,alternate spelling
OxMm/Kg,measurement,oxygen_umol_kg_1,single-sensor short form
Sbeox0PS,measurement,oxygen_saturation_1,
Sbeox1PS,measurement,oxygen_saturation_2,
OxPS,measurement,oxygen_saturation_1,single-sensor short form
Sigma-t00,measurement,sigma_theta_1,
Sigma-t11,measurement,sigma_theta_2,
Sigma-é00,measurement,sigma_theta_1,theta written in a non-UTF8 encoding by SeaSave
Sigma-é11,measurement,sigma_theta_2,theta written in a non-UTF8 encoding by SeaSave
Sigma-theta00,measurement,sigma_theta_1,
Sigma-theta11,measurement,sigma_theta_2,
Potemp090C,measurement,potential_temperature_1,
Potemp190C,measurement,potential_temperature_2,
Sva,measurement,specific_volume_anomaly,
Dm,measurement,dynamic_height,dynamic metres
Par,measurement,par,
Spar,measurement,spar,surface PAR
Xmiss,measurement,transmissometer,"beam transmission, %"
CStarTr0,measurement,transmissometer,WET Labs C-Star transmission
Bat,measurement,beam_attenuation,
CStarAt0,measurement,beam_attenuation,WET Labs C-Star attenuation
Ph,measurement,ph,
V0,voltage,,"raw auxiliary voltage — which sensor it is depends on the wiring, so it is not mapped"
V1,voltage,,
V2,voltage,,
V3,voltage,,
V4,voltage,,
V5,voltage,,
V6,voltage,,
V7,voltage,,
FluorV,measurement,fluorescence_v,fluorometer voltage — the type the pipeline carries
Fluor2V,measurement,fluorescence_v,secondary fluorometer voltage
IsusV,measurement,isus_v,
TransV,voltage,,transmissometer voltage; the pipeline carries the converted % (Xmiss)
ParV,voltage,,PAR voltage; the pipeline carries the converted value
PhV,voltage,,pH voltage; the pipeline carries the converted value
Ox1V,voltage,,oxygen sensor voltage
Ox2V,voltage,,oxygen sensor voltage
O2V,voltage,,oxygen sensor voltage
Sbeox0V,voltage,,SBE 43 voltage
Sbeox1V,voltage,,SBE 43 voltage
AltV,voltage,,altimeter voltage
SeaPtflV,voltage,,Seapoint fluorometer voltage
RinkoV,voltage,,Rinko optode voltage
FlECO-AFL,unmapped,,"WET Labs ECO-AFL chlorophyll fluorescence (mg/m3) — the registry carries the VOLTAGE (fluorescence_v), not this converted value, so mapping it would silently change units"
FlScufa,unmapped,,Turner SCUFA fluorescence — as above
FlSP,unmapped,,Seapoint fluorescence — as above
FlS,unmapped,,"fluorescence, sensor unspecified"
RinkoT,unmapped,,Rinko optode temperature
RinOx1ML/L,unmapped,,Rinko-derived oxygen; not the SBE 43 series the registry describes
RinOx1PS,unmapped,,Rinko-derived oxygen saturation
RinOx1Mm/Kg,unmapped,,Rinko-derived oxygen
